"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Total!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Married-couple family household!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Male householder, no wife present, family household!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Female householder, no husband present, family household!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","2,029,045","977,583","96,719","297,151","657,592"
"    Average household size","2.77","3.40","3.62","3.65","1.30"
"FAMILIES","","","","",""
"    Total families","1,371,453","977,583","96,719","297,151","(X)"
"    Average family size","3.38","3.38","3.20","3.46","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","651,536","438,999","45,596","166,941","(X)"
"        Under 6 years only","20.4%","21.4%","24.4%","16.4%","(X)"
"        Under 6 years and 6 to 17 years","19.8%","21.1%","17.1%","17.3%","(X)"
"        6 to 17 years only","59.8%","57.5%","58.4%","66.2%","(X)"
"Total households","2,029,045","977,583","96,719","297,151","657,592"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","35.9%","48.0%","56.3%","67.0%","0.8%"
"        Households with one or more people 60 years and over","31.0%","32.2%","24.1%","23.4%","33.7%"
"        Householder living alone","26.6%","(X)","(X)","(X)","82.0%"
"            65 years and over","7.5%","(X)","(X)","(X)","23.0%"
"    UNMARRIED-PARTNER HOUSEHOLDS","","","","",""
"        Same sex","0.5%","(X)","(X)","(X)","(X)"
"        Opposite sex","4.8%","(X)","(X)","(X)","(X)"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","74.0%","88.4%","69.8%","68.1%","55.7%"
"        2-or-more-unit structures","23.2%","9.1%","25.6%","28.3%","41.6%"
"        Mobile homes and all other types of units","2.8%","2.5%","4.6%","3.6%","2.7%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","63.2%","79.9%","50.3%","44.6%","48.7%"
"        Renter-occupied housing units","36.8%","20.1%","49.7%","55.4%","51.3%"
