"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Total!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Now married (except separated)!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Widowed!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Divorced!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Separated!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Never married!!Estimate"
"Population 15 years and over","4,512,862","47.4%","4.6%","11.0%","2.1%","35.0%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","2,155,473","50.1%","2.0%","8.9%","1.7%","37.4%"
"            15 to 19 years","203,147","0.6%","0.1%","0.0%","0.1%","99.2%"
"            20 to 34 years","576,836","27.1%","0.1%","2.8%","0.9%","69.0%"
"            35 to 44 years","392,316","62.6%","0.4%","9.6%","2.6%","24.8%"
"            45 to 54 years","400,502","66.1%","1.0%","14.5%","2.4%","16.0%"
"            55 to 64 years","308,500","68.8%","2.3%","15.8%","2.3%","10.9%"
"            65 years and over","274,172","72.6%","10.5%","11.2%","1.5%","4.2%"
"        Females 15 years and over","2,357,389","45.0%","7.0%","12.9%","2.4%","32.8%"
"            15 to 19 years","195,734","1.1%","0.0%","0.1%","0.2%","98.6%"
"            20 to 34 years","598,406","32.5%","0.3%","4.3%","1.6%","61.2%"
"            35 to 44 years","429,812","60.0%","0.9%","13.1%","3.6%","22.5%"
"            45 to 54 years","426,858","59.5%","2.5%","19.6%","3.6%","14.8%"
"            55 to 64 years","345,243","57.7%","7.9%","21.3%","3.0%","10.1%"
"            65 years and over","361,336","42.2%","33.8%","17.6%","1.4%","5.0%"
"Population 15 years and over","4,512,862","47.4%","4.6%","11.0%","2.1%","35.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","4,429,816","47.6%","4.6%","11.0%","2.1%","34.7%"
"            White","2,530,965","55.1%","5.2%","10.9%","1.4%","27.4%"
"            Black or African American","1,497,639","32.5%","4.2%","12.6%","3.2%","47.5%"
"            American Indian and Alaska Native","14,384","42.9%","7.4%","9.9%","1.7%","38.1%"
"            Asian","257,607","63.2%","3.4%","4.5%","1.1%","27.8%"
"            Native Hawaiian and Other Pacific Islander","1,800","57.3%","5.6%","4.8%","0.0%","32.4%"
"            Some other race","127,421","45.9%","1.8%","6.6%","2.4%","43.3%"
"        Two or more races","83,046","36.3%","2.9%","9.8%","1.7%","49.3%"
"        Hispanic or Latino origin (of any race)","407,433","47.1%","2.3%","7.0%","3.0%","40.7%"
"        White alone, not Hispanic or Latino","2,281,485","55.8%","5.5%","11.3%","1.2%","26.2%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","2,113,035","51.1%","2.0%","9.0%","1.7%","36.2%"
"        In labor force","1,535,466","55.0%","0.7%","8.7%","1.7%","33.8%"
"    Females 16 years and over","2,315,724","45.8%","7.2%","13.1%","2.4%","31.6%"
"        In labor force","1,433,522","45.7%","2.4%","14.2%","2.8%","34.9%"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","5.0%","(X)","(X)","(X)","(X)","(X)"
