"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Total!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!In public school!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent in public school!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!In private school!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","1,580,327","(X)","(X)","83.7%","(X)","16.3%"
"    Nursery school, preschool","107,500","6.8%","61,585","57.3%","45,915","42.7%"
"    Kindergarten to 12th grade","1,076,539","68.1%","966,799","89.8%","109,740","10.2%"
"        Kindergarten","81,056","5.1%","69,911","86.3%","11,145","13.7%"
"        Elementary: grade 1 to grade 4","323,683","20.5%","293,701","90.7%","29,982","9.3%"
"        Elementary: grade 5 to grade 8","332,176","21.0%","298,172","89.8%","34,004","10.2%"
"        High school: grade 9 to grade 12","339,624","21.5%","305,015","89.8%","34,609","10.2%"
"    College, undergraduate","313,087","19.8%","245,815","78.5%","67,272","21.5%"
"    Graduate, professional school","83,201","5.3%","48,493","58.3%","34,708","41.7%"
"Population enrolled in college or graduate school","396,288","25.1%","294,308","74.3%","101,980","25.7%"
"    Males enrolled in college or graduate school","168,409","21.8%","128,830","76.5%","39,579","23.5%"
"    Females enrolled in college or graduate school","227,879","28.2%","165,478","72.6%","62,401","27.4%"
"Population 3 to 4 years","157,718","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","84,976","53.9%","46,610","54.9%","38,366","45.1%"
"Population 5 to 9 years","402,472","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","388,742","96.6%","343,659","88.4%","45,083","11.6%"
"Population 10 to 14 years","413,902","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","408,373","98.7%","366,923","89.8%","41,450","10.2%"
"Population 15 to 17","248,377","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","239,321","96.4%","214,919","89.8%","24,402","10.2%"
"Population 18 to 19 years","150,504","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","111,464","74.1%","96,180","86.3%","15,284","13.7%"
"Population 20 to 24 years","377,215","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","153,497","40.7%","123,104","80.2%","30,393","19.8%"
"Population 25 to 34 years","798,027","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","96,004","12.0%","68,120","71.0%","27,884","29.0%"
"Population 35 years and over","2,938,739","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","97,950","3.3%","63,177","64.5%","34,773","35.5%"
"Population 18 to 24 years","527,719","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","207,606","39.3%","167,570","80.7%","40,036","19.3%"
"    Males 18 to 24 years","266,722","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","95,988","36.0%","79,058","82.4%","16,930","17.6%"
"    Females 18 to 24 years","260,997","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","111,618","42.8%","88,512","79.3%","23,106","20.7%"
