"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Total!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Labor Force Participation Rate!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Employment/Population Ratio!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Unemployment rate!!Estimate"
"Population 16 years and over","4,428,759","67.0%","62.2%","7.0%"
"    AGE","","","",""
"        16 to 19 years","314,778","33.2%","25.7%","22.6%"
"        20 to 24 years","377,215","73.5%","63.7%","13.1%"
"        25 to 29 years","397,990","84.0%","77.5%","7.5%"
"        30 to 34 years","400,037","84.1%","78.0%","7.0%"
"        35 to 44 years","822,128","83.6%","78.8%","5.5%"
"        45 to 54 years","827,360","82.4%","78.2%","5.0%"
"        55 to 59 years","355,692","73.9%","70.0%","5.3%"
"        60 to 64 years","298,051","55.9%","53.1%","4.9%"
"        65 to 74 years","403,703","25.5%","24.4%","4.7%"
"        75 years and over","231,805","6.5%","6.2%","4.2%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","2,490,406","65.9%","62.5%","5.0%"
"        Black or African American alone","1,465,069","68.7%","61.3%","10.7%"
"        American Indian and Alaska Native alone","13,872","62.6%","55.8%","10.0%"
"        Asian alone","253,417","66.6%","63.8%","4.1%"
"        Native Hawaiian and Other Pacific Islander alone","1,799","71.6%","68.1%","2.8%"
"        Some other race alone","124,426","72.0%","67.7%","5.9%"
"        Two or more races","79,770","66.6%","59.1%","10.8%"
"        Hispanic or Latino origin (of any race)","397,181","72.2%","67.8%","5.9%"
"        White alone, not Hispanic or Latino","2,247,136","65.2%","61.9%","4.9%"
"Population 20 to 64 years","3,478,473","79.0%","73.7%","6.5%"
"    SEX","","","",""
"        Male","1,678,154","84.5%","79.2%","6.1%"
"        Female","1,800,319","73.7%","68.6%","7.0%"
"            With own children under 18 years","672,357","74.0%","68.6%","7.3%"
"                With own children under 6 years only","149,425","71.9%","66.1%","8.0%"
"                With own children under 6 years and 6 to 17  years","132,398","66.3%","59.6%","10.0%"
"                With own children under 6 to 17 years only","390,534","77.4%","72.5%","6.3%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","415,261","54.2%","40.2%","25.7%"
"        At or above the poverty level","3,016,657","83.3%","79.2%","4.8%"
"    DISABILITY STATUS","","","",""
"        With any disability","303,116","42.4%","35.6%","15.9%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","3,101,258","79.6%","74.9%","5.8%"
"        Less than high school graduate","315,383","63.4%","56.8%","10.4%"
"        High school graduate (includes equivalency)","717,596","73.8%","68.0%","7.8%"
"        Some college or associate's degree","873,032","80.6%","75.0%","6.7%"
"        Bachelor's degree or higher","1,195,247","86.7%","83.7%","3.3%"
