"Label (Grouping)","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Total!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Male!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent Male!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Female!!Estimate","Atlanta-Sandy Springs-Roswell, GA Metro Area!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","2,756,747","1,429,648","51.9%","1,327,099","48.1%"
"    Management, business, science, and arts occupations:","1,113,669","532,487","47.8%","581,182","52.2%"
"        Management, business, and financial occupations:","493,724","267,467","54.2%","226,257","45.8%"
"            Management occupations","327,069","194,227","59.4%","132,842","40.6%"
"            Business and financial operations occupations","166,655","73,240","43.9%","93,415","56.1%"
"        Computer, engineering, and science occupations:","180,084","131,805","73.2%","48,279","26.8%"
"            Computer and mathematical occupations","111,037","81,288","73.2%","29,749","26.8%"
"            Architecture and engineering occupations","48,889","41,053","84.0%","7,836","16.0%"
"            Life, physical, and social science occupations","20,158","9,464","46.9%","10,694","53.1%"
"        Education, legal, community service, arts, and media occupations:","304,188","102,456","33.7%","201,732","66.3%"
"            Community and social services occupations","39,596","13,751","34.7%","25,845","65.3%"
"            Legal occupations","34,126","16,233","47.6%","17,893","52.4%"
"            Education, training, and library occupations","172,712","41,227","23.9%","131,485","76.1%"
"            Arts, design, entertainment, sports, and media occupations","57,754","31,245","54.1%","26,509","45.9%"
"        Healthcare practitioner and technical occupations:","135,673","30,759","22.7%","104,914","77.3%"
"            Health diagnosing and treating practitioners and other technical occupations","94,003","22,376","23.8%","71,627","76.2%"
"            Health technologists and technicians","41,670","8,383","20.1%","33,287","79.9%"
"    Service occupations:","429,485","193,694","45.1%","235,791","54.9%"
"        Healthcare support occupations","44,276","5,479","12.4%","38,797","87.6%"
"        Protective service occupations:","52,546","38,183","72.7%","14,363","27.3%"
"            Fire fighting and prevention, and other protective service workers including supervisors","29,954","21,266","71.0%","8,688","29.0%"
"            Law enforcement workers including supervisors","22,592","16,917","74.9%","5,675","25.1%"
"        Food preparation and serving related occupations","153,690","70,967","46.2%","82,723","53.8%"
"        Building and grounds cleaning and maintenance occupations","96,423","59,520","61.7%","36,903","38.3%"
"        Personal care and service occupations","82,550","19,545","23.7%","63,005","76.3%"
"    Sales and office occupations:","688,062","266,659","38.8%","421,403","61.2%"
"        Sales and related occupations","328,395","164,283","50.0%","164,112","50.0%"
"        Office and administrative support occupations","359,667","102,376","28.5%","257,291","71.5%"
"    Natural resources, construction, and maintenance occupations:","218,931","209,507","95.7%","9,424","4.3%"
"        Farming, fishing, and forestry occupations","4,589","3,355","73.1%","1,234","26.9%"
"        Construction and extraction occupations","132,010","127,232","96.4%","4,778","3.6%"
"        Installation, maintenance, and repair occupations","82,332","78,920","95.9%","3,412","4.1%"
"    Production, transportation, and material moving occupations:","306,600","227,301","74.1%","79,299","25.9%"
"        Production occupations","124,251","83,871","67.5%","40,380","32.5%"
"        Transportation occupations","107,983","85,115","78.8%","22,868","21.2%"
"        Material moving occupations","74,366","58,315","78.4%","16,051","21.6%"
