"Label (Grouping)","Baltimore-Columbia-Towson, MD Metro Area!!Total population!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian tribal grouping alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian Indian alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Bangladeshi alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chinese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chinese, except Taiwanese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Taiwanese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Filipino alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Japanese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Korean alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Pakistani alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Thai alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Vietnamese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian Indian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Bangladeshi alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Cambodian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chinese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chinese, except Taiwanese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Taiwanese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Filipino alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Japanese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Korean alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Pakistani alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Thai alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Vietnamese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Polynesian alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Polynesian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Micronesian alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Guamanian or Chamorro alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone or in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Burmese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Nepalese alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Burmese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Nepalese alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two or More Races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two races with Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two races without Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Black or African American!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; American Indian and Alaska Native!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Asian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American; American Indian and Alaska Native!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American; Asian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Black or African American; American Indian and Alaska Native!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Black or African American; Asian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Black or African American; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; American Indian and Alaska Native; Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White; Asian; Native Hawaiian and Other Pacific Islander!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Central American Indian tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Choctaw tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Lumbee Indian tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Cherokee tribal grouping alone!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Cherokee tribal grouping alone or in any combination!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Hispanic or Latino (of any race)!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Mexican!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Puerto Rican!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Cuban!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Dominican!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Central American!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Costa Rican!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Guatemalan!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Honduran!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Nicaraguan!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Panamanian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Salvadoran!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!South American!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Argentinean!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Bolivian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chilean!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Colombian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Ecuadorian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Peruvian!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Venezuelan!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Spaniard!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two or More Races, not Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Two or More Races, Hispanic or Latino!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!White in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Black or African American in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!American Indian and Alaska Native in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Asian in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Native Hawaiian and Other Pacific Islander in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Some Other Race in combination with one or more other races!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Three or more races with Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Three or more races without Some Other Race!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Chamorro alone or in any combination!!Estimate"
"Total:","2,837,237","1,636,726","1,754,173","824,757","887,060","7,531","3,954","31,862","20,050","163,324","45,777","2,022","30,473","28,926","1,495","19,008","2,171","25,222","11,746","1,805","7,396","200,988","50,185","2,298","945","37,265","35,506","1,811","30,515","7,584","30,575","12,506","3,119","9,461","1,766","866","5,844","2,591","2,084","984","780","67,705","108,947","3,171","5,962","3,171","6,148","135,428","37,315","83,626","36,403","10,207","25,643","30,557","4,980","3,661","5,128","1,042","4,756","2,812","1,643","1,203","1,089","1,966","1,662","616","1,390","900","6,794","176,143","38,984","28,485","7,018","8,793","56,861","907","11,611","9,267","1,509","3,072","30,399","21,294","1,948","958","1,154","5,430","3,400","5,959","1,636","4,375","1,568,689","1,655,520","812,681","865,631","4,412","23,293","162,566","198,440","1,067","4,688","11,492","24,076","100,187","68,037","98,653","12,076","21,429","3,119","8,569","2,548","1,156","56,213","84,871","35,241","117,447","62,303","24,331","37,664","4,078","41,242","14,487","10,560","748"
"    Male:","1,374,120","807,932","865,185","382,009","410,874","3,721","1,853","15,163","9,612","79,050","23,651","1,024","14,400","13,814","560","8,123","852","12,118","5,920","709","3,497","96,534","25,712","1,155","379","17,603","16,922","707","13,325","3,189","14,574","6,212","1,615","4,453","866","442","3,027","1,232","968","573","426","34,728","56,301","1,529","3,194","1,529","3,281","65,814","20,028","39,488","16,889","4,912","12,552","16,213","2,335","1,384","3,016","499","2,373","897","840","444","604","1,042","753","281","558","472","3,217","91,053","20,843","14,303","3,477","4,140","30,588","316","6,382","4,942","765","1,355","16,766","9,779","941","442","630","2,172","1,710","2,953","537","2,391","771,937","813,933","376,164","400,312","2,188","11,105","78,756","95,376","522","2,415","5,656","12,418","47,844","35,995","51,252","5,845","10,562","1,533","4,058","1,158","612","29,072","43,883","17,970","57,253","28,865","11,442","17,484","2,161","21,573","6,298","4,753","394"
"        Under 5 years","85,033","41,738","49,678","25,273","29,744","172","51","1,270","705","4,858","1,858","6","435","435","0","422","12","711","436","21","75","7,610","2,242","16","14","919","865","54","1,299","143","1,210","485","352","118","111","11","421","182","145","49","49","3,971","6,185","154","397","154","411","8,910","2,063","6,147","3,051","370","2,105","1,715","220","224","317","5","185","111","80","50","55","74","52","75","33","12","156","10,281","2,681","1,316","453","404","3,543","5","676","672","36","165","1,989","933","54","0","23","172","215","339","130","129","37,707","43,749","24,735","28,649","93","830","4,858","7,463","11","295","658","1,137","6,690","4,031","5,929","538","1,095","79","440","147","126","3,313","5,048","2,220","7,940","4,471","1,098","2,752","310","2,214","700","549","49"
"        5 to 9 years","86,684","41,903","49,778","26,943","31,016","114","70","1,064","620","5,228","1,423","137","869","869","0","446","37","741","589","20","255","8,202","1,629","148","54","1,394","1,373","21","1,353","544","1,108","636","119","474","52","19","344","112","93","113","113","3,752","6,176","148","291","148","291","8,692","2,157","5,504","2,468","328","2,269","1,654","33","210","413","36","321","254","142","60","29","121","48","27","26","16","177","8,620","1,765","1,240","237","447","3,477","47","821","754","13","58","1,772","741","32","0","40","243","123","224","69","388","39,099","45,244","26,230","29,548","97","708","5,200","8,037","19","274","822","1,564","6,597","2,804","4,534","713","1,468","17","356","165","70","2,930","4,612","2,095","7,875","4,073","950","2,974","292","2,424","1,031","764","113"
"        10 to 14 years","93,156","45,618","52,053","30,835","34,515","296","101","1,291","726","5,532","1,356","118","884","884","0","690","71","774","439","31","287","7,360","1,602","152","69","1,344","1,336","8","1,386","310","1,017","439","140","341","39","39","331","145","132","46","46","3,763","5,780","120","254","120","267","7,073","1,945","4,101","2,399","257","1,143","1,593","102","138","263","48","469","180","0","50","195","105","82","34","33","20","262","9,335","2,333","1,593","197","526","2,845","10","473","332","41","106","1,857","1,063","66","51","33","174","122","519","45","107","41,960","46,877","30,189","33,378","122","861","5,532","7,162","9","228","757","1,392","5,252","3,658","5,176","646","1,137","174","430","198","103","3,006","4,388","1,821","6,435","3,680","995","1,828","292","2,017","1,027","955","46"
"        15 to 17 years","54,382","28,637","32,108","17,411","19,358","132","60","579","408","3,084","784","127","636","636","0","178","0","526","358","0","116","4,140","957","127","11","820","811","9","563","73","687","388","17","129","46","46","152","98","94","2","2","1,291","2,226","72","89","72","89","3,781","800","2,605","1,364","247","734","709","51","156","51","40","116","43","131","4","47","27","50","48","25","35","158","4,204","799","960","113","185","1,304","22","346","295","18","60","563","348","44","0","11","67","84","137","5","192","26,784","29,456","17,028","18,757","51","417","3,084","4,086","46","152","261","469","2,924","1,853","2,652","383","601","81","162","54","0","1,030","1,757","857","3,471","1,947","447","1,056","106","935","376","241","2"
"        18 and 19 years","36,667","19,473","21,653","11,378","12,954","68","48","474","325","2,231","659","0","523","523","0","250","3","258","184","21","157","2,895","682","20","0","746","746","0","529","44","384","184","47","240","0","0","104","41","18","0","0","960","1,398","30","0","30","0","2,557","425","1,902","1,051","142","499","230","154","5","188","3","73","58","0","0","53","33","9","0","13","35","124","2,798","763","454","96","156","924","40","277","132","11","42","422","252","16","2","11","91","6","49","0","91","18,323","20,236","10,986","12,395","59","450","2,231","2,831","0","68","88","261","2,182","1,150","1,417","392","559","9","24","64","36","872","1,137","375","2,180","1,576","406","664","104","438","230","217","0"
"        20 years","17,375","8,812","9,863","5,868","6,427","29","29","232","120","1,170","136","55","280","247","33","129","0","104","194","24","53","1,566","153","55","14","297","247","50","236","41","173","231","37","106","26","3","48","3","0","23","23","348","516","0","56","0","56","1,122","161","843","417","114","269","133","0","43","3","25","52","0","7","0","22","0","0","0","49","0","68","1,125","257","217","37","28","419","27","59","45","0","30","258","130","13","24","0","13","0","0","73","10","8,272","9,111","5,795","6,312","29","172","1,170","1,537","26","26","58","94","900","540","752","73","115","0","60","29","22","290","422","222","1,051","559","203","396","22","168","118","111","23"
"        21 years","17,774","9,914","10,855","5,063","5,757","35","35","227","167","1,148","375","0","255","255","0","129","0","94","71","9","12","1,343","389","0","54","278","278","0","254","10","106","71","63","66","0","0","7","0","0","7","7","577","761","52","69","52","69","1,037","124","774","459","67","161","108","80","0","16","0","45","34","60","0","0","8","0","3","0","27","62","1,591","356","110","38","89","538","0","58","124","0","0","356","174","7","20","0","36","53","42","0","17","9,131","10,015","4,950","5,622","35","219","1,094","1,289","0","7","9","128","964","783","840","113","135","0","8","54","0","568","633","73","941","694","192","195","7","184","139","79","7"
"        22 to 24 years","52,368","29,209","31,299","16,335","17,582","262","115","722","441","2,529","551","0","581","533","43","183","45","495","170","7","217","3,138","598","0","0","724","681","48","414","87","594","170","31","228","62","10","127","10","10","52","32","1,404","2,184","44","121","44","121","2,567","764","1,692","784","295","385","525","139","51","189","40","0","58","10","0","27","18","31","14","18","18","81","3,735","975","568","83","145","1,393","0","291","116","50","126","810","246","0","0","17","94","41","71","23","81","27,884","29,473","16,134","17,127","91","483","2,469","3,056","62","127","139","316","1,854","1,325","1,826","201","455","171","239","82","0","1,265","1,868","713","2,090","1,247","460","609","65","780","111","95","9"
"        25 to 29 years","97,197","53,786","57,747","30,326","32,733","205","73","784","542","5,773","1,785","29","1,246","1,131","94","257","6","998","559","0","369","7,061","1,962","29","0","1,502","1,408","115","607","190","1,164","576","6","498","22","0","74","0","0","22","22","2,371","3,787","58","195","58","195","4,714","1,263","3,176","1,512","345","938","901","101","237","328","16","64","48","95","33","0","37","10","0","49","25","172","6,538","1,302","1,210","469","264","2,092","18","374","415","138","139","1,008","546","30","12","91","132","65","173","0","141","51,362","54,303","29,780","31,679","81","515","5,769","7,017","22","53","289","579","3,356","2,424","3,444","546","1,054","124","269","44","21","2,082","3,208","1,358","3,961","2,407","579","1,288","52","1,416","275","122","22"
"        30 to 34 years","100,025","57,558","61,778","27,815","29,617","254","102","1,408","823","6,197","2,417","4","964","885","79","635","105","703","270","67","213","7,641","2,532","4","27","1,184","1,105","79","885","316","1,174","316","172","213","59","25","293","52","27","129","34","3,193","4,690","77","396","77","396","4,949","1,472","3,026","736","402","1,245","1,273","390","26","180","7","337","82","15","0","7","111","123","0","50","32","233","7,539","1,675","1,290","175","235","3,130","2","621","667","37","39","1,764","655","8","15","121","241","84","167","0","114","54,434","57,710","27,475","28,976","141","1,078","6,171","7,608","59","293","360","1,022","3,846","3,124","4,068","340","641","113","330","33","0","2,833","3,668","1,103","4,220","1,802","1,154","1,444","234","1,497","451","426","34"
"        35 to 39 years","96,342","55,496","58,619","26,054","27,409","239","80","931","542","7,013","2,513","70","1,075","1,029","46","857","44","858","364","183","165","7,967","2,603","70","63","1,157","1,099","58","1,203","280","934","364","183","197","201","112","305","139","91","18","18","3,630","5,232","177","355","177","398","3,709","1,345","2,010","600","328","707","1,108","168","99","227","10","37","0","162","65","22","79","32","10","67","28","155","9,190","2,226","1,057","298","410","3,843","15","924","513","39","52","2,300","925","48","0","140","156","246","300","35","95","51,822","53,663","25,627","26,593","96","573","6,996","7,950","57","161","284","620","2,270","3,674","4,956","427","816","143","358","17","144","3,346","4,612","1,439","3,123","1,355","692","954","104","1,602","354","97","9"
"        40 to 44 years","83,107","46,719","49,925","22,893","23,980","241","99","1,031","726","6,612","2,225","24","926","892","34","763","41","1,071","456","36","198","7,541","2,399","46","7","1,077","1,043","34","947","156","1,087","477","142","316","43","38","242","156","136","2","2","2,791","4,614","143","339","143","339","3,808","1,728","1,750","531","447","497","1,366","97","75","222","128","82","0","11","65","65","76","56","21","0","0","294","6,683","1,692","1,095","85","216","2,447","28","475","372","201","134","1,226","653","48","0","54","149","209","100","42","98","44,314","46,393","22,628","23,598","59","715","6,578","7,461","43","230","230","909","2,572","2,405","3,532","265","382","182","316","80","12","2,561","3,705","1,236","3,206","1,087","790","929","199","1,823","330","235","2"
"        45 to 49 years","84,900","49,408","52,040","23,713","24,593","284","85","1,012","650","6,175","1,750","111","1,208","1,195","13","754","26","1,115","244","59","281","6,915","1,826","137","0","1,341","1,328","13","929","70","1,200","244","75","351","100","100","130","115","100","0","0","2,202","3,453","207","240","207","257","3,018","1,193","1,635","480","383","598","989","122","22","95","10","58","14","43","4","15","187","15","27","12","19","259","5,726","1,584","663","157","301","1,811","21","324","222","115","208","921","704","148","54","14","69","119","193","61","289","47,316","48,905","23,412","24,037","160","720","6,147","6,881","100","130","218","488","1,821","2,092","3,135","301","556","124","292","34","0","1,984","2,965","1,197","2,632","880","728","740","30","1,251","190","132","0"
"        50 to 54 years","92,514","57,548","59,956","25,292","26,310","299","157","1,060","670","5,207","1,621","174","1,073","1,037","36","425","47","766","431","46","236","5,617","1,656","174","47","1,193","1,157","36","521","146","805","441","46","246","21","8","139","102","73","13","13","1,416","2,680","51","109","51","109","2,731","1,108","1,131","348","321","298","901","74","15","199","8","278","15","83","60","15","69","24","0","47","31","202","4,412","840","805","146","313","1,327","24","374","87","53","79","710","673","55","77","33","173","84","219","11","83","55,926","57,431","24,899","25,622","184","725","5,207","5,584","21","117","141","585","1,724","1,622","2,525","393","688","115","335","33","22","1,275","2,095","1,007","2,408","1,018","761","410","118","1,264","492","336","13"
