"Label (Grouping)","Baltimore-Columbia-Towson, MD Metro Area!!Total!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Married-couple family household!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Male householder, no spouse present, family household!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Female householder, no spouse present, family household!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","1,087,833","499,102","47,270","152,783","388,678"
"    Average household size","2.55","3.24","3.25","3.34","1.25"
"FAMILIES","","","","",""
"    Total families","699,155","499,102","47,270","152,783","(X)"
"    Average family size","3.18","3.22","2.89","3.15","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","290,699","198,268","20,460","71,971","(X)"
"        Under 6 years only","21.0%","23.2%","23.3%","14.1%","(X)"
"        Under 6 years and 6 to 17 years","20.7%","21.7%","16.0%","19.2%","(X)"
"        6 to 17 years only","58.4%","55.1%","60.7%","66.7%","(X)"
"Total households","1,087,833","499,102","47,270","152,783","388,678"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","30.1%","42.4%","51.7%","58.1%","0.7%"
"        Households with one or more people 60 years and over","40.1%","39.4%","35.5%","32.0%","44.8%"
"        Households with one or more people 65 year and over","29.4%","(X)","(X)","(X)","34.3%"
"        Householder living alone","29.2%","(X)","(X)","(X)","81.7%"
"            65 years and over","11.3%","(X)","(X)","(X)","31.6%"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","74.4%","89.4%","77.7%","75.1%","54.6%"
"        2-or-more-unit structures","24.6%","9.8%","19.9%","24.0%","44.3%"
"        Mobile homes and all other types of units","1.0%","0.8%","2.4%","0.9%","1.1%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","67.0%","84.5%","63.1%","51.3%","51.1%"
"        Renter-occupied housing units","33.0%","15.5%","36.9%","48.7%","48.9%"
