"Label (Grouping)","Baltimore-Columbia-Towson, MD Metro Area!!Total!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Now married (except separated)!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Widowed!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Divorced!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Separated!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Never married!!Estimate"
"Population 15 years and over","2,318,191","46.3%","5.7%","10.0%","1.9%","36.0%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","1,109,247","49.0%","2.6%","8.4%","1.7%","38.3%"
"            15 to 19 years","91,049","1.1%","0.1%","0.0%","0.0%","98.7%"
"            20 to 34 years","284,739","23.5%","0.1%","1.8%","0.6%","74.1%"
"            35 to 44 years","179,449","61.5%","0.3%","7.6%","2.0%","28.7%"
"            45 to 54 years","177,414","65.8%","0.8%","13.1%","3.1%","17.3%"
"            55 to 64 years","184,764","65.7%","2.1%","15.5%","2.7%","14.0%"
"            65 years and over","191,832","66.1%","12.2%","11.8%","1.7%","8.3%"
"        Females 15 years and over","1,208,944","43.8%","8.5%","11.5%","2.1%","34.0%"
"            15 to 19 years","87,778","1.0%","0.0%","0.0%","0.1%","98.8%"
"            20 to 34 years","289,956","29.2%","0.1%","2.4%","1.3%","67.0%"
"            35 to 44 years","190,420","59.4%","0.6%","10.2%","3.3%","26.5%"
"            45 to 54 years","189,506","60.7%","2.7%","16.4%","3.0%","17.1%"
"            55 to 64 years","201,111","56.1%","7.4%","19.5%","3.1%","13.9%"
"            65 years and over","250,173","41.4%","32.5%","17.1%","1.5%","7.5%"
"Population 15 years and over","2,318,191","46.3%","5.7%","10.0%","1.9%","36.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","2,231,878","46.6%","5.8%","10.1%","1.9%","35.6%"
"            White","1,384,466","53.7%","6.2%","9.8%","1.3%","29.0%"
"            Black or African American","661,202","28.5%","5.7%","12.0%","3.5%","50.3%"
"            American Indian and Alaska Native","6,083","35.3%","8.5%","13.4%","2.9%","39.9%"
"            Asian","133,254","62.4%","4.0%","4.0%","1.0%","28.6%"
"            Native Hawaiian and Other Pacific Islander","1,313","63.6%","2.5%","4.3%","2.5%","27.0%"
"            Some other race","45,560","47.5%","2.1%","7.3%","2.5%","40.6%"
"        Two or more races","86,313","37.5%","2.9%","9.0%","2.2%","48.3%"
"        Hispanic or Latino origin (of any race)","121,307","45.3%","2.5%","8.5%","2.4%","41.3%"
"        White alone, not Hispanic or Latino","1,336,093","54.0%","6.3%","9.8%","1.3%","28.6%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","1,091,288","49.8%","2.7%","8.5%","1.8%","37.3%"
"        In labor force","775,401","53.6%","0.9%","7.9%","1.7%","35.8%"
"    Females 16 years and over","1,190,619","44.5%","8.6%","11.7%","2.2%","33.0%"
"        In labor force","748,171","46.3%","2.8%","12.0%","2.3%","36.6%"
"SUMMARY INDICATOR","","","","","",""
"    Ratio of Unmarried Men 15 to 44 years per 100 unmarried women 15 to 44 years","103.4","(X)","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","6.5%","(X)","(X)","(X)","(X)","(X)"
