"Label (Grouping)","Baltimore-Columbia-Towson, MD Metro Area!!Total!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!In public school!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent in public school!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!In private school!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","712,814","(X)","(X)","78.1%","(X)","21.9%"
"    Nursery school, preschool","45,586","6.4%","21,798","47.8%","23,788","52.2%"
"    Kindergarten to 12th grade","453,227","63.6%","381,882","84.3%","71,345","15.7%"
"        Kindergarten","32,483","4.6%","26,930","82.9%","5,553","17.1%"
"        Elementary: grade 1 to grade 4","135,210","19.0%","115,313","85.3%","19,897","14.7%"
"        Elementary: grade 5 to grade 8","143,520","20.1%","121,427","84.6%","22,093","15.4%"
"        High school: grade 9 to grade 12","142,014","19.9%","118,212","83.2%","23,802","16.8%"
"    College, undergraduate","156,739","22.0%","121,037","77.2%","35,702","22.8%"
"    Graduate, professional school","57,262","8.0%","32,025","55.9%","25,237","44.1%"
"Population enrolled in college or graduate school","214,001","30.0%","153,062","71.5%","60,939","28.5%"
"    Males enrolled in college or graduate school","91,971","26.5%","65,997","71.8%","25,974","28.2%"
"    Females enrolled in college or graduate school","122,030","33.4%","87,065","71.3%","34,965","28.7%"
"Population 3 to 4 years","71,271","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","34,458","48.3%","15,937","46.3%","18,521","53.7%"
"Population 5 to 9 years","171,927","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","162,459","94.5%","134,241","82.6%","28,218","17.4%"
"Population 10 to 14 years","180,600","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","175,635","97.3%","148,189","84.4%","27,446","15.6%"
"Population 15 to 17","106,804","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","103,262","96.7%","86,436","83.7%","16,826","16.3%"
"Population 18 to 19 years","72,023","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","55,928","77.7%","40,828","73.0%","15,100","27.0%"
"Population 20 to 24 years","172,438","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","76,245","44.2%","57,364","75.2%","18,881","24.8%"
"Population 25 to 34 years","402,257","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","56,046","13.9%","39,026","69.6%","17,020","30.4%"
"Population 35 years and over","1,564,669","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","48,781","3.1%","34,721","71.2%","14,060","28.8%"
"Population 18 to 24 years","244,461","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","111,508","45.6%","81,425","73.0%","30,083","27.0%"
"    Males 18 to 24 years","124,184","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","50,367","40.6%","36,884","73.2%","13,483","26.8%"
"    Females 18 to 24 years","120,277","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","61,141","50.8%","44,541","72.8%","16,600","27.2%"
