"Label (Grouping)","Baltimore-Columbia-Towson, MD Metro Area!!Total!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Labor Force Participation Rate!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Employment/Population Ratio!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Unemployment rate!!Estimate"
"Population 16 years and over","2,281,907","66.8%","62.5%","5.1%"
"    AGE","","","",""
"        16 to 19 years","142,543","38.3%","31.5%","15.9%"
"        20 to 24 years","172,438","74.6%","63.6%","10.9%"
"        25 to 29 years","196,795","85.5%","78.5%","6.3%"
"        30 to 34 years","205,462","86.1%","80.2%","5.0%"
"        35 to 44 years","369,869","86.4%","81.9%","3.8%"
"        45 to 54 years","366,920","84.5%","81.3%","3.5%"
"        55 to 59 years","197,455","76.8%","73.8%","3.8%"
"        60 to 64 years","188,420","63.0%","61.0%","3.1%"
"        65 to 74 years","264,581","30.6%","29.5%","3.6%"
"        75 years and over","177,424","7.9%","7.5%","4.4%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","1,365,490","66.8%","63.3%","3.8%"
"        Black or African American alone","649,514","65.3%","59.7%","8.0%"
"        American Indian and Alaska Native alone","6,012","64.2%","58.4%","6.2%"
"        Asian alone","130,925","69.0%","65.6%","4.1%"
"        Native Hawaiian and Other Pacific Islander alone","1,304","81.4%","71.9%","0.3%"
"        Some other race alone","44,745","74.1%","69.7%","4.4%"
"        Two or more races","83,917","70.6%","64.2%","6.8%"
"        Hispanic or Latino origin (of any race)","118,740","73.9%","68.2%","5.1%"
"        White alone, not Hispanic or Latino","1,318,200","66.5%","63.1%","3.7%"
"Population 20 to 64 years","1,697,359","81.0%","76.1%","4.8%"
"    SEX","","","",""
"        Male","826,366","84.4%","78.7%","4.8%"
"        Female","870,993","77.7%","73.6%","4.8%"
"            With own children under 18 years","292,711","79.6%","75.6%","4.6%"
"                With own children under 6 years only","65,169","78.4%","73.6%","5.5%"
"                With own children under 6 years and 6 to 17  years","59,996","72.9%","68.3%","5.8%"
"                With own children 6 to 17 years only","167,546","82.4%","79.0%","3.8%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","148,292","44.4%","32.6%","26.4%"
"        At or above the poverty level","1,515,164","85.7%","81.6%","3.7%"
"    DISABILITY STATUS","","","",""
"        With any disability","161,670","47.9%","41.9%","11.9%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","1,524,921","81.7%","77.5%","4.2%"
"        Less than high school graduate","109,377","57.1%","51.5%","9.9%"
"        High school graduate (includes equivalency)","347,453","73.8%","68.6%","6.6%"
"        Some college or associate's degree","400,507","82.0%","77.0%","4.4%"
"        Bachelor's degree or higher","667,584","89.6%","86.6%","2.4%"
