"Label (Grouping)","Baltimore-Columbia-Towson, MD Metro Area!!Total!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Total!!Margin of Error","Baltimore-Columbia-Towson, MD Metro Area!!Male!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Male!!Margin of Error","Baltimore-Columbia-Towson, MD Metro Area!!Percent Male!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent Male!!Margin of Error","Baltimore-Columbia-Towson, MD Metro Area!!Female!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Female!!Margin of Error","Baltimore-Columbia-Towson, MD Metro Area!!Percent Female!!Estimate","Baltimore-Columbia-Towson, MD Metro Area!!Percent Female!!Margin of Error"
"Civilian employed population 16 years and over","1,427,183","±5,689","720,278","±4,437","50.5%","±0.2","706,905","±4,235","49.5%","±0.2"
"    Management, business, science, and arts occupations:","702,040","±6,979","330,544","±4,373","47.1%","±0.4","371,496","±4,297","52.9%","±0.4"
"        Management, business, and financial occupations:","279,192","±4,485","145,551","±3,016","52.1%","±0.7","133,641","±2,866","47.9%","±0.7"
"            Management occupations","177,718","±3,351","99,119","±2,431","55.8%","±0.8","78,599","±2,085","44.2%","±0.8"
"            Business and financial operations occupations","101,474","±2,674","46,432","±1,600","45.8%","±1.1","55,042","±1,880","54.2%","±1.1"
"        Computer, engineering, and science occupations:","144,443","±3,323","101,380","±2,608","70.2%","±0.9","43,063","±1,694","29.8%","±0.9"
"            Computer and mathematical occupations","83,727","±2,614","59,524","±2,150","71.1%","±1.1","24,203","±1,164","28.9%","±1.1"
"            Architecture and engineering occupations","35,433","±1,558","28,791","±1,361","81.3%","±1.6","6,642","±660","18.7%","±1.6"
"            Life, physical, and social science occupations","25,283","±1,305","13,065","±1,024","51.7%","±2.6","12,218","±829","48.3%","±2.6"
"        Education, legal, community service, arts, and media occupations:","179,507","±3,681","60,620","±1,776","33.8%","±0.7","118,887","±2,779","66.2%","±0.7"
"            Community and social service occupations","27,542","±1,355","8,886","±828","32.3%","±2.4","18,656","±1,065","67.7%","±2.4"
"            Legal occupations","23,146","±1,147","10,891","±678","47.1%","±2.3","12,255","±878","52.9%","±2.3"
"            Educational instruction, and library occupations","98,717","±2,944","25,688","±1,361","26.0%","±1.0","73,029","±2,290","74.0%","±1.0"
"            Arts, design, entertainment, sports, and media occupations","30,102","±1,488","15,155","±1,008","50.3%","±2.4","14,947","±1,076","49.7%","±2.4"
"        Healthcare practitioners and technical occupations:","98,898","±2,579","22,993","±1,135","23.2%","±1.0","75,905","±2,261","76.8%","±1.0"
"            Health diagnosing and treating practitioners and other technical occupations","71,256","±2,322","16,737","±996","23.5%","±1.1","54,519","±1,883","76.5%","±1.1"
"            Health technologists and technicians","27,642","±1,479","6,256","±678","22.6%","±2.1","21,386","±1,295","77.4%","±2.1"
"    Service occupations:","214,582","±3,615","95,770","±2,485","44.6%","±0.8","118,812","±2,435","55.4%","±0.8"
"        Healthcare support occupations","38,410","±1,707","5,804","±655","15.1%","±1.6","32,606","±1,585","84.9%","±1.6"
"        Protective service occupations:","39,573","±1,804","28,677","±1,466","72.5%","±1.6","10,896","±783","27.5%","±1.6"
"            Firefighting and prevention, and other protective service workers including supervisors","22,066","±1,334","15,244","±996","69.1%","±2.5","6,822","±749","30.9%","±2.5"
"            Law enforcement workers including supervisors","17,507","±1,180","13,433","±992","76.7%","±2.6","4,074","±540","23.3%","±2.6"
"        Food preparation and serving related occupations","61,399","±2,204","28,657","±1,555","46.7%","±1.7","32,742","±1,430","53.3%","±1.7"
"        Building and grounds cleaning and maintenance occupations","38,146","±1,735","23,840","±1,118","62.5%","±1.9","14,306","±1,095","37.5%","±1.9"
"        Personal care and service occupations","37,054","±1,494","8,792","±729","23.7%","±1.8","28,262","±1,373","76.3%","±1.8"
"    Sales and office occupations:","284,066","±4,585","103,064","±2,769","36.3%","±0.8","181,002","±3,605","63.7%","±0.8"
"        Sales and related occupations","125,349","±3,231","63,841","±2,100","50.9%","±1.3","61,508","±2,408","49.1%","±1.3"
"        Office and administrative support occupations","158,717","±3,531","39,223","±1,689","24.7%","±0.9","119,494","±2,932","75.3%","±0.9"
"    Natural resources, construction, and maintenance occupations:","94,296","±3,032","90,103","±2,990","95.6%","±0.6","4,193","±541","4.4%","±0.6"
"        Farming, fishing, and forestry occupations","1,910","±375","1,023","±264","53.6%","±9.9","887","±267","46.4%","±9.9"
"        Construction and extraction occupations","52,890","±2,390","51,092","±2,350","96.6%","±0.6","1,798","±337","3.4%","±0.6"
"        Installation, maintenance, and repair occupations","39,496","±1,736","37,988","±1,754","96.2%","±0.8","1,508","±301","3.8%","±0.8"
"    Production, transportation, and material moving occupations:","132,199","±3,110","100,797","±2,527","76.2%","±0.9","31,402","±1,439","23.8%","±0.9"
"        Production occupations","40,752","±1,967","29,133","±1,620","71.5%","±1.8","11,619","±900","28.5%","±1.8"
"        Transportation occupations","47,510","±1,698","38,759","±1,474","81.6%","±1.5","8,751","±832","18.4%","±1.5"
"        Material moving occupations","43,937","±1,758","32,905","±1,345","74.9%","±1.5","11,032","±877","25.1%","±1.5"
