"Label (Grouping)","Chicago city, Cook County, Illinois!!Total population!!Estimate","Chicago city, Cook County, Illinois!!White alone!!Estimate","Chicago city, Cook County, Illinois!!White alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!American Indian tribal grouping alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Asian alone!!Estimate","Chicago city, Cook County, Illinois!!Asian Indian alone!!Estimate","Chicago city, Cook County, Illinois!!Chinese alone!!Estimate","Chicago city, Cook County, Illinois!!Chinese, except Taiwanese alone!!Estimate","Chicago city, Cook County, Illinois!!Filipino alone!!Estimate","Chicago city, Cook County, Illinois!!Korean alone!!Estimate","Chicago city, Cook County, Illinois!!Pakistani alone!!Estimate","Chicago city, Cook County, Illinois!!Vietnamese alone!!Estimate","Chicago city, Cook County, Illinois!!Asian alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Asian Indian alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Chinese alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Chinese, except Taiwanese alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Filipino alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Japanese alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Korean alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Pakistani alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Vietnamese alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone or in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Two or More Races !!Estimate","Chicago city, Cook County, Illinois!!Two races with Some Other Race!!Estimate","Chicago city, Cook County, Illinois!!Two races without Some Other Race!!Estimate","Chicago city, Cook County, Illinois!!White; Black or African American!!Estimate","Chicago city, Cook County, Illinois!!White; American Indian and Alaska Native!!Estimate","Chicago city, Cook County, Illinois!!White; Asian!!Estimate","Chicago city, Cook County, Illinois!!White; Some Other Race!!Estimate","Chicago city, Cook County, Illinois!!Hispanic or Latino (of any race)!!Estimate","Chicago city, Cook County, Illinois!!Mexican!!Estimate","Chicago city, Cook County, Illinois!!Puerto Rican!!Estimate","Chicago city, Cook County, Illinois!!Cuban!!Estimate","Chicago city, Cook County, Illinois!!Central American!!Estimate","Chicago city, Cook County, Illinois!!Guatemalan!!Estimate","Chicago city, Cook County, Illinois!!South American!!Estimate","Chicago city, Cook County, Illinois!!Colombian!!Estimate","Chicago city, Cook County, Illinois!!Ecuadorian!!Estimate","Chicago city, Cook County, Illinois!!White alone, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Asian alone, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Two or More Races, not Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!White alone, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Black or African American alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Two or More Races, Hispanic or Latino!!Estimate","Chicago city, Cook County, Illinois!!Mexican American Indian tribal grouping alone or in any combination!!Estimate","Chicago city, Cook County, Illinois!!White in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Black or African American in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!American Indian and Alaska Native in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Asian in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Some Other Race in combination with one or more other races!!Estimate","Chicago city, Cook County, Illinois!!Three or more races with Some Other Race!!Estimate"
"Total:","2,742,119","1,242,868","1,427,924","801,353","839,532","13,389","33,235","12,571","187,757","42,165","61,767","60,250","29,992","12,913","8,317","10,676","218,434","46,562","70,127","68,237","38,764","9,574","15,936","9,140","12,439","292,721","434,163","202,978","134,924","57,122","20,256","7,902","22,404","123,813","787,795","581,346","94,900","8,612","35,304","19,402","46,656","10,626","21,318","907,499","960,306","788,673","814,993","11,291","185,202","212,306","9,051","18,761","61,675","335,369","467,618","12,680","24,539","11,659","21,944","283,670","415,402","141,303","9,283","185,056","38,179","19,846","30,677","141,442","10,932"
"    Male:","1,337,959","622,738","716,087","364,650","383,473","7,305","17,145","5,867","89,527","22,304","29,281","28,693","13,021","5,413","4,325","5,314","104,597","24,386","33,560","32,803","17,327","4,612","6,974","4,756","6,007","150,833","223,156","102,393","69,031","27,978","9,866","3,985","11,122","63,250","400,993","298,004","46,222","4,857","17,522","10,238","23,330","4,643","11,294","454,121","479,867","358,447","371,400","5,450","88,364","101,805","4,659","9,358","30,183","168,617","236,220","6,203","12,073","6,375","11,695","146,174","213,798","72,210","5,030","93,349","18,823","9,840","15,070","72,323","5,384"
"        Under 5 years","82,547","34,553","43,523","25,003","27,536","339","924","337","4,672","1,255","1,375","1,375","435","187","353","344","7,493","1,770","2,307","2,227","1,245","259","662","435","396","8,315","13,438","9,647","4,600","4,327","1,568","251","2,307","4,206","26,942","20,504","2,991","370","854","409","1,270","269","618","21,866","25,918","24,268","26,010","285","4,550","7,002","492","881","4,368","12,687","17,605","735","1,526","285","639","7,823","12,557","5,279","348","8,970","2,533","585","2,821","5,123","720"
"        5 to 9 years","75,101","27,149","34,642","24,481","26,657","478","1,038","388","3,446","716","1,235","1,219","573","50","197","117","5,000","975","1,677","1,611","1,134","140","270","295","159","11,263","16,435","8,284","4,916","2,978","1,353","213","1,285","4,275","28,944","22,325","2,999","431","1,239","749","1,284","151","763","15,605","18,536","23,535","25,025","300","3,358","4,758","497","820","3,139","11,544","16,106","946","1,632","455","738","10,766","15,615","5,145","282","7,493","2,176","560","1,554","5,172","390"
"        10 to 14 years","79,588","28,570","35,080","25,980","27,984","604","1,228","485","4,018","685","1,485","1,485","561","76","324","298","5,393","906","1,837","1,828","1,076","248","277","348","358","13,221","17,619","7,181","4,087","2,613","1,245","171","1,034","3,653","32,918","25,812","3,682","177","1,144","810","1,546","133","1,163","14,499","16,839","25,297","26,702","303","3,981","5,175","230","455","2,634","14,071","18,241","683","1,282","575","925","12,991","17,164","4,547","492","6,510","2,004","624","1,375","4,398","481"
"        15 to 17 years","45,099","14,425","19,348","14,837","15,763","386","1,022","293","1,932","288","843","843","269","60","155","106","2,655","411","1,042","1,042","451","269","125","155","106","7,880","12,051","5,589","4,064","1,320","488","107","489","3,651","20,244","15,773","2,075","151","670","521","1,233","343","675","7,158","8,031","14,454","15,037","250","1,902","2,456","117","245","1,159","7,267","11,317","383","726","355","772","7,763","11,806","4,430","298","4,923","926","636","723","4,171","205"
"        18 and 19 years","32,475","12,869","15,362","9,260","9,772","195","474","207","2,261","563","899","894","192","141","96","224","2,602","575","1,007","992","255","76","194","96","236","5,168","6,988","2,682","1,808","781","264","168","285","1,676","13,000","10,217","1,552","69","272","110","586","123","361","7,471","8,072","9,076","9,412","183","2,101","2,357","83","137","689","5,398","7,290","184","360","180","291","5,085","6,851","1,993","76","2,493","512","279","341","1,820","93"
"        20 years","15,450","5,940","7,258","4,807","5,034","98","240","98","970","233","326","326","257","62","0","34","1,314","271","430","420","356","45","62","25","34","2,243","3,134","1,392","805","461","150","55","216","771","5,844","4,235","636","164","291","101","196","11","114","3,385","3,769","4,628","4,787","48","894","1,204","243","281","456","2,555","3,489","179","247","98","192","2,000","2,853","936","69","1,318","227","142","344","891","126"
"        21 years","17,531","6,044","7,371","5,927","6,122","99","212","95","1,320","269","634","611","137","51","27","60","1,542","306","648","625","190","45","61","27","60","2,786","3,658","1,355","872","450","152","104","180","858","5,678","4,061","614","25","219","37","631","130","396","4,196","4,553","5,852","6,026","62","1,281","1,473","125","139","381","1,848","2,818","75","96","81","150","2,661","3,519","974","17","1,327","195","113","222","872","33"
"        22 to 24 years","62,181","27,801","32,018","16,680","18,137","290","1,013","527","4,865","1,309","1,936","1,851","394","304","154","309","5,622","1,454","2,105","2,020","528","241","346","170","328","7,600","10,706","4,945","2,835","1,697","599","231","495","2,517","19,040","14,479","1,987","188","706","523","926","127","436","20,234","21,478","16,291","17,233","298","4,830","5,516","122","301","1,664","7,567","10,540","389","904","290","715","7,478","10,405","3,281","244","4,217","1,457","723","757","3,106","413"
"        25 to 29 years","139,159","73,526","82,596","31,652","33,994","595","1,645","587","11,651","3,780","4,175","4,067","898","613","352","720","13,206","3,912","4,618","4,496","1,234","561","764","390","887","11,764","18,185","9,931","5,988","3,100","1,309","343","1,063","5,457","35,121","25,702","4,018","729","1,652","1,090","1,953","331","818","57,228","60,479","31,006","32,832","682","11,501","12,984","355","1,035","3,762","16,298","22,117","646","1,162","420","963","11,409","17,150","6,169","437","9,070","2,342","1,050","1,555","6,421","843"
