"Label (Grouping)","Chicago city, Cook County, Illinois!!Total!!Estimate","Chicago city, Cook County, Illinois!!Married-couple family household!!Estimate","Chicago city, Cook County, Illinois!!Male householder, no spouse present, family household!!Estimate","Chicago city, Cook County, Illinois!!Female householder, no spouse present, family household!!Estimate","Chicago city, Cook County, Illinois!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","1,139,537","364,420","54,991","160,864","559,262"
"    Average household size","2.32","3.32","3.42","3.42","1.24"
"FAMILIES","","","","",""
"    Total families","580,275","364,420","54,991","160,864","(X)"
"    Average family size","3.26","3.30","3.06","3.24","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","239,687","145,328","21,082","73,277","(X)"
"        Under 6 years only","25.2%","28.8%","21.8%","18.9%","(X)"
"        Under 6 years and 6 to 17 years","19.1%","17.9%","24.0%","20.1%","(X)"
"        6 to 17 years only","55.7%","53.3%","54.2%","61.0%","(X)"
"Total households","1,139,537","364,420","54,991","160,864","559,262"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","24.2%","42.8%","46.8%","57.6%","0.2%"
"        Households with one or more people 60 years and over","33.4%","34.9%","37.2%","34.3%","31.7%"
"        Households with one or more people 65 year and over","25.2%","(X)","(X)","(X)","24.4%"
"        Householder living alone","39.2%","(X)","(X)","(X)","79.8%"
"            65 years and over","11.1%","(X)","(X)","(X)","22.6%"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","31.6%","51.6%","37.2%","38.6%","15.9%"
"        2-or-more-unit structures","68.2%","48.1%","62.8%","61.3%","83.8%"
"        Mobile homes and all other types of units","0.2%","0.2%","0.0%","0.1%","0.2%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","46.6%","71.3%","45.5%","38.7%","32.9%"
"        Renter-occupied housing units","53.4%","28.7%","54.5%","61.3%","67.1%"
