"Label (Grouping)","Chicago city, Cook County, Illinois!!Total!!Estimate","Chicago city, Cook County, Illinois!!Now married (except separated)!!Estimate","Chicago city, Cook County, Illinois!!Widowed!!Estimate","Chicago city, Cook County, Illinois!!Divorced!!Estimate","Chicago city, Cook County, Illinois!!Separated!!Estimate","Chicago city, Cook County, Illinois!!Never married!!Estimate"
"Population 15 years and over","2,243,273","36.3%","4.6%","7.9%","2.1%","49.2%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","1,081,277","38.4%","2.0%","6.8%","1.9%","50.8%"
"            15 to 19 years","77,097","1.5%","0.0%","0.0%","0.1%","98.4%"
"            20 to 34 years","344,832","18.3%","0.1%","1.2%","0.5%","80.0%"
"            35 to 44 years","201,546","51.0%","0.1%","6.3%","2.2%","40.4%"
"            45 to 54 years","153,620","53.3%","0.4%","11.0%","2.7%","32.6%"
"            55 to 64 years","146,358","54.1%","2.5%","12.3%","3.6%","27.5%"
"            65 years and over","157,824","55.6%","11.0%","13.8%","3.2%","16.4%"
"        Females 15 years and over","1,161,996","34.2%","6.9%","8.8%","2.3%","47.7%"
"            15 to 19 years","70,861","0.2%","0.1%","0.0%","0.0%","99.7%"
"            20 to 34 years","362,173","20.2%","0.0%","1.4%","1.2%","77.1%"
"            35 to 44 years","200,133","49.9%","0.6%","6.1%","2.7%","40.8%"
"            45 to 54 years","157,598","50.9%","2.5%","14.3%","3.4%","28.9%"
"            55 to 64 years","155,889","45.6%","6.7%","16.3%","4.4%","26.9%"
"            65 years and over","215,342","34.0%","30.0%","17.4%","2.2%","16.4%"
"Population 15 years and over","2,243,273","36.3%","4.6%","7.9%","2.1%","49.2%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","N","N","N","N","N","N"
"            White","852,562","41.1%","4.0%","7.6%","1.1%","46.3%"
"            Black or African American","627,542","21.1%","6.5%","10.5%","3.5%","58.3%"
"            American Indian and Alaska Native","24,342","50.9%","2.1%","5.5%","3.4%","38.2%"
"            Asian","162,888","51.8%","4.2%","5.1%","1.3%","37.6%"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N"
"            Some other race","283,634","41.6%","2.8%","5.1%","2.4%","48.1%"
"        Two or more races","291,066","39.8%","4.3%","7.4%","2.2%","46.5%"
"        Hispanic or Latino origin (of any race)","613,532","40.7%","3.5%","5.9%","2.3%","47.6%"
"        White alone, not Hispanic or Latino","785,024","41.8%","4.0%","7.7%","1.0%","45.5%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","1,065,745","39.0%","2.1%","6.9%","1.9%","50.1%"
"        In labor force","758,481","41.7%","0.5%","6.2%","1.7%","49.9%"
"    Females 16 years and over","1,146,677","34.7%","7.0%","8.9%","2.3%","47.0%"
"        In labor force","729,291","34.4%","2.1%","8.0%","2.1%","53.4%"
"SUMMARY INDICATOR","","","","","",""
"    Ratio of Unmarried Men 15 to 44 years per 100 unmarried women 15 to 44 years","100.1","(X)","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","9.5%","(X)","(X)","(X)","(X)","(X)"
