"Label (Grouping)","Chicago city, Cook County, Illinois!!Total!!Estimate","Chicago city, Cook County, Illinois!!Percent!!Estimate","Chicago city, Cook County, Illinois!!In public school!!Estimate","Chicago city, Cook County, Illinois!!Percent in public school!!Estimate","Chicago city, Cook County, Illinois!!In private school!!Estimate","Chicago city, Cook County, Illinois!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","647,429","(X)","(X)","71.4%","(X)","28.6%"
"    Nursery school, preschool","42,856","6.6%","23,245","54.2%","19,611","45.8%"
"    Kindergarten to 12th grade","397,733","61.4%","333,887","83.9%","63,846","16.1%"
"        Kindergarten","29,486","4.6%","23,651","80.2%","5,835","19.8%"
"        Elementary: grade 1 to grade 4","119,299","18.4%","98,601","82.7%","20,698","17.3%"
"        Elementary: grade 5 to grade 8","125,091","19.3%","105,179","84.1%","19,912","15.9%"
"        High school: grade 9 to grade 12","123,857","19.1%","106,456","86.0%","17,401","14.0%"
"    College, undergraduate","140,221","21.7%","81,602","58.2%","58,619","41.8%"
"    Graduate, professional school","66,619","10.3%","23,244","34.9%","43,375","65.1%"
"Population enrolled in college or graduate school","206,840","31.9%","104,846","50.7%","101,994","49.3%"
"    Males enrolled in college or graduate school","92,929","29.4%","47,260","50.9%","45,669","49.1%"
"    Females enrolled in college or graduate school","113,911","34.4%","57,586","50.6%","56,325","49.4%"
"Population 3 to 4 years","64,853","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","34,775","53.6%","18,456","53.1%","16,319","46.9%"
"Population 5 to 9 years","147,656","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","140,935","95.4%","113,084","80.2%","27,851","19.8%"
"Population 10 to 14 years","158,638","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","155,154","97.8%","131,104","84.5%","24,050","15.5%"
"Population 15 to 17","89,614","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","86,664","96.7%","73,674","85.0%","12,990","15.0%"
"Population 18 to 19 years","65,787","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","51,373","78.1%","33,455","65.1%","17,918","34.9%"
"Population 20 to 24 years","197,530","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","79,275","40.1%","41,415","52.2%","37,860","47.8%"
"Population 25 to 34 years","543,502","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","64,085","11.8%","30,208","47.1%","33,877","52.9%"
"Population 35 years and over","1,376,269","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","35,168","2.6%","20,582","58.5%","14,586","41.5%"
"Population 18 to 24 years","263,317","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","109,681","41.7%","56,255","51.3%","53,426","48.7%"
"    Males 18 to 24 years","127,637","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","48,897","38.3%","25,872","52.9%","23,025","47.1%"
"    Females 18 to 24 years","135,680","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","60,784","44.8%","30,383","50.0%","30,401","50.0%"
