"Label (Grouping)","Chicago city, Cook County, Illinois!!Total!!Estimate","Chicago city, Cook County, Illinois!!Labor Force Participation Rate!!Estimate","Chicago city, Cook County, Illinois!!Employment/Population Ratio!!Estimate","Chicago city, Cook County, Illinois!!Unemployment rate!!Estimate"
"Population 16 years and over","2,242,253","67.3%","61.6%","8.4%"
"    AGE","","","",""
"        16 to 19 years","124,952","28.2%","19.5%","30.7%"
"        20 to 24 years","197,530","73.7%","62.0%","15.7%"
"        25 to 29 years","282,235","85.9%","78.8%","8.2%"
"        30 to 34 years","261,267","87.7%","82.1%","6.4%"
"        35 to 44 years","391,778","85.7%","80.0%","6.6%"
"        45 to 54 years","325,933","80.6%","74.8%","7.2%"
"        55 to 59 years","160,113","71.1%","65.5%","7.8%"
"        60 to 64 years","148,002","55.5%","51.4%","7.3%"
"        65 to 74 years","208,056","25.9%","24.5%","5.3%"
"        75 years and over","142,387","6.0%","5.7%","4.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","1,054,777","72.2%","68.5%","5.2%"
"        Black or African American alone","641,026","58.6%","48.9%","16.4%"
"        American Indian and Alaska Native alone","10,474","66.9%","61.5%","8.1%"
"        Asian alone","162,067","68.4%","65.3%","4.6%"
"        Native Hawaiian and Other Pacific Islander alone","912","80.9%","76.8%","5.1%"
"        Some other race alone","224,865","67.6%","62.3%","7.8%"
"        Two or more races","148,132","68.5%","62.6%","8.6%"
"        Hispanic or Latino origin (of any race)","596,491","67.0%","61.6%","8.0%"
"        White alone, not Hispanic or Latino","801,859","74.0%","70.7%","4.4%"
"Population 20 to 64 years","1,766,858","79.9%","73.4%","8.0%"
"    SEX","","","",""
"        Male","875,657","83.1%","76.6%","7.8%"
"        Female","891,201","76.7%","70.4%","8.2%"
"            With own children under 18 years","251,933","75.2%","67.5%","10.1%"
"                With own children under 6 years only","65,221","76.6%","66.7%","13.0%"
"                With own children under 6 years and 6 to 17  years","47,684","67.6%","60.3%","10.8%"
"                With own children 6 to 17 years only","139,028","77.0%","70.4%","8.6%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","256,408","49.7%","34.1%","31.4%"
"        At or above the poverty level","1,485,118","86.1%","81.2%","5.7%"
"    DISABILITY STATUS","","","",""
"        With any disability","155,400","44.3%","36.2%","18.5%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","1,569,328","80.7%","74.9%","7.1%"
"        Less than high school graduate","182,230","59.5%","52.7%","11.4%"
"        High school graduate (includes equivalency)","321,026","71.5%","62.5%","12.5%"
"        Some college or associate's degree","360,528","80.4%","72.7%","9.5%"
"        Bachelor's degree or higher","705,544","90.5%","87.4%","3.4%"
