"Label (Grouping)","Chicago city, Cook County, Illinois!!Total!!Estimate","Chicago city, Cook County, Illinois!!Male!!Estimate","Chicago city, Cook County, Illinois!!Percent Male!!Estimate","Chicago city, Cook County, Illinois!!Female!!Estimate","Chicago city, Cook County, Illinois!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","1,381,372","710,871","51.5%","670,501","48.5%"
"    Management, business, science, and arts occupations:","628,560","298,359","47.5%","330,201","52.5%"
"        Management, business, and financial occupations:","270,004","137,722","51.0%","132,282","49.0%"
"            Management occupations","156,505","83,464","53.3%","73,041","46.7%"
"            Business and financial operations occupations","113,499","54,258","47.8%","59,241","52.2%"
"        Computer, engineering, and science occupations:","91,519","64,931","70.9%","26,588","29.1%"
"            Computer and mathematical occupations","55,536","41,764","75.2%","13,772","24.8%"
"            Architecture and engineering occupations","20,653","15,665","75.8%","4,988","24.2%"
"            Life, physical, and social science occupations","15,330","7,502","48.9%","7,828","51.1%"
"        Education, legal, community service, arts, and media occupations:","188,800","74,326","39.4%","114,474","60.6%"
"            Community and social service occupations","29,402","9,244","31.4%","20,158","68.6%"
"            Legal occupations","30,132","14,884","49.4%","15,248","50.6%"
"            Educational instruction, and library occupations","87,658","29,084","33.2%","58,574","66.8%"
"            Arts, design, entertainment, sports, and media occupations","41,608","21,114","50.7%","20,494","49.3%"
"        Healthcare practitioners and technical occupations:","78,237","21,380","27.3%","56,857","72.7%"
"            Health diagnosing and treating practitioners and other technical occupations","59,274","15,712","26.5%","43,562","73.5%"
"            Health technologists and technicians","18,963","5,668","29.9%","13,295","70.1%"
"    Service occupations:","250,005","116,110","46.4%","133,895","53.6%"
"        Healthcare support occupations","46,740","7,065","15.1%","39,675","84.9%"
"        Protective service occupations:","41,539","29,590","71.2%","11,949","28.8%"
"            Firefighting and prevention, and other protective service workers including supervisors","24,200","16,586","68.5%","7,614","31.5%"
"            Law enforcement workers including supervisors","17,339","13,004","75.0%","4,335","25.0%"
"        Food preparation and serving related occupations","74,599","41,844","56.1%","32,755","43.9%"
"        Building and grounds cleaning and maintenance occupations","46,848","26,551","56.7%","20,297","43.3%"
"        Personal care and service occupations","40,279","11,060","27.5%","29,219","72.5%"
"    Sales and office occupations:","266,061","106,294","40.0%","159,767","60.0%"
"        Sales and related occupations","125,799","61,815","49.1%","63,984","50.9%"
"        Office and administrative support occupations","140,262","44,479","31.7%","95,783","68.3%"
"    Natural resources, construction, and maintenance occupations:","69,257","66,618","96.2%","2,639","3.8%"
"        Farming, fishing, and forestry occupations","1,119","806","72.0%","313","28.0%"
"        Construction and extraction occupations","43,285","41,847","96.7%","1,438","3.3%"
"        Installation, maintenance, and repair occupations","24,853","23,965","96.4%","888","3.6%"
"    Production, transportation, and material moving occupations:","167,489","123,490","73.7%","43,999","26.3%"
"        Production occupations","61,238","40,771","66.6%","20,467","33.4%"
"        Transportation occupations","56,592","46,199","81.6%","10,393","18.4%"
"        Material moving occupations","49,659","36,520","73.5%","13,139","26.5%"
