"Label (Grouping)","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Total!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Married-couple family household!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Male householder, no wife present, family household!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Female householder, no husband present, family household!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","2,170,034","1,073,498","97,525","263,047","735,964"
"    Average household size","2.76","3.45","3.67","3.54","1.35"
"FAMILIES","","","","",""
"    Total families","1,434,070","1,073,498","97,525","263,047","(X)"
"    Average family size","3.37","3.40","3.20","3.32","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","672,194","495,056","44,093","133,045","(X)"
"        Under 6 years only","22.9%","24.7%","23.5%","16.0%","(X)"
"        Under 6 years and 6 to 17 years","19.0%","19.6%","17.5%","17.0%","(X)"
"        6 to 17 years only","58.1%","55.6%","59.0%","67.0%","(X)"
"Total households","2,170,034","1,073,498","97,525","263,047","735,964"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","34.3%","48.9%","55.0%","61.2%","0.6%"
"        Households with one or more people 60 years and over","32.9%","33.0%","27.0%","28.3%","35.1%"
"        Householder living alone","27.0%","(X)","(X)","(X)","79.6%"
"            65 years and over","8.1%","(X)","(X)","(X)","23.8%"
"    UNMARRIED-PARTNER HOUSEHOLDS","","","","",""
"        Same sex","0.5%","(X)","(X)","(X)","(X)"
"        Opposite sex","4.8%","(X)","(X)","(X)","(X)"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","67.2%","83.9%","63.9%","63.2%","44.6%"
"        2-or-more-unit structures","32.2%","15.5%","34.8%","35.9%","54.8%"
"        Mobile homes and all other types of units","0.7%","0.6%","1.3%","1.0%","0.6%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","63.4%","78.3%","52.0%","48.9%","48.4%"
"        Renter-occupied housing units","36.6%","21.7%","48.0%","51.1%","51.6%"
