"Label (Grouping)","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Total!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Now married (except separated)!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Widowed!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Divorced!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Separated!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Never married!!Estimate"
"Population 15 years and over","4,909,641","48.7%","4.3%","8.9%","2.1%","36.1%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","2,372,999","51.2%","1.7%","7.0%","1.9%","38.2%"
"            15 to 19 years","194,864","1.0%","0.0%","0.0%","0.1%","98.9%"
"            20 to 34 years","653,992","25.8%","0.1%","2.0%","1.1%","71.1%"
"            35 to 44 years","431,437","64.4%","0.2%","6.8%","2.4%","26.1%"
"            45 to 54 years","429,474","69.1%","0.7%","11.1%","2.8%","16.2%"
"            55 to 64 years","347,136","70.2%","1.8%","12.7%","2.6%","12.7%"
"            65 years and over","316,096","71.5%","9.6%","10.3%","1.8%","6.7%"
"        Females 15 years and over","2,536,642","46.3%","6.8%","10.6%","2.3%","34.1%"
"            15 to 19 years","188,645","1.1%","0.0%","0.0%","0.1%","98.7%"
"            20 to 34 years","665,402","32.1%","0.2%","2.9%","1.4%","63.4%"
"            35 to 44 years","446,349","63.4%","0.7%","9.7%","3.3%","22.8%"
"            45 to 54 years","450,660","63.1%","2.0%","15.4%","3.5%","16.1%"
"            55 to 64 years","378,398","58.5%","6.9%","18.8%","2.7%","13.1%"
"            65 years and over","407,188","41.7%","32.5%","16.0%","1.7%","8.1%"
"Population 15 years and over","4,909,641","48.7%","4.3%","8.9%","2.1%","36.1%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","4,765,066","49.0%","4.4%","8.9%","2.1%","35.7%"
"            White","2,739,272","53.6%","4.4%","8.7%","1.6%","31.7%"
"            Black or African American","1,250,044","35.0%","5.1%","11.7%","3.2%","45.0%"
"            American Indian and Alaska Native","15,103","42.4%","4.8%","13.7%","3.0%","36.1%"
"            Asian","500,295","62.6%","4.1%","4.4%","1.1%","27.8%"
"            Native Hawaiian and Other Pacific Islander","3,129","46.9%","4.0%","8.0%","2.6%","38.4%"
"            Some other race","257,223","42.0%","1.6%","6.2%","2.8%","47.4%"
"        Two or more races","144,575","38.0%","2.3%","8.3%","2.3%","49.1%"
"        Hispanic or Latino origin (of any race)","678,053","45.0%","2.0%","7.1%","3.0%","42.9%"
"        White alone, not Hispanic or Latino","2,366,188","54.4%","4.7%","8.9%","1.4%","30.5%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","2,333,087","52.0%","1.8%","7.2%","1.9%","37.1%"
"        In labor force","1,804,221","55.1%","0.7%","6.9%","1.9%","35.3%"
"    Females 16 years and over","2,498,572","47.0%","6.9%","10.7%","2.3%","33.1%"
"        In labor force","1,662,475","47.2%","2.4%","11.6%","2.6%","36.1%"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","5.6%","(X)","(X)","(X)","(X)","(X)"
