"Label (Grouping)","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Total!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!In public school!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent in public school!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!In private school!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","1,612,914","(X)","(X)","79.3%","(X)","20.7%"
"    Nursery school, preschool","107,116","6.6%","47,356","44.2%","59,760","55.8%"
"    Kindergarten to 12th grade","1,016,679","63.0%","897,351","88.3%","119,328","11.7%"
"        Kindergarten","82,596","5.1%","71,200","86.2%","11,396","13.8%"
"        Elementary: grade 1 to grade 4","313,014","19.4%","278,318","88.9%","34,696","11.1%"
"        Elementary: grade 5 to grade 8","302,126","18.7%","265,654","87.9%","36,472","12.1%"
"        High school: grade 9 to grade 12","318,943","19.8%","282,179","88.5%","36,764","11.5%"
"    College, undergraduate","351,462","21.8%","264,264","75.2%","87,198","24.8%"
"    Graduate, professional school","137,657","8.5%","70,546","51.2%","67,111","48.8%"
"Population enrolled in college or graduate school","489,119","30.3%","334,810","68.5%","154,309","31.5%"
"    Males enrolled in college or graduate school","225,389","28.2%","158,889","70.5%","66,500","29.5%"
"    Females enrolled in college or graduate school","263,730","32.4%","175,921","66.7%","87,809","33.3%"
"Population 3 to 4 years","162,289","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","86,915","53.6%","38,598","44.4%","48,317","55.6%"
"Population 5 to 9 years","396,404","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","380,107","95.9%","326,576","85.9%","53,531","14.1%"
"Population 10 to 14 years","383,273","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","377,932","98.6%","333,056","88.1%","44,876","11.9%"
"Population 15 to 17","230,755","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","224,922","97.5%","198,918","88.4%","26,004","11.6%"
"Population 18 to 19 years","152,754","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","121,335","79.4%","95,184","78.4%","26,151","21.6%"
"Population 20 to 24 years","388,656","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","171,382","44.1%","124,465","72.6%","46,917","27.4%"
"Population 25 to 34 years","930,738","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","133,541","14.3%","88,110","66.0%","45,431","34.0%"
"Population 35 years and over","3,206,738","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","116,780","3.6%","74,610","63.9%","42,170","36.1%"
"Population 18 to 24 years","541,410","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","243,729","45.0%","176,755","72.5%","66,974","27.5%"
"    Males 18 to 24 years","272,772","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","114,356","41.9%","86,444","75.6%","27,912","24.4%"
"    Females 18 to 24 years","268,638","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","129,373","48.2%","90,311","69.8%","39,062","30.2%"
