"Label (Grouping)","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Total!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Labor Force Participation Rate!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Employment/Population Ratio!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Unemployment rate!!Estimate"
"Population 16 years and over","4,831,659","71.7%","67.0%","5.5%"
"    AGE","","","",""
"        16 to 19 years","305,527","35.3%","28.0%","19.6%"
"        20 to 24 years","388,656","76.2%","65.7%","11.7%"
"        25 to 29 years","455,503","87.5%","81.0%","6.2%"
"        30 to 34 years","475,235","87.5%","82.1%","4.8%"
"        35 to 44 years","877,786","87.8%","82.8%","4.3%"
"        45 to 54 years","880,134","87.1%","83.0%","3.9%"
"        55 to 59 years","392,535","80.1%","76.7%","4.0%"
"        60 to 64 years","332,999","65.6%","62.7%","4.4%"
"        65 to 74 years","438,569","34.9%","33.6%","3.7%"
"        75 years and over","284,715","8.9%","8.6%","3.1%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","2,699,622","71.7%","67.7%","4.1%"
"        Black or African American alone","1,229,638","70.6%","63.8%","9.1%"
"        American Indian and Alaska Native alone","14,792","69.6%","64.1%","6.0%"
"        Asian alone","493,265","70.6%","67.3%","4.2%"
"        Native Hawaiian and Other Pacific Islander alone","3,105","68.9%","61.2%","4.5%"
"        Some other race alone","252,066","79.9%","75.0%","5.9%"
"        Two or more races","139,171","73.5%","67.1%","7.2%"
"        Hispanic or Latino origin (of any race)","664,243","78.7%","73.8%","5.5%"
"        White alone, not Hispanic or Latino","2,333,863","70.7%","66.9%","3.9%"
"Population 20 to 64 years","3,802,848","83.6%","78.4%","5.2%"
"    SEX","","","",""
"        Male","1,862,039","88.8%","82.7%","5.0%"
"        Female","1,940,809","78.7%","74.2%","5.3%"
"            With own children under 18 years","688,747","76.8%","72.2%","5.5%"
"                With own children under 6 years only","168,740","75.1%","70.3%","5.7%"
"                With own children under 6 years and 6 to 17  years","129,675","68.1%","63.1%","7.0%"
"                With own children under 6 to 17 years only","390,332","80.3%","76.0%","5.0%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","279,108","54.2%","39.6%","26.7%"
"        At or above the poverty level","3,478,189","86.6%","82.2%","4.1%"
"    DISABILITY STATUS","","","",""
"        With any disability","253,994","54.3%","47.2%","12.3%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","3,414,192","84.5%","79.8%","4.5%"
"        Less than high school graduate","296,936","73.4%","67.9%","7.5%"
"        High school graduate (includes equivalency)","597,343","78.5%","72.5%","7.3%"
"        Some college or associate's degree","764,599","83.0%","77.6%","5.4%"
"        Bachelor's degree or higher","1,755,314","89.0%","85.3%","2.9%"
