"Label (Grouping)","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Total!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Male!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Male!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Female!!Estimate","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","3,238,029","1,675,346","51.7%","1,562,683","48.3%"
"    Management, business, science, and arts occupations:","1,675,618","835,151","49.8%","840,467","50.2%"
"        Management, business, and financial occupations:","717,813","373,719","52.1%","344,094","47.9%"
"            Management occupations","458,902","257,516","56.1%","201,386","43.9%"
"            Business and financial operations occupations","258,911","116,203","44.9%","142,708","55.1%"
"        Computer, engineering, and science occupations:","367,488","254,044","69.1%","113,444","30.9%"
"            Computer and mathematical occupations","236,970","165,294","69.8%","71,676","30.2%"
"            Architecture and engineering occupations","67,292","55,171","82.0%","12,121","18.0%"
"            Life, physical, and social science occupations","63,226","33,579","53.1%","29,647","46.9%"
"        Education, legal, community service, arts, and media occupations:","442,849","168,999","38.2%","273,850","61.8%"
"            Community and social services occupations","54,962","17,940","32.6%","37,022","67.4%"
"            Legal occupations","93,855","50,772","54.1%","43,083","45.9%"
"            Education, training, and library occupations","200,873","55,160","27.5%","145,713","72.5%"
"            Arts, design, entertainment, sports, and media occupations","93,159","45,127","48.4%","48,032","51.6%"
"        Healthcare practitioner and technical occupations:","147,468","38,389","26.0%","109,079","74.0%"
"            Health diagnosing and treating practitioners and other technical occupations","103,614","27,173","26.2%","76,441","73.8%"
"            Health technologists and technicians","43,854","11,216","25.6%","32,638","74.4%"
"    Service occupations:","520,578","231,287","44.4%","289,291","55.6%"
"        Healthcare support occupations","52,908","9,270","17.5%","43,638","82.5%"
"        Protective service occupations:","88,307","64,596","73.1%","23,711","26.9%"
"            Fire fighting and prevention, and other protective service workers including supervisors","53,394","37,101","69.5%","16,293","30.5%"
"            Law enforcement workers including supervisors","34,913","27,495","78.8%","7,418","21.2%"
"        Food preparation and serving related occupations","151,553","73,921","48.8%","77,632","51.2%"
"        Building and grounds cleaning and maintenance occupations","113,689","57,598","50.7%","56,091","49.3%"
"        Personal care and service occupations","114,121","25,902","22.7%","88,219","77.3%"
"    Sales and office occupations:","633,676","248,563","39.2%","385,113","60.8%"
"        Sales and related occupations","268,495","133,897","49.9%","134,598","50.1%"
"        Office and administrative support occupations","365,181","114,666","31.4%","250,515","68.6%"
"    Natural resources, construction, and maintenance occupations:","219,901","211,266","96.1%","8,635","3.9%"
"        Farming, fishing, and forestry occupations","4,586","3,348","73.0%","1,238","27.0%"
"        Construction and extraction occupations","148,120","143,963","97.2%","4,157","2.8%"
"        Installation, maintenance, and repair occupations","67,195","63,955","95.2%","3,240","4.8%"
"    Production, transportation, and material moving occupations:","188,256","149,079","79.2%","39,177","20.8%"
"        Production occupations","58,815","40,916","69.6%","17,899","30.4%"
"        Transportation occupations","93,091","78,069","83.9%","15,022","16.1%"
"        Material moving occupations","36,350","30,094","82.8%","6,256","17.2%"
