"Label (Grouping)","Dallas-Fort Worth-Arlington, TX Metro Area!!Total!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Married-couple family household!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Male householder, no wife present, family household!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Female householder, no husband present, family household!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","2,494,426","1,269,299","128,539","337,256","759,332"
"    Average household size","2.81","3.46","3.58","3.54","1.28"
"FAMILIES","","","","",""
"    Total families","1,735,094","1,269,299","128,539","337,256","(X)"
"    Average family size","3.40","3.44","3.18","3.35","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","860,512","600,373","61,708","198,431","(X)"
"        Under 6 years only","20.6%","21.1%","24.2%","17.9%","(X)"
"        Under 6 years and 6 to 17 years","21.4%","22.5%","17.0%","19.5%","(X)"
"        6 to 17 years only","58.1%","56.5%","58.8%","62.6%","(X)"
"Total households","2,494,426","1,269,299","128,539","337,256","759,332"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","38.4%","50.7%","58.0%","69.5%","0.8%"
"        Households with one or more people 60 years and over","29.6%","29.6%","23.7%","22.4%","33.9%"
"        Householder living alone","24.8%","(X)","(X)","(X)","81.5%"
"            65 years and over","7.1%","(X)","(X)","(X)","23.3%"
"    UNMARRIED-PARTNER HOUSEHOLDS","","","","",""
"        Same sex","0.4%","(X)","(X)","(X)","(X)"
"        Opposite sex","5.2%","(X)","(X)","(X)","(X)"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","68.3%","84.2%","63.3%","60.0%","46.4%"
"        2-or-more-unit structures","28.1%","12.3%","30.9%","35.7%","50.6%"
"        Mobile homes and all other types of units","3.6%","3.5%","5.8%","4.3%","3.0%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","59.8%","76.9%","48.3%","42.2%","40.9%"
"        Renter-occupied housing units","40.2%","23.1%","51.7%","57.8%","59.1%"
