"Label (Grouping)","Dallas-Fort Worth-Arlington, TX Metro Area!!Total!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Now married (except separated)!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Widowed!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Divorced!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Separated!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Never married!!Estimate"
"Population 15 years and over","5,527,904","50.5%","4.5%","10.8%","2.3%","32.0%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","2,689,980","52.6%","2.0%","8.9%","1.8%","34.7%"
"            15 to 19 years","253,133","0.9%","0.0%","0.0%","0.1%","98.9%"
"            20 to 34 years","753,590","32.6%","0.1%","3.2%","1.1%","62.9%"
"            35 to 44 years","496,618","67.1%","0.4%","9.8%","2.7%","20.1%"
"            45 to 54 years","481,976","69.0%","1.0%","14.4%","2.8%","12.9%"
"            55 to 64 years","376,937","70.0%","2.5%","16.0%","2.5%","9.1%"
"            65 years and over","327,726","72.2%","11.2%","11.6%","1.2%","3.8%"
"        Females 15 years and over","2,837,924","48.6%","6.8%","12.6%","2.7%","29.4%"
"            15 to 19 years","243,498","1.7%","0.0%","0.1%","0.1%","98.2%"
"            20 to 34 years","763,296","39.0%","0.2%","4.5%","2.4%","53.9%"
"            35 to 44 years","517,593","65.0%","0.9%","12.9%","4.4%","16.9%"
"            45 to 54 years","489,587","64.2%","2.6%","18.9%","3.8%","10.5%"
"            55 to 64 years","402,239","60.8%","7.1%","22.0%","2.8%","7.2%"
"            65 years and over","421,711","43.1%","34.4%","17.7%","1.2%","3.6%"
"Population 15 years and over","5,527,904","50.5%","4.5%","10.8%","2.3%","32.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","5,405,499","50.8%","4.5%","10.8%","2.3%","31.6%"
"            White","3,896,703","53.8%","4.7%","11.0%","1.9%","28.6%"
"            Black or African American","845,210","32.9%","4.8%","13.8%","3.8%","44.6%"
"            American Indian and Alaska Native","24,342","48.7%","3.8%","12.5%","2.3%","32.7%"
"            Asian","354,847","64.8%","3.3%","4.4%","0.9%","26.5%"
"            Native Hawaiian and Other Pacific Islander","5,605","50.1%","4.3%","6.0%","3.7%","35.9%"
"            Some other race","278,792","45.7%","2.5%","7.4%","3.7%","40.7%"
"        Two or more races","122,405","37.7%","2.9%","9.9%","2.2%","47.2%"
"        Hispanic or Latino origin (of any race)","1,406,502","48.1%","2.5%","7.0%","3.4%","38.9%"
"        White alone, not Hispanic or Latino","2,816,859","55.6%","5.6%","12.6%","1.4%","24.9%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","2,635,437","53.6%","2.0%","9.1%","1.8%","33.3%"
"        In labor force","2,006,854","57.4%","0.9%","8.7%","1.9%","31.1%"
"    Females 16 years and over","2,787,354","49.4%","6.9%","12.8%","2.7%","28.1%"
"        In labor force","1,715,162","48.6%","2.5%","14.6%","3.2%","31.0%"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","4.4%","(X)","(X)","(X)","(X)","(X)"
