"Label (Grouping)","Dallas-Fort Worth-Arlington, TX Metro Area!!Total!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!In public school!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent in public school!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!In private school!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","1,953,228","(X)","(X)","87.5%","(X)","12.5%"
"    Nursery school, preschool","120,688","6.2%","70,330","58.3%","50,358","41.7%"
"    Kindergarten to 12th grade","1,380,679","70.7%","1,271,373","92.1%","109,306","7.9%"
"        Kindergarten","107,552","5.5%","96,451","89.7%","11,101","10.3%"
"        Elementary: grade 1 to grade 4","436,270","22.3%","403,802","92.6%","32,468","7.4%"
"        Elementary: grade 5 to grade 8","424,773","21.7%","391,011","92.1%","33,762","7.9%"
"        High school: grade 9 to grade 12","412,084","21.1%","380,109","92.2%","31,975","7.8%"
"    College, undergraduate","362,829","18.6%","306,685","84.5%","56,144","15.5%"
"    Graduate, professional school","89,032","4.6%","61,426","69.0%","27,606","31.0%"
"Population enrolled in college or graduate school","451,861","23.1%","368,111","81.5%","83,750","18.5%"
"    Males enrolled in college or graduate school","200,007","20.7%","161,719","80.9%","38,288","19.1%"
"    Females enrolled in college or graduate school","251,854","25.5%","206,392","81.9%","45,462","18.1%"
"Population 3 to 4 years","208,687","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","90,326","43.3%","49,819","55.2%","40,507","44.8%"
"Population 5 to 9 years","537,859","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","513,092","95.4%","464,854","90.6%","48,238","9.4%"
"Population 10 to 14 years","533,896","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","524,860","98.3%","483,329","92.1%","41,531","7.9%"
"Population 15 to 17","313,357","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","302,765","96.6%","279,261","92.2%","23,504","7.8%"
"Population 18 to 19 years","183,274","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","132,813","72.5%","117,033","88.1%","15,780","11.9%"
"Population 20 to 24 years","471,506","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","175,545","37.2%","147,355","83.9%","28,190","16.1%"
"Population 25 to 34 years","1,045,380","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","117,109","11.2%","95,379","81.4%","21,730","18.6%"
"Population 35 years and over","3,514,387","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","96,718","2.8%","72,784","75.3%","23,934","24.7%"
"Population 18 to 24 years","654,780","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","242,708","37.1%","203,950","84.0%","38,758","16.0%"
"    Males 18 to 24 years","331,087","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","110,819","33.5%","93,318","84.2%","17,501","15.8%"
"    Females 18 to 24 years","323,693","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","131,889","40.7%","110,632","83.9%","21,257","16.1%"
