"Label (Grouping)","Dallas-Fort Worth-Arlington, TX Metro Area!!Total!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Labor Force Participation Rate!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Employment/Population Ratio!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Unemployment rate!!Estimate"
"Population 16 years and over","5,422,791","68.6%","64.9%","5.3%"
"    AGE","","","",""
"        16 to 19 years","391,518","37.6%","30.6%","18.5%"
"        20 to 24 years","471,506","76.8%","69.2%","9.7%"
"        25 to 29 years","520,288","83.5%","78.7%","5.6%"
"        30 to 34 years","525,092","82.9%","79.1%","4.5%"
"        35 to 44 years","1,014,211","83.5%","80.1%","3.9%"
"        45 to 54 years","971,563","82.2%","78.9%","3.9%"
"        55 to 59 years","430,024","75.6%","72.4%","4.2%"
"        60 to 64 years","349,152","60.7%","58.5%","3.6%"
"        65 to 74 years","460,670","30.3%","29.2%","3.5%"
"        75 years and over","288,767","7.5%","7.2%","3.1%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","3,826,189","68.1%","64.9%","4.6%"
"        Black or African American alone","828,818","69.5%","63.5%","8.5%"
"        American Indian and Alaska Native alone","23,712","67.5%","61.8%","7.8%"
"        Asian alone","349,841","68.1%","65.1%","4.4%"
"        Native Hawaiian and Other Pacific Islander alone","5,507","66.0%","59.0%","7.9%"
"        Some other race alone","271,202","73.7%","69.7%","5.4%"
"        Two or more races","117,522","70.7%","65.5%","7.1%"
"        Hispanic or Latino origin (of any race)","1,367,468","71.2%","67.4%","5.2%"
"        White alone, not Hispanic or Latino","2,775,777","67.2%","64.2%","4.4%"
"Population 20 to 64 years","4,281,836","79.7%","75.8%","4.8%"
"    SEX","","","",""
"        Male","2,109,121","87.4%","83.3%","4.5%"
"        Female","2,172,715","72.3%","68.5%","5.2%"
"            With own children under 18 years","877,456","70.6%","66.8%","5.3%"
"                With own children under 6 years only","193,734","68.0%","64.0%","5.8%"
"                With own children under 6 years and 6 to 17  years","187,691","60.1%","56.1%","6.7%"
"                With own children under 6 to 17 years only","496,031","75.5%","72.0%","4.7%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","484,116","53.7%","43.9%","18.2%"
"        At or above the poverty level","3,761,525","83.7%","80.5%","3.7%"
"    DISABILITY STATUS","","","",""
"        With any disability","349,027","46.9%","41.5%","11.6%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","3,810,330","80.1%","76.6%","4.2%"
"        Less than high school graduate","564,107","69.3%","65.3%","5.7%"
"        High school graduate (includes equivalency)","831,747","75.1%","70.9%","5.5%"
"        Some college or associate's degree","1,099,683","81.5%","77.6%","4.6%"
"        Bachelor's degree or higher","1,314,793","86.7%","84.3%","2.7%"
