"Label (Grouping)","Dallas-Fort Worth-Arlington, TX Metro Area!!Total!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Male!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent Male!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Female!!Estimate","Dallas-Fort Worth-Arlington, TX Metro Area!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","3,520,950","1,902,560","54.0%","1,618,390","46.0%"
"    Management, business, science, and arts occupations:","1,363,631","678,031","49.7%","685,600","50.3%"
"        Management, business, and financial occupations:","611,156","339,439","55.5%","271,717","44.5%"
"            Management occupations","397,480","242,482","61.0%","154,998","39.0%"
"            Business and financial operations occupations","213,676","96,957","45.4%","116,719","54.6%"
"        Computer, engineering, and science occupations:","225,358","173,444","77.0%","51,914","23.0%"
"            Computer and mathematical occupations","138,406","104,407","75.4%","33,999","24.6%"
"            Architecture and engineering occupations","69,279","59,772","86.3%","9,507","13.7%"
"            Life, physical, and social science occupations","17,673","9,265","52.4%","8,408","47.6%"
"        Education, legal, community service, arts, and media occupations:","352,423","118,671","33.7%","233,752","66.3%"
"            Community and social services occupations","44,443","16,415","36.9%","28,028","63.1%"
"            Legal occupations","39,142","18,185","46.5%","20,957","53.5%"
"            Education, training, and library occupations","207,461","51,332","24.7%","156,129","75.3%"
"            Arts, design, entertainment, sports, and media occupations","61,377","32,739","53.3%","28,638","46.7%"
"        Healthcare practitioner and technical occupations:","174,694","46,477","26.6%","128,217","73.4%"
"            Health diagnosing and treating practitioners and other technical occupations","118,248","32,739","27.7%","85,509","72.3%"
"            Health technologists and technicians","56,446","13,738","24.3%","42,708","75.7%"
"    Service occupations:","552,688","241,801","43.8%","310,887","56.3%"
"        Healthcare support occupations","64,505","9,645","15.0%","54,860","85.0%"
"        Protective service occupations:","63,040","48,742","77.3%","14,298","22.7%"
"            Fire fighting and prevention, and other protective service workers including supervisors","37,001","28,325","76.6%","8,676","23.4%"
"            Law enforcement workers including supervisors","26,039","20,417","78.4%","5,622","21.6%"
"        Food preparation and serving related occupations","187,710","88,437","47.1%","99,273","52.9%"
"        Building and grounds cleaning and maintenance occupations","127,209","70,908","55.7%","56,301","44.3%"
"        Personal care and service occupations","110,224","24,069","21.8%","86,155","78.2%"
"    Sales and office occupations:","867,545","349,804","40.3%","517,741","59.7%"
"        Sales and related occupations","396,247","205,920","52.0%","190,327","48.0%"
"        Office and administrative support occupations","471,298","143,884","30.5%","327,414","69.5%"
"    Natural resources, construction, and maintenance occupations:","329,369","317,477","96.4%","11,892","3.6%"
"        Farming, fishing, and forestry occupations","5,922","4,612","77.9%","1,310","22.1%"
"        Construction and extraction occupations","209,645","204,689","97.6%","4,956","2.4%"
"        Installation, maintenance, and repair occupations","113,802","108,176","95.1%","5,626","4.9%"
"    Production, transportation, and material moving occupations:","407,717","315,447","77.4%","92,270","22.6%"
"        Production occupations","176,641","125,169","70.9%","51,472","29.1%"
"        Transportation occupations","128,508","110,472","86.0%","18,036","14.0%"
"        Material moving occupations","102,568","79,806","77.8%","22,762","22.2%"
