Regions Code,Regions,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E12000007,London,-8,Does not apply,0
E12000007,London,1,"Asian, Asian British or Asian Welsh: Bangladeshi",322054
E12000007,London,2,"Asian, Asian British or Asian Welsh: Chinese",147520
E12000007,London,3,"Asian, Asian British or Asian Welsh: Indian",656272
E12000007,London,4,"Asian, Asian British or Asian Welsh: Pakistani",290549
E12000007,London,5,"Asian, Asian British or Asian Welsh: Other Asian",401245
E12000007,London,6,"Black, Black British, Black Welsh, Caribbean or African: African",697054
E12000007,London,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",345405
E12000007,London,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",145911
E12000007,London,9,Mixed or Multiple ethnic groups: White and Asian,125188
E12000007,London,10,Mixed or Multiple ethnic groups: White and Black African,77341
E12000007,London,11,Mixed or Multiple ethnic groups: White and Black Caribbean,132555
E12000007,London,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,170691
E12000007,London,13,"White: English, Welsh, Scottish, Northern Irish or British",3239281
E12000007,London,14,White: Irish,156333
E12000007,London,15,White: Gypsy or Irish Traveller,7031
E12000007,London,16,White: Roma,37689
E12000007,London,17,White: Other White,1290838
E12000007,London,18,Other ethnic group: Arab,139791
E12000007,London,19,Other ethnic group: Any other ethnic group,416977
