"Label (Grouping)","Houston city, Texas!!Total population!!Estimate","Houston city, Texas!!White alone!!Estimate","Houston city, Texas!!White alone or in combination with one or more other races!!Estimate","Houston city, Texas!!Black or African American alone!!Estimate","Houston city, Texas!!Black or African American alone or in combination with one or more other races!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone or in combination with one or more other races!!Estimate","Houston city, Texas!!American Indian tribal grouping alone or in any combination!!Estimate","Houston city, Texas!!Asian alone!!Estimate","Houston city, Texas!!Asian Indian alone!!Estimate","Houston city, Texas!!Chinese alone!!Estimate","Houston city, Texas!!Chinese, except Taiwanese alone!!Estimate","Houston city, Texas!!Filipino alone!!Estimate","Houston city, Texas!!Korean alone!!Estimate","Houston city, Texas!!Pakistani alone!!Estimate","Houston city, Texas!!Vietnamese alone!!Estimate","Houston city, Texas!!Asian alone or in combination with one or more other races!!Estimate","Houston city, Texas!!Asian Indian alone or in any combination!!Estimate","Houston city, Texas!!Chinese alone or in any combination!!Estimate","Houston city, Texas!!Chinese, except Taiwanese alone or in any combination!!Estimate","Houston city, Texas!!Filipino alone or in any combination!!Estimate","Houston city, Texas!!Korean alone or in any combination!!Estimate","Houston city, Texas!!Pakistani alone or in any combination!!Estimate","Houston city, Texas!!Vietnamese alone or in any combination!!Estimate","Houston city, Texas!!Some Other Race alone!!Estimate","Houston city, Texas!!Some Other Race alone or in combination with one or more other races!!Estimate","Houston city, Texas!!Two or More Races !!Estimate","Houston city, Texas!!Two races with Some Other Race!!Estimate","Houston city, Texas!!Two races without Some Other Race!!Estimate","Houston city, Texas!!White; Black or African American!!Estimate","Houston city, Texas!!White; American Indian and Alaska Native!!Estimate","Houston city, Texas!!White; Asian!!Estimate","Houston city, Texas!!White; Some Other Race!!Estimate","Houston city, Texas!!Hispanic or Latino (of any race)!!Estimate","Houston city, Texas!!Mexican!!Estimate","Houston city, Texas!!Puerto Rican!!Estimate","Houston city, Texas!!Cuban!!Estimate","Houston city, Texas!!Central American!!Estimate","Houston city, Texas!!Guatemalan!!Estimate","Houston city, Texas!!Honduran!!Estimate","Houston city, Texas!!Salvadoran!!Estimate","Houston city, Texas!!South American!!Estimate","Houston city, Texas!!Colombian!!Estimate","Houston city, Texas!!Venezuelan!!Estimate","Houston city, Texas!!White alone, not Hispanic or Latino!!Estimate","Houston city, Texas!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!Black or African American alone, not Hispanic or Latino!!Estimate","Houston city, Texas!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!Asian alone, not Hispanic or Latino!!Estimate","Houston city, Texas!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!Some Other Race alone, not Hispanic or Latino!!Estimate","Houston city, Texas!!Some Other Race alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Houston city, Texas!!Two or More Races, not Hispanic or Latino!!Estimate","Houston city, Texas!!White alone, Hispanic or Latino!!Estimate","Houston city, Texas!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Houston city, Texas!!Black or African American alone, Hispanic or Latino!!Estimate","Houston city, Texas!!Black or African American alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone, Hispanic or Latino!!Estimate","Houston city, Texas!!American Indian and Alaska Native alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Houston city, Texas!!Some Other Race alone, Hispanic or Latino!!Estimate","Houston city, Texas!!Some Other Race alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Houston city, Texas!!Two or More Races, Hispanic or Latino!!Estimate","Houston city, Texas!!White in combination with one or more other races!!Estimate","Houston city, Texas!!Black or African American in combination with one or more other races!!Estimate","Houston city, Texas!!American Indian and Alaska Native in combination with one or more other races!!Estimate","Houston city, Texas!!Asian in combination with one or more other races!!Estimate","Houston city, Texas!!Some Other Race in combination with one or more other races!!Estimate","Houston city, Texas!!Three or more races with Some Other Race!!Estimate"
"Total:","2,293,288","1,073,794","1,304,650","517,944","550,605","11,704","28,778","13,733","155,754","36,159","35,795","33,250","11,077","7,594","10,256","37,850","176,949","38,204","41,874","39,829","14,313","9,656","11,370","41,687","285,683","484,607","247,213","194,169","45,362","17,073","8,002","13,772","184,241","1,021,647","693,807","16,668","17,769","207,992","35,854","63,501","99,998","42,524","14,219","15,517","551,768","589,458","507,565","528,110","12,839","154,772","172,835","7,451","14,590","45,926","522,026","715,192","10,379","22,495","8,372","15,939","278,232","470,017","201,287","230,856","32,661","17,074","21,195","198,924","7,682"
"    Male:","1,141,917","541,342","659,509","241,621","256,951","5,880","14,495","6,458","76,421","19,175","17,248","16,102","4,958","3,192","5,479","17,844","87,465","20,457","20,409","19,607","6,538","4,215","6,287","19,590","150,376","252,685","125,841","99,811","21,906","7,916","4,215","7,038","94,759","525,510","353,488","8,179","10,307","111,097","22,474","33,062","51,566","20,597","6,837","7,198","276,405","294,474","236,623","245,619","6,168","75,797","85,113","3,946","7,119","21,642","264,937","365,035","4,998","11,332","4,179","8,327","146,430","245,566","104,199","118,167","15,330","8,615","11,044","102,309","4,124"
"        Under 5 years","82,640","38,660","49,542","17,017","19,898","202","738","547","5,048","1,597","747","723","155","256","509","842","6,761","1,672","1,392","1,284","414","594","701","1,198","10,430","17,524","11,275","6,624","4,033","2,196","319","1,333","6,389","42,675","27,174","700","470","10,098","1,452","4,014","4,508","1,435","532","182","14,877","17,783","16,631","18,101","526","4,960","6,310","360","478","3,091","23,783","31,759","386","1,797","156","212","10,070","17,046","8,184","10,882","2,881","536","1,713","7,094","618"
"        5 to 9 years","79,236","36,214","46,368","16,387","18,070","392","832","334","3,876","997","1,034","851","116","173","348","365","5,198","1,197","1,527","1,512","198","348","372","621","11,688","19,771","10,583","7,870","2,375","1,026","87","1,045","7,658","45,299","30,141","548","1,129","9,824","1,721","3,583","4,240","1,254","311","643","11,682","13,555","15,672","16,705","328","3,876","4,979","399","495","2,130","24,532","32,813","715","1,365","282","504","11,289","19,276","8,453","10,154","1,683","440","1,322","8,083","338"
"        10 to 14 years","77,628","35,614","45,202","16,616","18,190","349","1,056","341","3,317","672","555","532","206","219","401","691","4,512","820","929","917","484","239","408","1,055","11,447","19,582","10,255","7,798","1,939","791","175","710","7,394","43,786","31,997","586","443","7,499","983","2,421","3,765","1,313","363","522","11,855","13,494","16,080","17,090","355","3,267","4,307","484","838","2,052","23,759","31,708","536","1,100","275","701","10,963","18,744","8,203","9,588","1,574","707","1,195","8,135","518"
"        15 to 17 years","44,193","18,945","23,524","11,149","11,892","294","866","262","1,791","103","317","317","221","119","126","589","2,355","187","404","404","403","128","136","752","7,176","10,646","4,821","3,275","1,249","503","252","297","3,230","24,255","18,038","336","279","3,926","587","1,669","1,571","623","335","151","6,224","7,083","10,749","11,360","288","1,755","2,178","97","128","1,056","12,721","16,441","400","532","254","578","7,079","10,518","3,765","4,579","743","572","564","3,470","297"
"        18 and 19 years","27,503","12,175","15,676","5,784","6,385","64","341","53","1,306","391","225","225","108","43","159","267","1,548","391","250","250","143","53","159","267","4,379","7,412","3,782","2,952","749","319","154","196","2,738","15,785","11,456","104","101","3,178","495","971","1,583","332","149","69","3,883","4,358","5,663","6,040","53","1,296","1,526","232","358","637","8,292","11,318","121","345","64","288","4,147","7,054","3,145","3,501","601","277","242","3,033","81"
"        20 years","15,790","6,396","8,335","3,344","3,657","273","435","136","873","146","240","170","35","72","22","288","1,140","240","281","247","43","72","22","298","2,807","4,403","2,097","1,596","418","125","106","82","1,543","9,039","6,498","190","68","1,877","402","619","856","196","82","101","1,868","2,137","3,280","3,570","151","870","1,118","223","232","374","4,528","6,198","64","87","137","284","2,584","4,171","1,723","1,939","313","162","267","1,596","83"
"        21 years","16,287","6,604","8,722","3,837","3,955","61","133","84","895","157","255","238","120","12","46","226","941","170","282","251","120","22","54","226","2,675","4,711","2,193","2,020","157","36","63","46","1,945","8,827","6,220","243","154","1,776","291","781","704","153","63","32","2,536","2,656","3,743","3,789","47","895","931","141","170","139","4,068","6,066","94","166","61","86","2,534","4,541","2,054","2,118","118","72","46","2,036","16"
"        22 to 24 years","50,007","23,251","28,936","11,055","12,103","137","540","241","3,127","577","701","676","226","80","392","949","3,808","581","876","843","278","211","499","980","6,361","11,160","6,076","4,484","1,149","527","202","372","4,124","23,591","15,343","597","210","5,936","1,727","1,601","2,429","672","203","249","11,199","12,294","10,924","11,477","206","3,101","3,468","76","118","1,116","12,052","16,642","131","626","137","334","6,285","11,042","4,960","5,685","1,048","403","681","4,799","443"
