"Label (Grouping)","Houston city, Texas!!Total!!Estimate","Houston city, Texas!!Married-couple family household!!Estimate","Houston city, Texas!!Male householder, no spouse present, family household!!Estimate","Houston city, Texas!!Female householder, no spouse present, family household!!Estimate","Houston city, Texas!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","878,906","329,378","57,183","140,045","352,300"
"    Average household size","2.57","3.44","3.40","3.53","1.24"
"FAMILIES","","","","",""
"    Total families","526,606","329,378","57,183","140,045","(X)"
"    Average family size","3.36","3.42","3.05","3.34","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","246,131","146,634","23,155","76,342","(X)"
"        Under 6 years only","23.7%","25.5%","26.3%","19.5%","(X)"
"        Under 6 years and 6 to 17 years","21.2%","21.6%","19.5%","21.0%","(X)"
"        6 to 17 years only","55.1%","52.9%","54.2%","59.5%","(X)"
"Total households","878,906","329,378","57,183","140,045","352,300"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","31.7%","47.8%","50.4%","64.9%","0.4%"
"        Households with one or more people 60 years and over","30.7%","31.8%","26.9%","26.8%","31.8%"
"        Households with one or more people 65 year and over","22.0%","(X)","(X)","(X)","23.1%"
"        Householder living alone","32.8%","(X)","(X)","(X)","81.8%"
"            65 years and over","8.6%","(X)","(X)","(X)","21.3%"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","50.5%","69.8%","50.4%","46.1%","34.2%"
"        2-or-more-unit structures","48.4%","28.9%","47.8%","52.5%","65.1%"
"        Mobile homes and all other types of units","1.1%","1.3%","1.8%","1.4%","0.6%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","42.5%","61.2%","37.2%","31.6%","30.1%"
"        Renter-occupied housing units","57.5%","38.8%","62.8%","68.4%","69.9%"
