"Label (Grouping)","Houston city, Texas!!Total!!Estimate","Houston city, Texas!!Now married (except separated)!!Estimate","Houston city, Texas!!Widowed!!Estimate","Houston city, Texas!!Divorced!!Estimate","Houston city, Texas!!Separated!!Estimate","Houston city, Texas!!Never married!!Estimate"
"Population 15 years and over","1,817,846","41.2%","4.5%","10.2%","3.0%","41.1%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","902,413","43.0%","2.0%","8.8%","2.6%","43.6%"
"            15 to 19 years","71,696","1.5%","0.1%","0.0%","0.0%","98.3%"
"            20 to 34 years","291,543","26.9%","0.1%","2.4%","1.3%","69.4%"
"            35 to 44 years","170,111","52.6%","0.4%","9.5%","3.4%","34.2%"
"            45 to 54 years","137,154","57.8%","1.1%","14.3%","4.1%","22.6%"
"            55 to 64 years","119,444","58.9%","2.9%","16.3%","4.0%","17.9%"
"            65 years and over","112,465","61.9%","10.9%","15.2%","2.9%","9.1%"
"        Females 15 years and over","915,433","39.4%","6.9%","11.5%","3.4%","38.7%"
"            15 to 19 years","73,601","1.5%","0.1%","0.0%","0.1%","98.3%"
"            20 to 34 years","285,429","31.7%","0.1%","3.1%","2.5%","62.6%"
"            35 to 44 years","157,434","52.6%","0.7%","12.0%","4.8%","29.9%"
"            45 to 54 years","132,467","54.4%","3.3%","16.8%","5.5%","20.0%"
"            55 to 64 years","123,445","50.6%","8.1%","22.2%","4.7%","14.3%"
"            65 years and over","143,057","36.4%","33.2%","19.6%","2.5%","8.3%"
"Population 15 years and over","1,817,846","41.2%","4.5%","10.2%","3.0%","41.1%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","1,634,245","41.3%","4.7%","10.3%","2.9%","40.8%"
"            White","856,736","46.8%","4.6%","9.9%","2.1%","36.6%"
"            Black or African American","414,510","25.4%","6.1%","13.9%","4.3%","50.2%"
"            American Indian and Alaska Native","9,818","39.5%","3.7%","10.9%","2.8%","43.2%"
"            Asian","132,543","55.9%","3.6%","6.6%","1.4%","32.5%"
"            Native Hawaiian and Other Pacific Islander","807","36.8%","9.9%","1.5%","2.5%","49.3%"
"            Some other race","219,831","41.4%","3.1%","6.9%","4.2%","44.4%"
"        Two or more races","183,601","40.2%","2.5%","9.3%","4.0%","44.0%"
"        Hispanic or Latino origin (of any race)","761,516","42.3%","2.9%","7.5%","3.8%","43.4%"
"        White alone, not Hispanic or Latino","477,981","49.3%","5.8%","12.0%","1.1%","31.7%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","887,900","43.7%","2.1%","8.9%","2.6%","42.7%"
"        In labor force","660,463","47.0%","1.0%","8.5%","2.7%","40.8%"
"    Females 16 years and over","900,849","40.1%","7.0%","11.7%","3.5%","37.7%"
"        In labor force","536,103","37.7%","2.8%","13.0%","4.2%","42.3%"
"SUMMARY INDICATOR","","","","","",""
"    Ratio of Unmarried Men 15 to 44 years per 100 unmarried women 15 to 44 years","108.4","(X)","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","6.7%","(X)","(X)","(X)","(X)","(X)"
