"Label (Grouping)","Houston city, Texas!!Total!!Estimate","Houston city, Texas!!Percent!!Estimate","Houston city, Texas!!In public school!!Estimate","Houston city, Texas!!Percent in public school!!Estimate","Houston city, Texas!!In private school!!Estimate","Houston city, Texas!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","588,127","(X)","(X)","86.5%","(X)","13.5%"
"    Nursery school, preschool","34,688","5.9%","22,368","64.5%","12,320","35.5%"
"    Kindergarten to 12th grade","397,857","67.6%","366,955","92.2%","30,902","7.8%"
"        Kindergarten","32,370","5.5%","28,831","89.1%","3,539","10.9%"
"        Elementary: grade 1 to grade 4","124,993","21.3%","116,346","93.1%","8,647","6.9%"
"        Elementary: grade 5 to grade 8","122,946","20.9%","113,064","92.0%","9,882","8.0%"
"        High school: grade 9 to grade 12","117,548","20.0%","108,714","92.5%","8,834","7.5%"
"    College, undergraduate","116,522","19.8%","93,561","80.3%","22,961","19.7%"
"    Graduate, professional school","39,060","6.6%","25,810","66.1%","13,250","33.9%"
"Population enrolled in college or graduate school","155,582","26.5%","119,371","76.7%","36,211","23.3%"
"    Males enrolled in college or graduate school","68,844","24.0%","52,732","76.6%","16,112","23.4%"
"    Females enrolled in college or graduate school","86,738","28.8%","66,639","76.8%","20,099","23.2%"
"Population 3 to 4 years","64,314","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","28,168","43.8%","18,103","64.3%","10,065","35.7%"
"Population 5 to 9 years","153,997","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","146,062","94.8%","132,913","91.0%","13,149","9.0%"
"Population 10 to 14 years","156,670","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","151,753","96.9%","139,535","91.9%","12,218","8.1%"
"Population 15 to 17","88,695","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","84,378","95.1%","78,226","92.7%","6,152","7.3%"
"Population 18 to 19 years","56,602","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","40,165","71.0%","34,092","84.9%","6,073","15.1%"
"Population 20 to 24 years","165,017","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","60,445","36.6%","47,536","78.6%","12,909","21.4%"
"Population 25 to 34 years","411,955","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","48,106","11.7%","37,448","77.8%","10,658","22.2%"
"Population 35 years and over","1,095,577","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","29,050","2.7%","20,841","71.7%","8,209","28.3%"
"Population 18 to 24 years","221,619","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","80,071","36.1%","62,599","78.2%","17,472","21.8%"
"    Males 18 to 24 years","109,587","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","36,412","33.2%","28,500","78.3%","7,912","21.7%"
"    Females 18 to 24 years","112,032","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","43,659","39.0%","34,099","78.1%","9,560","21.9%"
