"Label (Grouping)","Houston city, Texas!!Total!!Estimate","Houston city, Texas!!Labor Force Participation Rate!!Estimate","Houston city, Texas!!Employment/Population Ratio!!Estimate","Houston city, Texas!!Unemployment rate!!Estimate"
"Population 16 years and over","1,788,749","66.9%","62.4%","6.5%"
"    AGE","","","",""
"        16 to 19 years","116,200","30.2%","23.5%","22.1%"
"        20 to 24 years","165,017","71.6%","63.5%","11.0%"
"        25 to 29 years","211,075","81.3%","76.1%","6.2%"
"        30 to 34 years","200,880","83.4%","78.4%","5.8%"
"        35 to 44 years","327,545","81.4%","76.6%","5.8%"
"        45 to 54 years","269,621","79.9%","75.8%","5.1%"
"        55 to 59 years","125,752","71.6%","68.3%","4.6%"
"        60 to 64 years","117,137","61.6%","58.6%","4.8%"
"        65 to 74 years","156,038","31.8%","29.9%","5.9%"
"        75 years and over","99,484","10.6%","10.1%","4.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","844,091","67.1%","63.9%","4.7%"
"        Black or African American alone","408,142","64.0%","56.3%","11.7%"
"        American Indian and Alaska Native alone","9,617","67.9%","61.3%","9.3%"
"        Asian alone","131,139","66.6%","64.2%","3.5%"
"        Native Hawaiian and Other Pacific Islander alone","748","79.0%","75.9%","2.6%"
"        Some other race alone","214,948","68.7%","65.0%","5.4%"
"        Two or more races","180,064","70.4%","65.1%","7.5%"
"        Hispanic or Latino origin (of any race)","744,664","68.8%","64.7%","5.9%"
"        White alone, not Hispanic or Latino","474,136","66.3%","63.5%","4.1%"
"Population 20 to 64 years","1,417,027","77.7%","72.9%","6.1%"
"    SEX","","","",""
"        Male","718,252","85.0%","79.8%","5.9%"
"        Female","698,775","70.3%","65.8%","6.4%"
"            With own children under 18 years","242,090","65.5%","60.4%","7.8%"
"                With own children under 6 years only","60,191","64.1%","59.1%","7.7%"
"                With own children under 6 years and 6 to 17  years","50,972","54.3%","49.4%","8.9%"
"                With own children 6 to 17 years only","130,927","70.6%","65.3%","7.5%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","222,496","51.5%","41.1%","20.2%"
"        At or above the poverty level","1,174,889","83.8%","79.9%","4.4%"
"    DISABILITY STATUS","","","",""
"        With any disability","113,319","47.6%","41.4%","13.0%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","1,252,010","78.5%","74.1%","5.5%"
"        Less than high school graduate","251,775","70.4%","66.3%","5.8%"
"        High school graduate (includes equivalency)","271,012","72.5%","67.8%","6.5%"
"        Some college or associate's degree","289,705","79.5%","73.4%","7.5%"
"        Bachelor's degree or higher","439,518","86.3%","83.0%","3.7%"
