"Label (Grouping)","Houston city, Texas!!Total!!Estimate","Houston city, Texas!!Male!!Estimate","Houston city, Texas!!Percent Male!!Estimate","Houston city, Texas!!Female!!Estimate","Houston city, Texas!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","1,117,007","617,829","55.3%","499,178","44.7%"
"    Management, business, science, and arts occupations:","423,322","213,357","50.4%","209,965","49.6%"
"        Management, business, and financial occupations:","175,746","98,263","55.9%","77,483","44.1%"
"            Management occupations","107,868","64,977","60.2%","42,891","39.8%"
"            Business and financial operations occupations","67,878","33,286","49.0%","34,592","51.0%"
"        Computer, engineering, and science occupations:","79,342","57,354","72.3%","21,988","27.7%"
"            Computer and mathematical occupations","32,353","23,847","73.7%","8,506","26.3%"
"            Architecture and engineering occupations","31,882","25,031","78.5%","6,851","21.5%"
"            Life, physical, and social science occupations","15,107","8,476","56.1%","6,631","43.9%"
"        Education, legal, community service, arts, and media occupations:","110,881","41,229","37.2%","69,652","62.8%"
"            Community and social service occupations","13,468","4,525","33.6%","8,943","66.4%"
"            Legal occupations","18,241","9,155","50.2%","9,086","49.8%"
"            Educational instruction, and library occupations","59,840","17,990","30.1%","41,850","69.9%"
"            Arts, design, entertainment, sports, and media occupations","19,332","9,559","49.4%","9,773","50.6%"
"        Healthcare practitioners and technical occupations:","57,353","16,511","28.8%","40,842","71.2%"
"            Health diagnosing and treating practitioners and other technical occupations","40,398","11,999","29.7%","28,399","70.3%"
"            Health technologists and technicians","16,955","4,512","26.6%","12,443","73.4%"
"    Service occupations:","200,024","81,651","40.8%","118,373","59.2%"
"        Healthcare support occupations","31,213","4,370","14.0%","26,843","86.0%"
"        Protective service occupations:","19,699","12,678","64.4%","7,021","35.6%"
"            Firefighting and prevention, and other protective service workers including supervisors","14,253","8,794","61.7%","5,459","38.3%"
"            Law enforcement workers including supervisors","5,446","3,884","71.3%","1,562","28.7%"
"        Food preparation and serving related occupations","66,309","31,382","47.3%","34,927","52.7%"
"        Building and grounds cleaning and maintenance occupations","56,712","26,993","47.6%","29,719","52.4%"
"        Personal care and service occupations","26,091","6,228","23.9%","19,863","76.1%"
"    Sales and office occupations:","218,383","82,938","38.0%","135,445","62.0%"
"        Sales and related occupations","109,564","53,528","48.9%","56,036","51.1%"
"        Office and administrative support occupations","108,819","29,410","27.0%","79,409","73.0%"
"    Natural resources, construction, and maintenance occupations:","134,426","129,811","96.6%","4,615","3.4%"
"        Farming, fishing, and forestry occupations","1,313","1,123","85.5%","190","14.5%"
"        Construction and extraction occupations","100,115","97,083","97.0%","3,032","3.0%"
"        Installation, maintenance, and repair occupations","32,998","31,605","95.8%","1,393","4.2%"
"    Production, transportation, and material moving occupations:","140,852","110,072","78.1%","30,780","21.9%"
"        Production occupations","51,456","38,430","74.7%","13,026","25.3%"
"        Transportation occupations","44,641","38,650","86.6%","5,991","13.4%"
"        Material moving occupations","44,755","32,992","73.7%","11,763","26.3%"
