"Label (Grouping)","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Total!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Married-couple family household!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Male householder, no wife present, family household!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Female householder, no husband present, family household!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","4,320,174","2,039,262","279,935","623,777","1,377,200"
"    Average household size","3.02","3.75","3.89","3.84","1.38"
"FAMILIES","","","","",""
"    Total families","2,942,974","2,039,262","279,935","623,777","(X)"
"    Average family size","3.65","3.70","3.43","3.58","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","1,294,673","898,355","111,469","284,849","(X)"
"        Under 6 years only","19.4%","20.4%","23.1%","14.7%","(X)"
"        Under 6 years and 6 to 17 years","19.6%","20.1%","18.9%","18.5%","(X)"
"        6 to 17 years only","61.0%","59.5%","58.0%","66.8%","(X)"
"Total households","4,320,174","2,039,262","279,935","623,777","1,377,200"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","34.4%","48.3%","50.4%","56.7%","0.6%"
"        Households with one or more people 60 years and over","36.7%","36.6%","33.9%","33.5%","38.9%"
"        Householder living alone","24.5%","(X)","(X)","(X)","76.9%"
"            65 years and over","8.6%","(X)","(X)","(X)","26.9%"
"    UNMARRIED-PARTNER HOUSEHOLDS","","","","",""
"        Same sex","0.4%","(X)","(X)","(X)","(X)"
"        Opposite sex","6.1%","(X)","(X)","(X)","(X)"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","58.1%","72.9%","57.2%","53.9%","38.2%"
"        2-or-more-unit structures","40.0%","25.4%","40.9%","44.0%","59.7%"
"        Mobile homes and all other types of units","1.9%","1.6%","1.9%","2.2%","2.1%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","48.6%","62.5%","39.1%","37.0%","35.4%"
"        Renter-occupied housing units","51.4%","37.5%","60.9%","63.0%","64.6%"
