"Label (Grouping)","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Total!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Now married (except separated)!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Widowed!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Divorced!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Separated!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Never married!!Estimate"
"Population 15 years and over","10,794,689","44.4%","4.9%","8.5%","2.3%","39.9%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","5,276,474","46.0%","2.1%","6.9%","1.8%","43.2%"
"            15 to 19 years","448,027","0.8%","0.0%","0.0%","0.1%","99.1%"
"            20 to 34 years","1,539,318","20.8%","0.1%","1.6%","0.8%","76.7%"
"            35 to 44 years","904,643","57.3%","0.3%","6.8%","2.5%","33.1%"
"            45 to 54 years","908,707","64.9%","0.9%","10.5%","2.8%","20.8%"
"            55 to 64 years","742,535","67.1%","2.1%","13.1%","2.8%","14.9%"
"            65 years and over","733,244","68.0%","10.9%","11.4%","2.0%","7.6%"
"        Females 15 years and over","5,518,215","42.8%","7.7%","10.0%","2.7%","36.7%"
"            15 to 19 years","432,464","1.0%","0.0%","0.0%","0.1%","98.8%"
"            20 to 34 years","1,483,386","27.6%","0.2%","2.5%","1.5%","68.2%"
"            35 to 44 years","913,867","59.7%","0.8%","9.4%","4.0%","26.1%"
"            45 to 54 years","928,987","60.5%","2.6%","14.8%","4.4%","17.8%"
"            55 to 64 years","801,326","57.9%","7.0%","17.7%","3.8%","13.6%"
"            65 years and over","958,185","39.6%","34.8%","15.4%","2.1%","8.0%"
"Population 15 years and over","10,794,689","44.4%","4.9%","8.5%","2.3%","39.9%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","10,463,914","44.7%","5.0%","8.5%","2.3%","39.5%"
"            White","5,951,808","45.6%","5.3%","9.5%","2.1%","37.5%"
"            Black or African American","734,794","26.2%","6.0%","12.6%","3.3%","52.0%"
"            American Indian and Alaska Native","67,070","38.2%","4.9%","10.1%","3.3%","43.5%"
"            Asian","1,793,280","54.5%","5.6%","6.1%","1.4%","32.4%"
"            Native Hawaiian and Other Pacific Islander","29,930","44.6%","4.4%","7.2%","1.7%","42.1%"
"            Some other race","1,887,032","40.3%","3.0%","5.8%","3.4%","47.5%"
"        Two or more races","330,775","33.7%","3.0%","8.5%","2.1%","52.8%"
"        Hispanic or Latino origin (of any race)","4,528,612","41.0%","3.4%","6.4%","3.2%","46.0%"
"        White alone, not Hispanic or Latino","3,500,475","48.0%","6.4%","11.4%","1.5%","32.7%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","5,191,472","46.8%","2.1%","7.0%","1.9%","42.3%"
"        In labor force","3,724,768","50.0%","0.8%","6.7%","1.9%","40.6%"
"    Females 16 years and over","5,435,160","43.5%","7.8%","10.1%","2.8%","35.8%"
"        In labor force","3,149,710","43.1%","2.5%","11.3%","3.2%","39.9%"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","6.5%","(X)","(X)","(X)","(X)","(X)"
