"Label (Grouping)","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Total!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!In public school!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent in public school!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!In private school!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","3,566,921","(X)","(X)","84.8%","(X)","15.2%"
"    Nursery school, preschool","210,429","5.9%","123,730","58.8%","86,699","41.2%"
"    Kindergarten to 12th grade","2,198,919","61.6%","1,999,239","90.9%","199,680","9.1%"
"        Kindergarten","171,366","4.8%","152,054","88.7%","19,312","11.3%"
"        Elementary: grade 1 to grade 4","632,659","17.7%","574,756","90.8%","57,903","9.2%"
"        Elementary: grade 5 to grade 8","659,792","18.5%","599,687","90.9%","60,105","9.1%"
"        High school: grade 9 to grade 12","735,102","20.6%","672,742","91.5%","62,360","8.5%"
"    College, undergraduate","966,913","27.1%","799,948","82.7%","166,965","17.3%"
"    Graduate, professional school","190,660","5.3%","100,190","52.5%","90,470","47.5%"
"Population enrolled in college or graduate school","1,157,573","32.5%","900,138","77.8%","257,435","22.2%"
"    Males enrolled in college or graduate school","533,490","30.1%","421,862","79.1%","111,628","20.9%"
"    Females enrolled in college or graduate school","624,083","34.8%","478,276","76.6%","145,807","23.4%"
"Population 3 to 4 years","340,626","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","182,607","53.6%","107,072","58.6%","75,535","41.4%"
"Population 5 to 9 years","812,323","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","783,811","96.5%","701,090","89.4%","82,721","10.6%"
"Population 10 to 14 years","833,663","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","820,056","98.4%","745,564","90.9%","74,492","9.1%"
"Population 15 to 17","523,498","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","509,946","97.4%","466,417","91.5%","43,529","8.5%"
"Population 18 to 19 years","356,993","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","283,238","79.3%","240,867","85.0%","42,371","15.0%"
"Population 20 to 24 years","980,189","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","491,803","50.2%","400,228","81.4%","91,575","18.6%"
"Population 25 to 34 years","2,042,515","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","299,941","14.7%","224,320","74.8%","75,621","25.2%"
"Population 35 years and over","6,891,494","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","195,519","2.8%","137,549","70.4%","57,970","29.6%"
"Population 18 to 24 years","1,337,182","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","678,434","50.7%","553,473","81.6%","124,961","18.4%"
"    Males 18 to 24 years","678,019","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","319,453","47.1%","266,375","83.4%","53,078","16.6%"
"    Females 18 to 24 years","659,163","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","358,981","54.5%","287,098","80.0%","71,883","20.0%"
