"Label (Grouping)","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Total!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Labor Force Participation Rate!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Employment/Population Ratio!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Unemployment rate!!Estimate"
"Population 16 years and over","10,626,632","64.7%","59.9%","7.3%"
"    AGE","","","",""
"        16 to 19 years","712,434","26.4%","19.1%","27.7%"
"        20 to 24 years","980,189","69.5%","60.6%","12.6%"
"        25 to 29 years","1,064,089","82.3%","75.8%","7.7%"
"        30 to 34 years","978,426","82.8%","77.4%","6.5%"
"        35 to 44 years","1,818,510","82.0%","77.3%","5.7%"
"        45 to 54 years","1,837,694","80.7%","76.1%","5.6%"
"        55 to 59 years","836,919","72.9%","68.7%","5.8%"
"        60 to 64 years","706,942","58.7%","55.2%","5.9%"
"        65 to 74 years","951,384","28.3%","26.8%","5.1%"
"        75 years and over","740,045","6.7%","6.3%","5.5%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","5,864,118","64.4%","60.0%","6.8%"
"        Black or African American alone","724,255","60.5%","52.7%","12.8%"
"        American Indian and Alaska Native alone","65,977","64.3%","57.9%","9.8%"
"        Asian alone","1,774,308","62.0%","58.6%","5.5%"
"        Native Hawaiian and Other Pacific Islander alone","29,274","65.5%","58.0%","11.0%"
"        Some other race alone","1,848,224","69.2%","63.7%","7.9%"
"        Two or more races","320,476","67.6%","60.8%","10.0%"
"        Hispanic or Latino origin (of any race)","4,431,382","67.3%","62.0%","7.8%"
"        White alone, not Hispanic or Latino","3,465,724","63.6%","59.5%","6.3%"
"Population 20 to 64 years","8,222,769","77.4%","72.1%","6.8%"
"    SEX","","","",""
"        Male","4,095,203","84.3%","78.6%","6.6%"
"        Female","4,127,566","70.7%","65.7%","7.0%"
"            With own children under 18 years","1,370,276","67.6%","62.8%","7.1%"
"                With own children under 6 years only","296,854","67.2%","62.2%","7.5%"
"                With own children under 6 years and 6 to 17  years","268,703","59.4%","54.3%","8.6%"
"                With own children under 6 to 17 years only","804,719","70.5%","65.9%","6.5%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","1,136,987","51.2%","39.7%","22.6%"
"        At or above the poverty level","7,017,693","82.2%","77.9%","5.2%"
"    DISABILITY STATUS","","","",""
"        With any disability","578,992","42.1%","36.1%","14.2%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","7,242,580","78.5%","73.7%","6.1%"
"        Less than high school graduate","1,387,416","68.0%","62.9%","7.5%"
"        High school graduate (includes equivalency)","1,431,247","74.7%","69.0%","7.6%"
"        Some college or associate's degree","1,968,539","79.6%","74.4%","6.5%"
"        Bachelor's degree or higher","2,455,378","85.8%","81.9%","4.5%"
