"Label (Grouping)","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Total!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Male!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent Male!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Female!!Estimate","Los Angeles-Long Beach-Anaheim, CA Metro Area!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","6,366,814","3,453,953","54.2%","2,912,861","45.8%"
"    Management, business, science, and arts occupations:","2,388,282","1,225,027","51.3%","1,163,255","48.7%"
"        Management, business, and financial occupations:","986,338","541,107","54.9%","445,231","45.1%"
"            Management occupations","659,465","392,807","59.6%","266,658","40.4%"
"            Business and financial operations occupations","326,873","148,300","45.4%","178,573","54.6%"
"        Computer, engineering, and science occupations:","326,908","244,870","74.9%","82,038","25.1%"
"            Computer and mathematical occupations","159,704","122,306","76.6%","37,398","23.4%"
"            Architecture and engineering occupations","118,126","98,991","83.8%","19,135","16.2%"
"            Life, physical, and social science occupations","49,078","23,573","48.0%","25,505","52.0%"
"        Education, legal, community service, arts, and media occupations:","769,851","339,881","44.1%","429,970","55.9%"
"            Community and social services occupations","95,004","33,530","35.3%","61,474","64.7%"
"            Legal occupations","89,992","47,492","52.8%","42,500","47.2%"
"            Education, training, and library occupations","324,244","100,832","31.1%","223,412","68.9%"
"            Arts, design, entertainment, sports, and media occupations","260,611","158,027","60.6%","102,584","39.4%"
"        Healthcare practitioner and technical occupations:","305,185","99,169","32.5%","206,016","67.5%"
"            Health diagnosing and treating practitioners and other technical occupations","211,289","66,312","31.4%","144,977","68.6%"
"            Health technologists and technicians","93,896","32,857","35.0%","61,039","65.0%"
"    Service occupations:","1,185,720","545,636","46.0%","640,084","54.0%"
"        Healthcare support occupations","112,289","23,219","20.7%","89,070","79.3%"
"        Protective service occupations:","112,854","89,794","79.6%","23,060","20.4%"
"            Fire fighting and prevention, and other protective service workers including supervisors","79,714","64,181","80.5%","15,533","19.5%"
"            Law enforcement workers including supervisors","33,140","25,613","77.3%","7,527","22.7%"
"        Food preparation and serving related occupations","369,889","204,979","55.4%","164,910","44.6%"
"        Building and grounds cleaning and maintenance occupations","281,988","156,008","55.3%","125,980","44.7%"
"        Personal care and service occupations","308,700","71,636","23.2%","237,064","76.8%"
"    Sales and office occupations:","1,546,827","647,064","41.8%","899,763","58.2%"
"        Sales and related occupations","709,347","365,823","51.6%","343,524","48.4%"
"        Office and administrative support occupations","837,480","281,241","33.6%","556,239","66.4%"
"    Natural resources, construction, and maintenance occupations:","470,778","451,834","96.0%","18,944","4.0%"
"        Farming, fishing, and forestry occupations","21,637","14,482","66.9%","7,155","33.1%"
"        Construction and extraction occupations","292,866","286,757","97.9%","6,109","2.1%"
"        Installation, maintenance, and repair occupations","156,275","150,595","96.4%","5,680","3.6%"
"    Production, transportation, and material moving occupations:","775,207","584,392","75.4%","190,815","24.6%"
"        Production occupations","383,912","260,150","67.8%","123,762","32.2%"
"        Transportation occupations","212,812","187,189","88.0%","25,623","12.0%"
"        Material moving occupations","178,483","137,053","76.8%","41,430","23.2%"
