"Label (Grouping)","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Total!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Married-couple family household!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Male householder, no wife present, family household!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Female householder, no husband present, family household!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","1,355,503","687,844","56,720","131,822","479,117"
"    Average household size","2.55","3.21","3.35","3.32","1.32"
"FAMILIES","","","","",""
"    Total families","876,386","687,844","56,720","131,822","(X)"
"    Average family size","3.15","3.18","2.93","3.06","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","409,814","299,042","30,524","80,248","(X)"
"        Under 6 years only","23.8%","25.1%","22.6%","19.5%","(X)"
"        Under 6 years and 6 to 17 years","19.8%","20.3%","16.5%","19.0%","(X)"
"        6 to 17 years only","56.4%","54.6%","60.9%","61.4%","(X)"
"Total households","1,355,503","687,844","56,720","131,822","479,117"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","32.3%","44.9%","60.1%","68.0%","0.9%"
"        Households with one or more people 60 years and over","32.8%","32.1%","21.4%","20.6%","38.4%"
"        Householder living alone","27.8%","(X)","(X)","(X)","78.7%"
"            65 years and over","9.5%","(X)","(X)","(X)","26.9%"
"    UNMARRIED-PARTNER HOUSEHOLDS","","","","",""
"        Same sex","0.4%","(X)","(X)","(X)","(X)"
"        Opposite sex","6.4%","(X)","(X)","(X)","(X)"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","72.7%","89.4%","71.4%","65.7%","50.8%"
"        2-or-more-unit structures","25.7%","9.4%","25.3%","31.7%","47.6%"
"        Mobile homes and all other types of units","1.6%","1.2%","3.4%","2.6%","1.6%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","69.9%","86.7%","61.7%","50.8%","52.1%"
"        Renter-occupied housing units","30.1%","13.3%","38.3%","49.2%","47.9%"
