"Label (Grouping)","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Total!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Now married (except separated)!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Widowed!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Divorced!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Separated!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Never married!!Estimate"
"Population 15 years and over","2,819,829","51.5%","4.4%","10.0%","1.2%","33.0%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","1,385,424","52.5%","1.9%","8.6%","1.0%","36.0%"
"            15 to 19 years","115,367","0.7%","0.0%","0.0%","0.1%","99.2%"
"            20 to 34 years","372,147","29.1%","0.1%","2.3%","0.6%","67.9%"
"            35 to 44 years","233,207","65.4%","0.2%","9.2%","1.5%","23.7%"
"            45 to 54 years","246,745","68.9%","0.7%","13.2%","1.3%","15.8%"
"            55 to 64 years","219,707","69.6%","1.9%","15.2%","1.4%","11.9%"
"            65 years and over","198,251","71.8%","10.3%","11.8%","0.7%","5.5%"
"        Females 15 years and over","1,434,405","50.5%","6.8%","11.3%","1.3%","30.1%"
"            15 to 19 years","110,506","0.8%","0.1%","0.1%","0.0%","99.0%"
"            20 to 34 years","366,873","37.3%","0.1%","3.4%","1.0%","58.2%"
"            35 to 44 years","230,341","67.9%","0.5%","11.2%","2.1%","18.2%"
"            45 to 54 years","248,120","67.3%","1.7%","16.9%","2.2%","11.9%"
"            55 to 64 years","228,299","64.0%","5.4%","18.7%","1.4%","10.4%"
"            65 years and over","250,266","46.9%","31.7%","15.4%","0.6%","5.3%"
"Population 15 years and over","2,819,829","51.5%","4.4%","10.0%","1.2%","33.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","2,758,833","52.0%","4.5%","10.0%","1.1%","32.4%"
"            White","2,319,665","54.1%","4.7%","10.3%","0.8%","30.1%"
"            Black or African American","200,070","32.3%","3.9%","11.3%","3.5%","49.1%"
"            American Indian and Alaska Native","15,806","32.7%","3.0%","13.4%","2.9%","47.9%"
"            Asian","170,773","51.6%","2.8%","5.2%","1.7%","38.7%"
"            Native Hawaiian and Other Pacific Islander","1,135","33.2%","2.6%","12.3%","0.0%","51.8%"
"            Some other race","51,384","43.0%","1.9%","6.6%","3.3%","45.2%"
"        Two or more races","60,996","28.8%","1.2%","8.3%","1.8%","59.9%"
"        Hispanic or Latino origin (of any race)","134,900","42.2%","2.1%","7.3%","2.9%","45.5%"
"        White alone, not Hispanic or Latino","2,245,307","54.4%","4.8%","10.4%","0.8%","29.6%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","1,361,972","53.4%","2.0%","8.8%","1.0%","34.9%"
"        In labor force","1,037,739","55.4%","0.6%","8.2%","1.0%","34.8%"
"    Females 16 years and over","1,411,385","51.3%","6.9%","11.5%","1.3%","28.9%"
"        In labor force","963,250","52.2%","2.0%","11.8%","1.5%","32.5%"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","4.2%","(X)","(X)","(X)","(X)","(X)"
