"Label (Grouping)","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Total!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!In public school!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent in public school!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!In private school!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","915,646","(X)","(X)","83.2%","(X)","16.8%"
"    Nursery school, preschool","60,384","6.6%","35,959","59.6%","24,425","40.4%"
"    Kindergarten to 12th grade","618,330","67.5%","554,578","89.7%","63,752","10.3%"
"        Kindergarten","47,064","5.1%","41,171","87.5%","5,893","12.5%"
"        Elementary: grade 1 to grade 4","187,027","20.4%","166,429","89.0%","20,598","11.0%"
"        Elementary: grade 5 to grade 8","188,551","20.6%","168,866","89.6%","19,685","10.4%"
"        High school: grade 9 to grade 12","195,688","21.4%","178,112","91.0%","17,576","9.0%"
"    College, undergraduate","185,692","20.3%","142,049","76.5%","43,643","23.5%"
"    Graduate, professional school","51,240","5.6%","29,673","57.9%","21,567","42.1%"
"Population enrolled in college or graduate school","236,932","25.9%","171,722","72.5%","65,210","27.5%"
"    Males enrolled in college or graduate school","104,739","23.2%","77,046","73.6%","27,693","26.4%"
"    Females enrolled in college or graduate school","132,193","28.5%","94,676","71.6%","37,517","28.4%"
"Population 3 to 4 years","95,050","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","43,700","46.0%","25,336","58.0%","18,364","42.0%"
"Population 5 to 9 years","238,424","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","227,019","95.2%","197,392","86.9%","29,627","13.1%"
"Population 10 to 14 years","236,182","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","232,568","98.5%","207,948","89.4%","24,620","10.6%"
"Population 15 to 17","140,055","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","137,379","98.1%","125,234","91.2%","12,145","8.8%"
"Population 18 to 19 years","85,818","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","68,501","79.8%","55,768","81.4%","12,733","18.6%"
"Population 20 to 24 years","220,752","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","90,323","40.9%","67,977","75.3%","22,346","24.7%"
"Population 25 to 34 years","518,268","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","64,783","12.5%","47,557","73.4%","17,226","26.6%"
"Population 35 years and over","1,854,936","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","51,373","2.8%","35,047","68.2%","16,326","31.8%"
"Population 18 to 24 years","306,570","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","123,995","40.4%","92,207","74.4%","31,788","25.6%"
"    Males 18 to 24 years","155,458","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","55,527","35.7%","42,118","75.9%","13,409","24.1%"
"    Females 18 to 24 years","151,112","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","68,468","45.3%","50,089","73.2%","18,379","26.8%"
