"Label (Grouping)","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Total!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Labor Force Participation Rate!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Employment/Population Ratio!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Unemployment rate!!Estimate"
"Population 16 years and over","2,773,357","72.2%","69.0%","4.3%"
"    AGE","","","",""
"        16 to 19 years","179,401","50.5%","43.8%","13.3%"
"        20 to 24 years","220,752","84.6%","78.0%","7.8%"
"        25 to 29 years","254,332","89.6%","85.2%","4.7%"
"        30 to 34 years","263,936","88.8%","85.1%","4.0%"
"        35 to 44 years","463,548","88.7%","85.7%","3.2%"
"        45 to 54 years","494,865","87.9%","85.1%","3.0%"
"        55 to 59 years","244,704","81.2%","78.3%","3.6%"
"        60 to 64 years","203,302","64.2%","62.3%","3.0%"
"        65 to 74 years","262,209","28.4%","27.6%","2.7%"
"        75 years and over","186,308","6.3%","6.1%","2.6%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","2,285,984","72.2%","69.6%","3.6%"
"        Black or African American alone","195,402","70.5%","63.2%","10.3%"
"        American Indian and Alaska Native alone","15,437","60.6%","54.9%","9.3%"
"        Asian alone","167,384","71.5%","67.8%","5.1%"
"        Native Hawaiian and Other Pacific Islander alone","1,122","77.4%","71.8%","6.1%"
"        Some other race alone","49,923","78.5%","72.8%","7.2%"
"        Two or more races","58,105","74.8%","67.8%","9.3%"
"        Hispanic or Latino origin (of any race)","131,233","77.3%","71.8%","7.0%"
"        White alone, not Hispanic or Latino","2,213,364","72.1%","69.5%","3.5%"
"Population 20 to 64 years","2,145,439","85.0%","81.6%","4.0%"
"    SEX","","","",""
"        Male","1,071,806","88.5%","84.6%","4.3%"
"        Female","1,073,633","81.6%","78.6%","3.6%"
"            With own children under 18 years","398,662","81.6%","78.8%","3.4%"
"                With own children under 6 years only","98,907","81.4%","78.2%","3.9%"
"                With own children under 6 years and 6 to 17  years","79,165","74.0%","70.7%","4.3%"
"                With own children under 6 to 17 years only","220,590","84.5%","82.0%","2.9%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","182,402","57.2%","46.3%","19.0%"
"        At or above the poverty level","1,944,113","88.2%","85.5%","3.0%"
"    DISABILITY STATUS","","","",""
"        With any disability","172,506","53.2%","47.8%","10.1%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","1,924,687","85.1%","82.0%","3.5%"
"        Less than high school graduate","116,535","65.3%","59.4%","9.1%"
"        High school graduate (includes equivalency)","376,937","79.2%","75.2%","5.0%"
"        Some college or associate's degree","613,722","85.9%","82.7%","3.7%"
"        Bachelor's degree or higher","817,493","90.0%","87.8%","2.3%"
