"Label (Grouping)","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Total!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Male!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent Male!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Female!!Estimate","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","1,912,822","987,581","51.6%","925,241","48.4%"
"    Management, business, science, and arts occupations:","827,823","396,667","47.9%","431,156","52.1%"
"        Management, business, and financial occupations:","354,639","189,246","53.4%","165,393","46.6%"
"            Management occupations","226,544","132,811","58.6%","93,733","41.4%"
"            Business and financial operations occupations","128,095","56,435","44.1%","71,660","55.9%"
"        Computer, engineering, and science occupations:","146,717","107,478","73.3%","39,239","26.7%"
"            Computer and mathematical occupations","83,571","61,716","73.8%","21,855","26.2%"
"            Architecture and engineering occupations","42,800","35,640","83.3%","7,160","16.7%"
"            Life, physical, and social science occupations","20,346","10,122","49.7%","10,224","50.3%"
"        Education, legal, community service, arts, and media occupations:","216,076","74,769","34.6%","141,307","65.4%"
"            Community and social services occupations","36,372","11,338","31.2%","25,034","68.8%"
"            Legal occupations","23,424","10,980","46.9%","12,444","53.1%"
"            Education, training, and library occupations","111,715","30,554","27.3%","81,161","72.7%"
"            Arts, design, entertainment, sports, and media occupations","44,565","21,897","49.1%","22,668","50.9%"
"        Healthcare practitioner and technical occupations:","110,391","25,174","22.8%","85,217","77.2%"
"            Health diagnosing and treating practitioners and other technical occupations","77,866","18,406","23.6%","59,460","76.4%"
"            Health technologists and technicians","32,525","6,768","20.8%","25,757","79.2%"
"    Service occupations:","298,559","121,916","40.8%","176,643","59.2%"
"        Healthcare support occupations","42,117","6,007","14.3%","36,110","85.7%"
"        Protective service occupations:","25,262","19,002","75.2%","6,260","24.8%"
"            Fire fighting and prevention, and other protective service workers including supervisors","13,940","10,043","72.0%","3,897","28.0%"
"            Law enforcement workers including supervisors","11,322","8,959","79.1%","2,363","20.9%"
"        Food preparation and serving related occupations","99,217","46,235","46.6%","52,982","53.4%"
"        Building and grounds cleaning and maintenance occupations","55,644","35,534","63.9%","20,110","36.1%"
"        Personal care and service occupations","76,319","15,138","19.8%","61,181","80.2%"
"    Sales and office occupations:","442,825","179,853","40.6%","262,972","59.4%"
"        Sales and related occupations","197,887","105,167","53.1%","92,720","46.9%"
"        Office and administrative support occupations","244,938","74,686","30.5%","170,252","69.5%"
"    Natural resources, construction, and maintenance occupations:","126,169","120,317","95.4%","5,852","4.6%"
"        Farming, fishing, and forestry occupations","5,907","4,279","72.4%","1,628","27.6%"
"        Construction and extraction occupations","74,027","71,630","96.8%","2,397","3.2%"
"        Installation, maintenance, and repair occupations","46,235","44,408","96.0%","1,827","4.0%"
"    Production, transportation, and material moving occupations:","217,446","168,828","77.6%","48,618","22.4%"
"        Production occupations","119,333","87,002","72.9%","32,331","27.1%"
"        Transportation occupations","58,554","50,035","85.5%","8,519","14.5%"
"        Material moving occupations","39,559","31,791","80.4%","7,768","19.6%"
