"Label (Grouping)","Oklahoma City, OK Metro Area!!Total population!!Estimate","Oklahoma City, OK Metro Area!!White alone!!Estimate","Oklahoma City, OK Metro Area!!White alone or in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!Black or African American alone!!Estimate","Oklahoma City, OK Metro Area!!Black or African American alone or in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!American Indian and Alaska Native alone!!Estimate","Oklahoma City, OK Metro Area!!American Indian tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!American Indian and Alaska Native alone or in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!American Indian tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Asian alone!!Estimate","Oklahoma City, OK Metro Area!!Asian Indian alone!!Estimate","Oklahoma City, OK Metro Area!!Chinese alone!!Estimate","Oklahoma City, OK Metro Area!!Chinese, except Taiwanese alone!!Estimate","Oklahoma City, OK Metro Area!!Filipino alone!!Estimate","Oklahoma City, OK Metro Area!!Japanese alone!!Estimate","Oklahoma City, OK Metro Area!!Korean alone!!Estimate","Oklahoma City, OK Metro Area!!Pakistani alone!!Estimate","Oklahoma City, OK Metro Area!!Thai alone!!Estimate","Oklahoma City, OK Metro Area!!Vietnamese alone!!Estimate","Oklahoma City, OK Metro Area!!Asian alone or in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!Asian Indian alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Chinese alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Chinese, except Taiwanese alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Filipino alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Japanese alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Korean alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Laotian alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Pakistani alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Thai alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Vietnamese alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Native Hawaiian and Other Pacific Islander alone!!Estimate","Oklahoma City, OK Metro Area!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!Polynesian alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Native Hawaiian alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Micronesian alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Some Other Race alone!!Estimate","Oklahoma City, OK Metro Area!!Some Other Race alone or in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!Burmese alone!!Estimate","Oklahoma City, OK Metro Area!!Burmese alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Two or More Races!!Estimate","Oklahoma City, OK Metro Area!!Two races with Some Other Race!!Estimate","Oklahoma City, OK Metro Area!!Two races without Some Other Race!!Estimate","Oklahoma City, OK Metro Area!!White; Black or African American!!Estimate","Oklahoma City, OK Metro Area!!White; American Indian and Alaska Native!!Estimate","Oklahoma City, OK Metro Area!!White; Asian!!Estimate","Oklahoma City, OK Metro Area!!White; Native Hawaiian and Other Pacific Islander!!Estimate","Oklahoma City, OK Metro Area!!White; Some Other Race!!Estimate","Oklahoma City, OK Metro Area!!Black or African American; American Indian and Alaska Native!!Estimate","Oklahoma City, OK Metro Area!!Black or African American; Asian!!Estimate","Oklahoma City, OK Metro Area!!American Indian and Alaska Native; Some Other Race!!Estimate","Oklahoma City, OK Metro Area!!White; Black or African American; American Indian and Alaska Native!!Estimate","Oklahoma City, OK Metro Area!!White; American Indian and Alaska Native; Asian!!Estimate","Oklahoma City, OK Metro Area!!White; American Indian and Alaska Native; Some Other Race!!Estimate","Oklahoma City, OK Metro Area!!Central American Indian tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Apache tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Cheyenne tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Chickasaw tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!Chickasaw tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Choctaw tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!Choctaw tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Comanche Nation, Oklahoma tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!Comanche Nation, Oklahoma tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Creek tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!Creek tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Delaware tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Kiowa tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!Kiowa tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Navajo Nation tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Osage Tribe, Oklahoma tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Potawatomi tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!Potawatomi tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Seminole tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!Seminole tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Mexican American Indian tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!Cherokee tribal grouping alone!!Estimate","Oklahoma City, OK Metro Area!!Cherokee tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Sioux tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Hispanic or Latino (of any race)!!Estimate","Oklahoma City, OK Metro Area!!Mexican!!Estimate","Oklahoma City, OK Metro Area!!Puerto Rican!!Estimate","Oklahoma City, OK Metro Area!!Cuban!!Estimate","Oklahoma City, OK Metro Area!!Central American!!Estimate","Oklahoma City, OK Metro Area!!Guatemalan!!Estimate","Oklahoma City, OK Metro Area!!Honduran!!Estimate","Oklahoma City, OK Metro Area!!Salvadoran!!Estimate","Oklahoma City, OK Metro Area!!South American!!Estimate","Oklahoma City, OK Metro Area!!Colombian!!Estimate","Oklahoma City, OK Metro Area!!Peruvian!!Estimate","Oklahoma City, OK Metro Area!!Venezuelan!!Estimate","Oklahoma City, OK Metro Area!!Spaniard!!Estimate","Oklahoma City, OK Metro Area!!White alone, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Black or African American alone, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!American Indian and Alaska Native alone, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!American Indian and Alaska Native alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Asian alone, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Some Other Race alone, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Some Other Race alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Two or More Races, not Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!White alone, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Black or African American alone, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Black or African American alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!American Indian and Alaska Native alone, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!American Indian and Alaska Native alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Asian alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Some Other Race alone, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Some Other Race alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Two or More Races, Hispanic or Latino!!Estimate","Oklahoma City, OK Metro Area!!Mexican American Indian tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Sac and Fox tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!Shawnee tribal grouping alone or in any combination!!Estimate","Oklahoma City, OK Metro Area!!White in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!Black or African American in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!American Indian and Alaska Native in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!Asian in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!Native Hawaiian and Other Pacific Islander in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!Some Other Race in combination with one or more other races!!Estimate","Oklahoma City, OK Metro Area!!Three or more races with Some Other Race!!Estimate","Oklahoma City, OK Metro Area!!Three or more races without Some Other Race!!Estimate"
"Total:","1,412,874","997,079","1,116,084","143,302","175,890","51,743","45,050","114,176","101,004","43,932","9,381","5,651","5,200","2,871","1,219","2,747","1,143","947","14,117","60,364","10,703","8,579","8,005","5,884","4,560","5,443","1,397","1,311","1,560","16,761","1,019","3,534","1,532","1,189","897","47,400","81,990","818","984","128,399","31,866","86,759","19,296","48,093","11,321","997","29,915","5,466","959","797","3,822","943","1,735","1,307","1,375","851","1,091","4,248","9,940","9,257","22,661","1,039","1,980","3,455","8,941","1,098","1,305","2,079","687","1,483","2,317","3,919","1,740","4,029","2,349","9,635","30,403","718","196,239","154,681","5,287","1,336","18,818","10,279","3,027","4,259","5,436","1,436","1,357","1,501","3,703","890,170","975,407","140,750","170,075","44,150","100,136","43,488","58,830","795","2,949","4,372","9,548","92,910","106,909","140,677","2,552","5,815","7,593","14,040","1,534","43,028","72,442","35,489","2,857","698","1,051","119,005","32,588","62,433","16,432","2,515","34,590","9,774","7,050"
"    Male:","699,575","495,761","554,185","70,087","85,886","25,431","21,949","55,139","48,708","20,338","4,553","2,651","2,467","1,045","354","1,386","600","303","6,580","28,399","5,142","4,120","3,821","2,547","1,843","2,794","949","691","631","7,668","487","1,903","757","554","345","24,899","41,759","364","472","62,572","15,702","42,158","9,579","23,225","5,605","555","14,903","2,538","347","214","1,838","396","797","621","786","465","499","1,761","4,402","4,828","11,080","435","879","1,556","3,931","485","597","938","306","625","1,135","1,952","966","1,996","1,324","4,785","15,028","450","101,399","79,981","2,653","748","10,573","5,848","1,799","2,249","2,339","514","619","725","1,723","439,700","481,734","68,880","83,119","21,461","48,575","20,148","27,664","341","1,580","2,253","4,557","45,393","56,061","72,451","1,207","2,767","3,970","6,564","735","22,646","37,202","17,179","1,511","262","485","58,424","15,799","29,708","8,061","1,416","16,860","4,712","3,554"
"        Under 5 years","46,970","29,786","36,513","5,117","7,826","1,941","1,549","4,904","4,281","832","240","130","130","19","12","16","8","34","200","1,995","338","175","165","160","266","305","56","30","75","286","43","104","24","24","58","2,049","3,702","39","81","7,202","1,423","4,972","1,699","2,055","905","7","1,285","237","54","29","380","39","109","103","136","62","19","115","349","402","1,128","5","29","95","459","13","54","91","71","47","66","143","48","234","90","292","1,046","51","11,087","8,597","278","37","1,209","754","104","262","239","0","155","34","309","23,273","28,180","4,937","7,263","1,376","4,057","832","1,872","7","61","204","337","5,254","6,513","8,333","180","563","565","847","123","1,845","3,365","1,948","95","5","23","6,727","2,709","2,963","1,163","61","1,653","807","577"
"        5 to 9 years","49,419","31,650","37,886","5,523","7,863","1,985","1,567","4,771","4,132","1,178","144","123","123","104","0","100","14","31","397","2,075","263","226","226","371","142","260","73","25","46","520","73","164","107","88","38","2,396","4,020","29","38","6,614","1,521","4,395","1,646","1,923","540","49","1,415","172","47","71","296","142","59","38","68","46","31","62","376","449","1,048","65","87","96","467","117","41","110","4","41","66","192","84","215","231","217","1,137","22","10,438","9,011","164","35","704","471","104","92","96","25","20","51","103","25,903","30,343","5,418","7,437","1,454","3,867","1,175","1,941","18","96","347","541","4,666","5,747","7,543","105","426","531","904","134","2,049","3,479","1,948","284","63","98","6,236","2,340","2,786","897","91","1,624","698","595"
"        10 to 14 years","52,034","32,840","39,664","5,860","8,430","2,618","2,212","5,616","4,863","1,348","464","152","108","44","14","30","15","4","426","2,305","471","372","328","206","237","241","56","26","29","621","36","139","43","23","34","2,077","4,093","17","24","7,255","1,829","4,577","1,606","1,927","671","35","1,736","302","15","32","424","64","125","121","61","27","92","140","458","603","1,217","12","92","197","442","37","65","78","77","62","54","113","260","311","138","439","1,437","0","11,904","10,032","206","33","1,013","693","98","212","246","67","11","71","142","25,713","30,513","5,639","7,957","2,130","4,606","1,315","2,205","36","126","146","559","5,151","7,127","9,151","221","473","488","1,010","100","1,931","3,534","2,104","157","5","27","6,824","2,570","2,998","957","103","2,016","849","662"
"        15 to 17 years","29,654","19,335","22,918","3,428","4,349","1,279","1,110","2,766","2,423","717","91","118","118","34","8","106","20","3","252","1,332","103","205","205","62","195","234","22","23","7","426","0","148","51","51","0","1,114","2,109","6","6","3,781","959","2,640","654","1,218","498","143","888","69","7","20","97","9","18","33","0","0","54","95","317","314","686","5","10","37","106","6","58","58","36","18","55","80","47","90","80","203","706","19","5,912","5,029","60","62","560","308","124","100","62","37","10","4","49","15,856","18,392","3,391","4,161","1,081","2,370","695","1,272","0","145","56","166","2,663","3,479","4,526","37","188","198","396","60","1,058","1,943","1,118","107","0","10","3,583","921","1,487","615","148","995","182","146"
"        18 and 19 years","19,434","12,398","14,994","1,986","3,060","697","582","2,034","1,665","570","55","69","69","43","34","22","46","0","222","929","60","148","148","202","91","37","0","46","9","329","19","146","70","70","41","825","1,432","10","10","2,939","573","2,172","620","954","203","88","537","246","39","1","86","0","0","11","0","15","26","36","111","47","277","15","31","9","85","0","2","54","45","13","0","14","30","74","0","177","566","0","3,777","3,037","118","0","339","193","114","32","59","59","0","0","42","10,436","12,249","1,927","2,924","568","1,787","562","888","19","75","25","51","2,120","1,962","2,745","59","136","129","247","41","800","1,381","819","0","0","7","2,596","1,074","1,337","359","127","607","194","160"
"        20 years","10,235","6,797","7,938","923","1,132","384","231","989","804","305","127","10","10","3","0","29","20","0","116","664","127","108","65","110","110","86","0","20","0","149","0","38","10","10","0","587","885","0","0","1,239","281","796","101","404","201","0","273","50","7","1","44","63","0","27","0","23","0","36","78","28","113","8","8","0","33","0","0","1","0","8","0","96","0","0","85","49","198","13","1,870","1,335","117","19","271","134","133","0","36","5","11","0","6","5,964","6,807","828","1,019","272","867","285","630","0","38","83","95","933","833","1,131","95","113","112","122","34","504","790","306","85","8","0","1,141","209","605","359","38","298","162","145"
"        21 years","11,530","7,002","8,463","1,628","2,371","482","334","1,191","964","371","55","41","32","17","51","56","4","0","74","494","55","82","73","29","55","56","34","4","52","122","0","21","4","4","0","375","884","0","0","1,672","440","1,033","406","419","30","17","390","143","14","0","55","0","69","139","0","14","0","79","180","34","142","0","78","9","26","0","0","0","0","7","96","96","0","32","27","37","187","0","1,975","1,397","52","5","435","310","9","116","0","0","0","0","4","5,975","7,026","1,617","2,317","349","963","371","494","0","21","14","116","1,229","1,027","1,437","11","54","133","228","0","361","768","443","27","0","12","1,461","743","709","123","21","509","199","130"
"        22 to 24 years","29,670","19,145","22,170","3,297","4,093","1,333","1,088","2,831","2,347","1,488","128","484","484","74","8","0","101","0","422","2,014","141","552","552","179","44","54","56","101","103","522","0","124","26","26","0","1,233","1,873","15","15","3,174","609","2,304","533","1,276","338","23","594","134","0","0","45","24","19","0","0","29","21","82","213","262","500","26","39","83","226","13","30","30","8","72","45","82","8","72","207","321","854","33","4,931","3,966","194","27","488","266","63","140","35","6","6","13","83","16,296","18,712","3,246","4,029","1,034","2,475","1,482","1,975","0","124","120","203","2,561","2,849","3,458","51","64","299","356","39","1,113","1,670","613","207","9","0","3,025","796","1,498","526","124","640","261","230"
"        25 to 29 years","51,723","34,962","39,533","5,493","6,995","2,208","2,073","4,641","4,316","1,790","429","280","278","79","44","220","67","0","485","2,557","501","631","629","187","113","258","6","67","58","529","49","170","84","81","51","2,211","3,133","28","28","5,010","902","3,863","977","1,906","565","27","851","320","28","6","130","13","20","0","122","62","86","133","301","453","1,082","49","60","221","391","74","31","67","30","33","130","202","45","129","12","379","1,298","12","8,169","5,790","199","65","1,329","671","217","367","357","52","34","184","160","30,138","33,839","5,377","6,848","2,005","4,288","1,739","2,462","40","130","156","316","4,099","4,824","5,694","116","147","203","353","95","2,055","2,817","911","30","43","0","4,571","1,502","2,433","767","121","922","245","225"
"        30 to 34 years","50,773","35,646","38,960","5,581","6,062","2,018","1,732","3,757","3,302","1,589","328","271","269","63","24","107","41","0","363","2,027","344","327","271","155","88","249","156","51","2","376","98","246","63","21","38","2,422","3,367","46","87","3,419","885","2,327","302","1,532","346","65","862","52","22","4","85","6","40","65","29","38","20","126","273","267","813","42","102","101","281","11","75","75","18","80","135","174","10","93","129","409","1,055","28","8,028","5,939","185","102","1,343","807","116","354","241","17","55","106","131","31,371","33,823","5,517","5,961","1,612","3,217","1,578","2,016","83","212","50","197","2,534","4,275","5,137","64","101","406","540","11","2,372","3,170","885","138","12","99","3,314","481","1,739","438","148","945","207","147"
"        35 to 39 years","51,204","36,666","40,578","4,909","5,740","1,573","1,472","3,688","3,469","1,529","469","194","133","86","22","143","28","76","272","1,944","475","274","205","214","79","229","39","28","76","319","95","200","85","51","43","2,171","3,622","70","79","4,261","1,320","2,672","450","1,683","279","0","1,231","211","23","5","55","4","124","0","102","19","51","192","311","220","660","26","34","88","220","10","18","73","0","47","42","65","125","172","61","313","1,120","8","7,366","5,594","251","130","710","264","161","64","186","23","23","130","171","33,050","35,738","4,773","5,486","1,335","3,237","1,529","1,934","76","175","133","393","2,942","3,616","4,840","136","254","238","451","10","2,038","3,229","1,319","80","19","82","3,912","831","2,115","415","105","1,451","269","138"
"        40 to 44 years","44,581","31,262","34,803","4,436","4,981","1,647","1,395","3,524","3,143","1,587","540","150","150","122","35","166","4","8","257","2,036","612","191","191","213","150","298","142","4","22","261","0","152","85","0","0","1,778","3,111","34","34","3,871","1,308","2,408","248","1,603","282","37","1,293","189","40","15","12","12","25","0","53","11","16","117","262","486","780","4","42","41","207","39","30","35","0","27","54","114","68","137","100","309","988","51","6,646","4,994","176","57","938","412","287","208","156","22","53","0","46","27,673","29,927","4,413","4,947","1,415","3,189","1,587","2,024","0","152","278","383","2,569","3,589","4,876","23","34","232","335","12","1,500","2,728","1,302","118","3","5","3,541","545","1,877","449","152","1,333","155","130"
