"Label (Grouping)","Oklahoma City, OK Metro Area!!Total!!Estimate","Oklahoma City, OK Metro Area!!Married-couple family household!!Estimate","Oklahoma City, OK Metro Area!!Male householder, no spouse present, family household!!Estimate","Oklahoma City, OK Metro Area!!Female householder, no spouse present, family household!!Estimate","Oklahoma City, OK Metro Area!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","545,765","258,436","27,758","66,087","193,484"
"    Average household size","2.53","3.21","3.22","3.28","1.27"
"FAMILIES","","","","",""
"    Total families","352,281","258,436","27,758","66,087","(X)"
"    Average family size","3.14","3.18","2.86","3.08","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","160,961","108,920","14,245","37,796","(X)"
"        Under 6 years only","21.8%","22.4%","25.6%","18.8%","(X)"
"        Under 6 years and 6 to 17 years","21.4%","22.8%","15.9%","19.6%","(X)"
"        6 to 17 years only","56.8%","54.8%","58.5%","61.6%","(X)"
"Total households","545,765","258,436","27,758","66,087","193,484"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","32.9%","44.9%","59.5%","67.5%","1.1%"
"        Households with one or more people 60 years and over","35.8%","35.6%","23.6%","24.6%","41.7%"
"        Households with one or more people 65 year and over","26.6%","(X)","(X)","(X)","31.9%"
"        Householder living alone","28.6%","(X)","(X)","(X)","80.6%"
"            65 years and over","10.6%","(X)","(X)","(X)","29.9%"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","77.0%","89.7%","74.1%","72.0%","62.1%"
"        2-or-more-unit structures","17.9%","5.2%","18.2%","22.4%","33.2%"
"        Mobile homes and all other types of units","5.1%","5.0%","7.7%","5.6%","4.6%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","64.4%","81.6%","56.2%","44.7%","49.4%"
"        Renter-occupied housing units","35.6%","18.4%","43.8%","55.3%","50.6%"
