"Label (Grouping)","Oklahoma City, OK Metro Area!!Total!!Estimate","Oklahoma City, OK Metro Area!!Now married (except separated)!!Estimate","Oklahoma City, OK Metro Area!!Widowed!!Estimate","Oklahoma City, OK Metro Area!!Divorced!!Estimate","Oklahoma City, OK Metro Area!!Separated!!Estimate","Oklahoma City, OK Metro Area!!Never married!!Estimate"
"Population 15 years and over","1,123,016","49.2%","5.4%","12.3%","1.8%","31.4%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","551,152","50.6%","2.6%","10.8%","1.5%","34.5%"
"            15 to 19 years","49,088","0.8%","0.0%","0.0%","0.1%","99.2%"
"            20 to 34 years","153,931","32.3%","0.0%","3.3%","0.9%","63.4%"
"            35 to 44 years","95,785","62.6%","0.6%","12.9%","2.4%","21.5%"
"            45 to 54 years","81,577","65.4%","1.0%","17.7%","2.2%","13.7%"
"            55 to 64 years","82,334","63.7%","3.3%","20.3%","2.3%","10.3%"
"            65 years and over","88,437","71.1%","11.3%","12.5%","0.8%","4.3%"
"        Females 15 years and over","571,864","47.8%","8.1%","13.7%","2.1%","28.4%"
"            15 to 19 years","47,146","2.0%","0.0%","0.0%","0.0%","97.9%"
"            20 to 34 years","152,075","39.1%","0.2%","4.8%","2.0%","53.9%"
"            35 to 44 years","94,743","65.6%","1.1%","13.8%","3.7%","15.8%"
"            45 to 54 years","81,770","62.9%","2.4%","20.7%","3.4%","10.6%"
"            55 to 64 years","87,056","59.7%","8.2%","22.2%","2.1%","7.8%"
"            65 years and over","109,074","43.4%","32.7%","19.6%","0.9%","3.3%"
"Population 15 years and over","1,123,016","49.2%","5.4%","12.3%","1.8%","31.4%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","1,037,639","49.9%","5.5%","12.4%","1.8%","30.3%"
"            White","814,713","52.8%","5.9%","12.7%","1.6%","27.0%"
"            Black or African American","111,461","29.8%","5.1%","13.7%","3.4%","48.0%"
"            American Indian and Alaska Native","39,434","41.3%","4.3%","14.5%","1.9%","37.9%"
"            Asian","36,973","57.1%","3.9%","5.8%","1.1%","32.1%"
"            Native Hawaiian and Other Pacific Islander","754","63.1%","1.1%","4.1%","3.7%","28.0%"
"            Some other race","34,304","48.4%","2.1%","8.2%","2.5%","38.8%"
"        Two or more races","85,377","39.6%","3.3%","10.3%","1.8%","45.0%"
"        Hispanic or Latino origin (of any race)","130,593","46.7%","2.4%","7.0%","2.5%","41.5%"
"        White alone, not Hispanic or Latino","744,832","53.2%","6.2%","13.2%","1.5%","25.8%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","540,999","51.5%","2.6%","11.1%","1.5%","33.3%"
"        In labor force","385,232","54.7%","1.1%","10.3%","1.5%","32.3%"
"    Females 16 years and over","562,827","48.5%","8.2%","13.9%","2.2%","27.2%"
"        In labor force","338,954","49.7%","3.3%","14.6%","2.4%","30.1%"
"SUMMARY INDICATOR","","","","","",""
"    Ratio of Unmarried Men 15 to 44 years per 100 unmarried women 15 to 44 years","112.1","(X)","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","7.9%","(X)","(X)","(X)","(X)","(X)"
