"Label (Grouping)","Oklahoma City, OK Metro Area!!Total!!Estimate","Oklahoma City, OK Metro Area!!Percent!!Estimate","Oklahoma City, OK Metro Area!!In public school!!Estimate","Oklahoma City, OK Metro Area!!Percent in public school!!Estimate","Oklahoma City, OK Metro Area!!In private school!!Estimate","Oklahoma City, OK Metro Area!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","371,568","(X)","(X)","86.5%","(X)","13.5%"
"    Nursery school, preschool","21,724","5.8%","15,542","71.5%","6,182","28.5%"
"    Kindergarten to 12th grade","251,930","67.8%","224,016","88.9%","27,914","11.1%"
"        Kindergarten","20,848","5.6%","18,316","87.9%","2,532","12.1%"
"        Elementary: grade 1 to grade 4","76,801","20.7%","68,520","89.2%","8,281","10.8%"
"        Elementary: grade 5 to grade 8","79,708","21.5%","70,748","88.8%","8,960","11.2%"
"        High school: grade 9 to grade 12","74,573","20.1%","66,432","89.1%","8,141","10.9%"
"    College, undergraduate","77,900","21.0%","66,599","85.5%","11,301","14.5%"
"    Graduate, professional school","20,014","5.4%","15,287","76.4%","4,727","23.6%"
"Population enrolled in college or graduate school","97,914","26.4%","81,886","83.6%","16,028","16.4%"
"    Males enrolled in college or graduate school","44,120","23.9%","37,057","84.0%","7,063","16.0%"
"    Females enrolled in college or graduate school","53,794","28.7%","44,829","83.3%","8,965","16.7%"
"Population 3 to 4 years","37,646","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","14,578","38.7%","10,107","69.3%","4,471","30.7%"
"Population 5 to 9 years","97,333","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","92,692","95.2%","81,534","88.0%","11,158","12.0%"
"Population 10 to 14 years","100,577","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","98,408","97.8%","87,341","88.8%","11,067","11.2%"
"Population 15 to 17","58,117","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","55,990","96.3%","50,122","89.5%","5,868","10.5%"
"Population 18 to 19 years","38,117","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","27,511","72.2%","24,112","87.6%","3,399","12.4%"
"Population 20 to 24 years","101,419","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","40,420","39.9%","34,946","86.5%","5,474","13.5%"
"Population 25 to 34 years","204,587","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","23,542","11.5%","19,593","83.2%","3,949","16.8%"
"Population 35 years and over","720,776","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","18,427","2.6%","13,689","74.3%","4,738","25.7%"
"Population 18 to 24 years","139,536","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","56,839","40.7%","49,387","86.9%","7,452","13.1%"
"    Males 18 to 24 years","70,869","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","25,895","36.5%","22,572","87.2%","3,323","12.8%"
"    Females 18 to 24 years","68,667","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","30,944","45.1%","26,815","86.7%","4,129","13.3%"
