"Label (Grouping)","Oklahoma City, OK Metro Area!!Total!!Estimate","Oklahoma City, OK Metro Area!!Labor Force Participation Rate!!Estimate","Oklahoma City, OK Metro Area!!Employment/Population Ratio!!Estimate","Oklahoma City, OK Metro Area!!Unemployment rate!!Estimate"
"Population 16 years and over","1,103,826","65.6%","62.0%","4.4%"
"    AGE","","","",""
"        16 to 19 years","77,044","40.3%","33.4%","16.1%"
"        20 to 24 years","101,419","76.7%","69.5%","6.9%"
"        25 to 29 years","102,946","83.0%","77.4%","4.6%"
"        30 to 34 years","101,641","83.3%","78.6%","4.1%"
"        35 to 44 years","190,528","83.3%","79.2%","3.7%"
"        45 to 54 years","163,347","80.7%","77.9%","3.2%"
"        55 to 59 years","87,998","73.0%","70.6%","3.3%"
"        60 to 64 years","81,392","59.3%","58.0%","2.1%"
"        65 to 74 years","121,420","29.1%","28.4%","2.3%"
"        75 years and over","76,091","9.1%","8.8%","2.6%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","802,448","65.2%","61.9%","3.8%"
"        Black or African American alone","109,311","64.4%","58.1%","8.3%"
"        American Indian and Alaska Native alone","38,565","65.4%","61.8%","5.1%"
"        Asian alone","36,504","67.7%","65.5%","2.4%"
"        Native Hawaiian and Other Pacific Islander alone","754","76.9%","74.9%","1.4%"
"        Some other race alone","33,631","71.8%","67.9%","5.0%"
"        Two or more races","82,613","68.2%","63.8%","5.8%"
"        Hispanic or Latino origin (of any race)","126,891","72.1%","67.8%","5.0%"
"        White alone, not Hispanic or Latino","734,480","64.5%","61.4%","3.7%"
"Population 20 to 64 years","829,271","78.5%","74.5%","4.0%"
"    SEX","","","",""
"        Male","413,627","84.0%","79.2%","3.9%"
"        Female","415,644","73.0%","69.7%","4.1%"
"            With own children under 18 years","157,160","74.3%","71.0%","4.0%"
"                With own children under 6 years only","35,076","71.2%","66.8%","5.3%"
"                With own children under 6 years and 6 to 17  years","33,832","66.8%","63.8%","4.0%"
"                With own children 6 to 17 years only","88,252","78.4%","75.5%","3.5%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","102,235","50.0%","41.8%","16.0%"
"        At or above the poverty level","713,042","83.7%","80.4%","2.9%"
"    DISABILITY STATUS","","","",""
"        With any disability","102,433","50.1%","45.3%","9.0%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","727,852","78.7%","75.1%","3.6%"
"        Less than high school graduate","74,513","64.5%","61.1%","5.1%"
"        High school graduate (includes equivalency)","187,722","72.5%","68.1%","5.7%"
"        Some college or associate's degree","226,042","79.6%","75.4%","3.8%"
"        Bachelor's degree or higher","239,575","87.3%","84.8%","1.7%"
