"Label (Grouping)","Oklahoma City, OK Metro Area!!Total!!Estimate","Oklahoma City, OK Metro Area!!Male!!Estimate","Oklahoma City, OK Metro Area!!Percent Male!!Estimate","Oklahoma City, OK Metro Area!!Female!!Estimate","Oklahoma City, OK Metro Area!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","684,450","361,695","52.8%","322,755","47.2%"
"    Management, business, science, and arts occupations:","269,051","127,834","47.5%","141,217","52.5%"
"        Management, business, and financial occupations:","106,168","56,601","53.3%","49,567","46.7%"
"            Management occupations","67,819","39,597","58.4%","28,222","41.6%"
"            Business and financial operations occupations","38,349","17,004","44.3%","21,345","55.7%"
"        Computer, engineering, and science occupations:","42,005","31,610","75.3%","10,395","24.7%"
"            Computer and mathematical occupations","21,113","15,642","74.1%","5,471","25.9%"
"            Architecture and engineering occupations","14,588","12,147","83.3%","2,441","16.7%"
"            Life, physical, and social science occupations","6,304","3,821","60.6%","2,483","39.4%"
"        Education, legal, community service, arts, and media occupations:","73,599","27,149","36.9%","46,450","63.1%"
"            Community and social service occupations","11,729","4,634","39.5%","7,095","60.5%"
"            Legal occupations","9,179","4,814","52.4%","4,365","47.6%"
"            Educational instruction, and library occupations","41,717","12,045","28.9%","29,672","71.1%"
"            Arts, design, entertainment, sports, and media occupations","10,974","5,656","51.5%","5,318","48.5%"
"        Healthcare practitioners and technical occupations:","47,279","12,474","26.4%","34,805","73.6%"
"            Health diagnosing and treating practitioners and other technical occupations","32,700","8,641","26.4%","24,059","73.6%"
"            Health technologists and technicians","14,579","3,833","26.3%","10,746","73.7%"
"    Service occupations:","112,613","46,606","41.4%","66,007","58.6%"
"        Healthcare support occupations","17,761","2,400","13.5%","15,361","86.5%"
"        Protective service occupations:","13,245","10,388","78.4%","2,857","21.6%"
"            Firefighting and prevention, and other protective service workers including supervisors","7,468","5,661","75.8%","1,807","24.2%"
"            Law enforcement workers including supervisors","5,777","4,727","81.8%","1,050","18.2%"
"        Food preparation and serving related occupations","39,376","15,831","40.2%","23,545","59.8%"
"        Building and grounds cleaning and maintenance occupations","22,406","13,232","59.1%","9,174","40.9%"
"        Personal care and service occupations","19,825","4,755","24.0%","15,070","76.0%"
"    Sales and office occupations:","151,038","56,542","37.4%","94,496","62.6%"
"        Sales and related occupations","69,161","36,715","53.1%","32,446","46.9%"
"        Office and administrative support occupations","81,877","19,827","24.2%","62,050","75.8%"
"    Natural resources, construction, and maintenance occupations:","68,494","65,585","95.8%","2,909","4.2%"
"        Farming, fishing, and forestry occupations","1,983","1,551","78.2%","432","21.8%"
"        Construction and extraction occupations","40,188","38,978","97.0%","1,210","3.0%"
"        Installation, maintenance, and repair occupations","26,323","25,056","95.2%","1,267","4.8%"
"    Production, transportation, and material moving occupations:","83,254","65,128","78.2%","18,126","21.8%"
"        Production occupations","32,023","24,056","75.1%","7,967","24.9%"
"        Transportation occupations","25,163","22,085","87.8%","3,078","12.2%"
"        Material moving occupations","26,068","18,987","72.8%","7,081","27.2%"
