"Label (Grouping)","Pittsburgh city, Pennsylvania!!Total population!!Estimate","Pittsburgh city, Pennsylvania!!White alone!!Estimate","Pittsburgh city, Pennsylvania!!White alone or in combination with one or more other races!!Estimate","Pittsburgh city, Pennsylvania!!Black or African American alone!!Estimate","Pittsburgh city, Pennsylvania!!Black or African American alone or in combination with one or more other races!!Estimate","Pittsburgh city, Pennsylvania!!Asian alone!!Estimate","Pittsburgh city, Pennsylvania!!Asian alone or in combination with one or more other races!!Estimate","Pittsburgh city, Pennsylvania!!Chinese alone or in any combination!!Estimate","Pittsburgh city, Pennsylvania!!Two or More Races !!Estimate","Pittsburgh city, Pennsylvania!!Two races without Some Other Race!!Estimate","Pittsburgh city, Pennsylvania!!Hispanic or Latino (of any race)!!Estimate","Pittsburgh city, Pennsylvania!!White alone, not Hispanic or Latino!!Estimate","Pittsburgh city, Pennsylvania!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Pittsburgh city, Pennsylvania!!Black or African American alone, not Hispanic or Latino!!Estimate","Pittsburgh city, Pennsylvania!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Pittsburgh city, Pennsylvania!!Asian alone, not Hispanic or Latino!!Estimate","Pittsburgh city, Pennsylvania!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","Pittsburgh city, Pennsylvania!!Two or More Races, not Hispanic or Latino!!Estimate","Pittsburgh city, Pennsylvania!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","Pittsburgh city, Pennsylvania!!White in combination with one or more other races!!Estimate","Pittsburgh city, Pennsylvania!!Black or African American in combination with one or more other races!!Estimate"
"Total:","303,207","198,365","211,336","69,396","77,355","16,920","20,407","7,050","14,650","9,689","10,547","193,493","204,102","68,837","76,305","16,842","20,051","12,020","7,234","12,971","7,959"
"    Male:","148,368","97,602","104,012","32,879","36,833","8,608","10,470","3,389","7,254","4,794","5,802","94,687","99,865","32,648","36,302","8,599","10,258","5,904","4,147","6,410","3,954"
"        Under 5 years","7,369","3,473","4,217","2,643","3,215","227","437","73","881","660","431","3,267","3,931","2,643","3,198","227","405","749","286","744","572"
"        5 to 9 years","6,104","2,462","3,197","2,381","2,956","262","436","70","779","622","431","2,299","2,975","2,324","2,899","253","393","720","222","735","575"
"        10 to 14 years","6,146","2,562","3,183","2,707","3,099","144","257","40","635","462","167","2,485","3,051","2,707","3,067","144","257","580","132","621","392"
"        15 to 17 years","3,763","1,948","2,372","1,234","1,475","113","202","42","431","361","108","1,915","2,302","1,234","1,475","113","195","387","70","424","241"
"        18 and 19 years","7,172","4,890","5,097","1,294","1,405","662","762","367","252","179","284","4,715","4,884","1,291","1,393","662","762","214","213","207","111"
"        20 years","3,204","2,315","2,499","408","525","169","202","86","191","146","205","2,243","2,390","397","507","169","194","147","109","184","117"
"        21 years","3,149","2,127","2,291","557","666","220","296","122","164","52","130","2,039","2,180","557","666","220","296","141","111","164","109"
"        22 to 24 years","10,002","5,747","6,035","2,564","2,762","1,269","1,357","802","313","243","240","5,635","5,907","2,554","2,727","1,269","1,339","272","128","288","198"
"        25 to 29 years","17,141","11,693","12,327","2,811","3,278","1,690","1,936","663","788","434","867","11,286","11,627","2,760","3,072","1,690","1,897","485","700","634","467"
