"Label (Grouping)","Pittsburgh city, Pennsylvania!!Total!!Estimate","Pittsburgh city, Pennsylvania!!Married-couple family household!!Estimate","Pittsburgh city, Pennsylvania!!Male householder, no spouse present, family household!!Estimate","Pittsburgh city, Pennsylvania!!Female householder, no spouse present, family household!!Estimate","Pittsburgh city, Pennsylvania!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","137,747","37,348","4,560","16,149","79,690"
"    Average household size","2.04","2.90","2.96","3.20","1.35"
"FAMILIES","","","","",""
"    Total families","58,057","37,348","4,560","16,149","(X)"
"    Average family size","2.91","2.87","2.72","3.04","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","21,928","11,898","1,858","8,172","(X)"
"        Under 6 years only","29.0%","33.9%","19.7%","24.0%","(X)"
"        Under 6 years and 6 to 17 years","18.6%","17.8%","14.4%","20.9%","(X)"
"        6 to 17 years only","52.3%","48.3%","65.9%","55.1%","(X)"
"Total households","137,747","37,348","4,560","16,149","79,690"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","17.8%","34.3%","46.5%","59.0%","0.1%"
"        Households with one or more people 60 years and over","34.1%","37.7%","32.4%","30.0%","33.3%"
"        Households with one or more people 65 year and over","25.0%","(X)","(X)","(X)","24.3%"
"        Householder living alone","44.2%","(X)","(X)","(X)","76.4%"
"            65 years and over","13.3%","(X)","(X)","(X)","23.0%"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","59.9%","81.8%","76.9%","75.8%","45.4%"
"        2-or-more-unit structures","39.7%","17.8%","22.8%","23.7%","54.3%"
"        Mobile homes and all other types of units","0.4%","0.4%","0.3%","0.5%","0.3%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","47.4%","74.2%","55.1%","42.7%","35.3%"
"        Renter-occupied housing units","52.6%","25.8%","44.9%","57.3%","64.7%"
