"Label (Grouping)","Pittsburgh city, Pennsylvania!!Total!!Estimate","Pittsburgh city, Pennsylvania!!Percent!!Estimate","Pittsburgh city, Pennsylvania!!In public school!!Estimate","Pittsburgh city, Pennsylvania!!Percent in public school!!Estimate","Pittsburgh city, Pennsylvania!!In private school!!Estimate","Pittsburgh city, Pennsylvania!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","80,296","(X)","(X)","63.1%","(X)","36.9%"
"    Nursery school, preschool","3,108","3.9%","1,565","50.4%","1,543","49.6%"
"    Kindergarten to 12th grade","30,972","38.6%","24,017","77.5%","6,955","22.5%"
"        Kindergarten","2,327","2.9%","1,777","76.4%","550","23.6%"
"        Elementary: grade 1 to grade 4","9,665","12.0%","7,431","76.9%","2,234","23.1%"
"        Elementary: grade 5 to grade 8","9,285","11.6%","7,106","76.5%","2,179","23.5%"
"        High school: grade 9 to grade 12","9,695","12.1%","7,703","79.5%","1,992","20.5%"
"    College, undergraduate","32,764","40.8%","18,787","57.3%","13,977","42.7%"
"    Graduate, professional school","13,452","16.8%","6,337","47.1%","7,115","52.9%"
"Population enrolled in college or graduate school","46,216","57.6%","25,124","54.4%","21,092","45.6%"
"    Males enrolled in college or graduate school","20,649","53.9%","11,321","54.8%","9,328","45.2%"
"    Females enrolled in college or graduate school","25,567","60.9%","13,803","54.0%","11,764","46.0%"
"Population 3 to 4 years","5,286","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","2,705","51.2%","1,541","57.0%","1,164","43.0%"
"Population 5 to 9 years","11,691","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","10,942","93.6%","8,214","75.1%","2,728","24.9%"
"Population 10 to 14 years","11,864","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","11,754","99.1%","8,918","75.9%","2,836","24.1%"
"Population 15 to 17","7,280","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","6,873","94.4%","5,335","77.6%","1,538","22.4%"
"Population 18 to 19 years","15,891","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","14,229","89.5%","8,480","59.6%","5,749","40.4%"
"Population 20 to 24 years","33,443","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","20,242","60.5%","10,347","51.1%","9,895","48.9%"
"Population 25 to 34 years","64,214","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","10,040","15.6%","5,779","57.6%","4,261","42.4%"
"Population 35 years and over","144,981","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","3,511","2.4%","2,092","59.6%","1,419","40.4%"
"Population 18 to 24 years","49,334","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","32,861","66.6%","17,473","53.2%","15,388","46.8%"
"    Males 18 to 24 years","23,527","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","14,108","60.0%","7,879","55.8%","6,229","44.2%"
"    Females 18 to 24 years","25,807","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","18,753","72.7%","9,594","51.2%","9,159","48.8%"
