"Label (Grouping)","Pittsburgh city, Pennsylvania!!Total!!Estimate","Pittsburgh city, Pennsylvania!!Labor Force Participation Rate!!Estimate","Pittsburgh city, Pennsylvania!!Employment/Population Ratio!!Estimate","Pittsburgh city, Pennsylvania!!Unemployment rate!!Estimate"
"Population 16 years and over","263,413","64.0%","60.5%","5.4%"
"    AGE","","","",""
"        16 to 19 years","20,775","33.6%","28.2%","15.9%"
"        20 to 24 years","33,443","65.4%","60.6%","7.1%"
"        25 to 29 years","34,344","84.8%","80.4%","5.1%"
"        30 to 34 years","29,870","87.7%","84.3%","3.8%"
"        35 to 44 years","35,349","84.9%","81.2%","4.1%"
"        45 to 54 years","28,731","79.1%","74.5%","5.8%"
"        55 to 59 years","17,026","71.6%","67.7%","5.2%"
"        60 to 64 years","18,480","57.4%","55.1%","4.0%"
"        65 to 74 years","26,608","27.7%","26.4%","4.4%"
"        75 years and over","18,787","8.7%","8.6%","1.9%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","180,139","66.1%","63.4%","4.1%"
"        Black or African American alone","54,494","56.8%","50.4%","11.1%"
"        American Indian and Alaska Native alone","493","34.5%","24.1%","30.0%"
"        Asian alone","15,471","61.5%","59.8%","2.8%"
"        Native Hawaiian and Other Pacific Islander alone","83","45.8%","45.8%","0.0%"
"        Some other race alone","2,523","60.1%","56.1%","6.6%"
"        Two or more races","10,210","72.7%","68.2%","5.6%"
"        Hispanic or Latino origin (of any race)","8,716","69.5%","63.2%","8.6%"
"        White alone, not Hispanic or Latino","175,999","66.0%","63.3%","3.9%"
"Population 20 to 64 years","197,243","77.4%","73.5%","5.0%"
"    SEX","","","",""
"        Male","99,517","78.8%","74.5%","5.2%"
"        Female","97,726","76.0%","72.4%","4.8%"
"            With own children under 18 years","21,406","76.0%","71.0%","6.6%"
"                With own children under 6 years only","6,509","72.2%","69.9%","3.1%"
"                With own children under 6 years and 6 to 17  years","4,128","71.6%","64.1%","10.4%"
"                With own children 6 to 17 years only","10,769","80.0%","74.2%","7.3%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","34,878","46.9%","38.7%","17.4%"
"        At or above the poverty level","154,150","86.9%","83.8%","3.5%"
"    DISABILITY STATUS","","","",""
"        With any disability","21,946","46.8%","39.8%","14.7%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","163,800","79.9%","76.1%","4.6%"
"        Less than high school graduate","9,051","48.2%","42.9%","11.0%"
"        High school graduate (includes equivalency)","34,714","67.5%","60.6%","10.0%"
"        Some college or associate's degree","38,698","79.4%","76.0%","4.3%"
"        Bachelor's degree or higher","81,337","88.9%","86.4%","2.7%"
