"Label (Grouping)","Pittsburgh city, Pennsylvania!!Total!!Estimate","Pittsburgh city, Pennsylvania!!Male!!Estimate","Pittsburgh city, Pennsylvania!!Percent Male!!Estimate","Pittsburgh city, Pennsylvania!!Female!!Estimate","Pittsburgh city, Pennsylvania!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","159,386","80,543","50.5%","78,843","49.5%"
"    Management, business, science, and arts occupations:","81,976","42,151","51.4%","39,825","48.6%"
"        Management, business, and financial occupations:","27,517","15,129","55.0%","12,388","45.0%"
"            Management occupations","15,848","9,332","58.9%","6,516","41.1%"
"            Business and financial operations occupations","11,669","5,797","49.7%","5,872","50.3%"
"        Computer, engineering, and science occupations:","15,790","11,088","70.2%","4,702","29.8%"
"            Computer and mathematical occupations","8,892","6,607","74.3%","2,285","25.7%"
"            Architecture and engineering occupations","3,541","2,649","74.8%","892","25.2%"
"            Life, physical, and social science occupations","3,357","1,832","54.6%","1,525","45.4%"
"        Education, legal, community service, arts, and media occupations:","25,448","10,936","43.0%","14,512","57.0%"
"            Community and social service occupations","4,258","1,376","32.3%","2,882","67.7%"
"            Legal occupations","3,613","1,738","48.1%","1,875","51.9%"
"            Educational instruction, and library occupations","12,943","5,489","42.4%","7,454","57.6%"
"            Arts, design, entertainment, sports, and media occupations","4,634","2,333","50.3%","2,301","49.7%"
"        Healthcare practitioners and technical occupations:","13,221","4,998","37.8%","8,223","62.2%"
"            Health diagnosing and treating practitioners and other technical occupations","10,152","3,787","37.3%","6,365","62.7%"
"            Health technologists and technicians","3,069","1,211","39.5%","1,858","60.5%"
"    Service occupations:","29,022","12,691","43.7%","16,331","56.3%"
"        Healthcare support occupations","6,261","1,165","18.6%","5,096","81.4%"
"        Protective service occupations:","3,841","2,532","65.9%","1,309","34.1%"
"            Firefighting and prevention, and other protective service workers including supervisors","2,998","1,875","62.5%","1,123","37.5%"
"            Law enforcement workers including supervisors","843","657","77.9%","186","22.1%"
"        Food preparation and serving related occupations","10,129","4,760","47.0%","5,369","53.0%"
"        Building and grounds cleaning and maintenance occupations","4,850","3,126","64.5%","1,724","35.5%"
"        Personal care and service occupations","3,941","1,108","28.1%","2,833","71.9%"
"    Sales and office occupations:","29,217","9,822","33.6%","19,395","66.4%"
"        Sales and related occupations","12,801","5,508","43.0%","7,293","57.0%"
"        Office and administrative support occupations","16,416","4,314","26.3%","12,102","73.7%"
"    Natural resources, construction, and maintenance occupations:","6,770","6,443","95.2%","327","4.8%"
"        Farming, fishing, and forestry occupations","125","82","65.6%","43","34.4%"
"        Construction and extraction occupations","4,318","4,170","96.6%","148","3.4%"
"        Installation, maintenance, and repair occupations","2,327","2,191","94.2%","136","5.8%"
"    Production, transportation, and material moving occupations:","12,401","9,436","76.1%","2,965","23.9%"
"        Production occupations","3,994","2,813","70.4%","1,181","29.6%"
"        Transportation occupations","4,393","3,679","83.7%","714","16.3%"
"        Material moving occupations","4,014","2,944","73.3%","1,070","26.7%"
