"Label (Grouping)","San Francisco-Oakland-Hayward, CA Metro Area!!Total!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Married-couple family household!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Male householder, no wife present, family household!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Female householder, no husband present, family household!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","1,684,081","817,395","77,056","180,211","609,419"
"    Average household size","2.71","3.41","3.56","3.48","1.44"
"FAMILIES","","","","",""
"    Total families","1,074,662","817,395","77,056","180,211","(X)"
"    Average family size","3.31","3.35","3.12","3.22","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","471,680","360,950","29,983","80,747","(X)"
"        Under 6 years only","24.4%","26.3%","23.6%","16.1%","(X)"
"        Under 6 years and 6 to 17 years","17.6%","18.6%","12.5%","15.2%","(X)"
"        6 to 17 years only","58.0%","55.1%","63.8%","68.7%","(X)"
"Total households","1,684,081","817,395","77,056","180,211","609,419"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","30.9%","46.7%","47.9%","54.6%","0.6%"
"        Households with one or more people 60 years and over","37.7%","36.4%","35.8%","36.9%","40.0%"
"        Householder living alone","26.7%","(X)","(X)","(X)","73.9%"
"            65 years and over","9.9%","(X)","(X)","(X)","27.2%"
"    UNMARRIED-PARTNER HOUSEHOLDS","","","","",""
"        Same sex","0.7%","(X)","(X)","(X)","(X)"
"        Opposite sex","5.7%","(X)","(X)","(X)","(X)"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","60.0%","76.3%","61.4%","59.3%","38.0%"
"        2-or-more-unit structures","38.8%","22.8%","36.8%","39.3%","60.5%"
"        Mobile homes and all other types of units","1.2%","0.9%","1.8%","1.4%","1.4%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","54.3%","69.1%","46.7%","44.2%","38.4%"
"        Renter-occupied housing units","45.7%","30.9%","53.3%","55.8%","61.6%"
