"Label (Grouping)","San Francisco-Oakland-Hayward, CA Metro Area!!Total!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Now married (except separated)!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Widowed!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Divorced!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Separated!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Never married!!Estimate"
"Population 15 years and over","3,857,163","48.3%","4.9%","9.1%","1.6%","36.1%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","1,892,000","49.9%","2.0%","7.4%","1.4%","39.4%"
"            15 to 19 years","128,343","0.9%","0.0%","0.0%","0.1%","99.0%"
"            20 to 34 years","516,493","23.6%","0.0%","1.7%","0.6%","74.0%"
"            35 to 44 years","338,107","63.0%","0.2%","6.3%","1.6%","29.0%"
"            45 to 54 years","330,641","65.8%","0.7%","10.8%","2.1%","20.7%"
"            55 to 64 years","284,791","66.8%","1.9%","14.0%","2.2%","15.1%"
"            65 years and over","293,625","67.9%","9.9%","11.8%","1.5%","8.9%"
"        Females 15 years and over","1,965,163","46.7%","7.7%","10.7%","1.9%","33.0%"
"            15 to 19 years","124,242","1.0%","0.1%","0.0%","0.0%","98.9%"
"            20 to 34 years","502,680","31.4%","0.1%","2.5%","1.0%","65.0%"
"            35 to 44 years","334,740","65.7%","0.6%","8.6%","2.5%","22.5%"
"            45 to 54 years","328,285","63.3%","1.9%","14.9%","3.3%","16.6%"
"            55 to 64 years","299,964","59.3%","6.4%","18.6%","2.8%","12.9%"
"            65 years and over","375,252","41.1%","32.9%","16.9%","1.2%","7.8%"
"Population 15 years and over","3,857,163","48.3%","4.9%","9.1%","1.6%","36.1%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","3,684,377","49.0%","5.0%","9.1%","1.6%","35.2%"
"            White","2,014,748","49.2%","5.2%","10.5%","1.5%","33.6%"
"            Black or African American","290,535","26.4%","5.8%","14.1%","3.7%","50.1%"
"            American Indian and Alaska Native","18,709","38.1%","4.5%","13.0%","3.5%","40.9%"
"            Asian","1,003,950","57.2%","5.4%","5.4%","1.1%","31.0%"
"            Native Hawaiian and Other Pacific Islander","27,180","49.6%","4.4%","7.6%","2.4%","36.0%"
"            Some other race","329,255","43.2%","2.5%","7.2%","2.4%","44.6%"
"        Two or more races","172,786","32.9%","2.4%","8.3%","1.7%","54.7%"
"        Hispanic or Latino origin (of any race)","764,699","43.1%","3.1%","7.8%","2.4%","43.6%"
"        White alone, not Hispanic or Latino","1,640,823","50.2%","5.5%","11.1%","1.2%","32.0%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","1,865,444","50.6%","2.0%","7.5%","1.4%","38.5%"
"        In labor force","1,361,740","53.2%","0.6%","6.9%","1.3%","37.9%"
"    Females 16 years and over","1,939,680","47.4%","7.8%","10.8%","1.9%","32.1%"
"        In labor force","1,191,935","47.8%","2.3%","11.2%","2.2%","36.6%"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","6.5%","(X)","(X)","(X)","(X)","(X)"
