"Label (Grouping)","San Francisco-Oakland-Hayward, CA Metro Area!!Total!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Percent!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!In public school!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Percent in public school!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!In private school!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","1,127,008","(X)","(X)","80.6%","(X)","19.4%"
"    Nursery school, preschool","77,161","6.8%","31,478","40.8%","45,683","59.2%"
"    Kindergarten to 12th grade","680,467","60.4%","588,188","86.4%","92,279","13.6%"
"        Kindergarten","57,827","5.1%","49,004","84.7%","8,823","15.3%"
"        Elementary: grade 1 to grade 4","202,515","18.0%","174,366","86.1%","28,149","13.9%"
"        Elementary: grade 5 to grade 8","209,193","18.6%","179,697","85.9%","29,496","14.1%"
"        High school: grade 9 to grade 12","210,932","18.7%","185,121","87.8%","25,811","12.2%"
"    College, undergraduate","287,255","25.5%","241,066","83.9%","46,189","16.1%"
"    Graduate, professional school","82,125","7.3%","48,041","58.5%","34,084","41.5%"
"Population enrolled in college or graduate school","369,380","32.8%","289,107","78.3%","80,273","21.7%"
"    Males enrolled in college or graduate school","169,873","30.5%","135,948","80.0%","33,925","20.0%"
"    Females enrolled in college or graduate school","199,507","35.0%","153,159","76.8%","46,348","23.2%"
"Population 3 to 4 years","105,726","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","63,818","60.4%","25,797","40.4%","38,021","59.6%"
"Population 5 to 9 years","264,856","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","257,111","97.1%","215,291","83.7%","41,820","16.3%"
"Population 10 to 14 years","259,377","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","256,388","98.8%","220,494","86.0%","35,894","14.0%"
"Population 15 to 17","153,057","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","150,117","98.1%","131,098","87.3%","19,019","12.7%"
"Population 18 to 19 years","99,528","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","82,965","83.4%","70,731","85.3%","12,234","14.7%"
"Population 20 to 24 years","279,832","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","138,686","49.6%","114,092","82.3%","24,594","17.7%"
"Population 25 to 34 years","739,341","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","102,642","13.9%","76,753","74.8%","25,889","25.2%"
"Population 35 years and over","2,585,405","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","75,281","2.9%","54,517","72.4%","20,764","27.6%"
"Population 18 to 24 years","379,360","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","195,134","51.4%","161,192","82.6%","33,942","17.4%"
"    Males 18 to 24 years","191,326","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","92,697","48.4%","79,276","85.5%","13,421","14.5%"
"    Females 18 to 24 years","188,034","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","102,437","54.5%","81,916","80.0%","20,521","20.0%"
