"Label (Grouping)","San Francisco-Oakland-Hayward, CA Metro Area!!Total!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Labor Force Participation Rate!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Employment/Population Ratio!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Unemployment rate!!Estimate"
"Population 16 years and over","3,805,124","67.1%","63.1%","5.8%"
"    AGE","","","",""
"        16 to 19 years","200,546","30.3%","24.0%","20.8%"
"        20 to 24 years","279,832","72.3%","64.2%","11.0%"
"        25 to 29 years","366,066","84.8%","79.6%","6.0%"
"        30 to 34 years","373,275","86.1%","81.6%","5.2%"
"        35 to 44 years","672,847","85.1%","81.0%","4.6%"
"        45 to 54 years","658,926","83.4%","79.3%","4.8%"
"        55 to 59 years","308,456","75.7%","71.8%","5.3%"
"        60 to 64 years","276,299","61.4%","58.5%","4.7%"
"        65 to 74 years","381,353","29.9%","28.6%","4.4%"
"        75 years and over","287,524","6.8%","6.6%","2.9%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","1,991,139","67.5%","64.1%","4.9%"
"        Black or African American alone","286,381","60.6%","52.4%","13.3%"
"        American Indian and Alaska Native alone","18,444","62.8%","55.9%","10.9%"
"        Asian alone","992,942","66.1%","62.7%","5.0%"
"        Native Hawaiian and Other Pacific Islander alone","26,826","69.6%","62.8%","9.2%"
"        Some other race alone","322,724","72.6%","68.1%","6.1%"
"        Two or more races","166,668","69.3%","63.7%","8.0%"
"        Hispanic or Latino origin (of any race)","748,836","70.9%","66.4%","6.3%"
"        White alone, not Hispanic or Latino","1,624,429","67.0%","63.8%","4.6%"
"Population 20 to 64 years","2,935,701","80.4%","75.8%","5.5%"
"    SEX","","","",""
"        Male","1,470,032","85.8%","80.9%","5.6%"
"        Female","1,465,669","74.9%","70.8%","5.4%"
"            With own children under 18 years","482,710","72.2%","68.2%","5.5%"
"                With own children under 6 years only","123,939","71.2%","67.8%","4.7%"
"                With own children under 6 years and 6 to 17  years","85,731","63.3%","58.7%","7.2%"
"                With own children under 6 to 17 years only","273,040","75.4%","71.4%","5.3%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","282,735","49.9%","37.7%","24.5%"
"        At or above the poverty level","2,631,237","84.1%","80.4%","4.3%"
"    DISABILITY STATUS","","","",""
"        With any disability","211,873","45.4%","39.3%","13.2%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","2,655,869","81.2%","77.1%","5.0%"
"        Less than high school graduate","271,236","67.2%","61.9%","7.9%"
"        High school graduate (includes equivalency)","401,131","75.4%","70.2%","6.9%"
"        Some college or associate's degree","666,992","79.7%","74.7%","6.1%"
"        Bachelor's degree or higher","1,316,510","86.6%","83.5%","3.6%"
