"Label (Grouping)","San Francisco-Oakland-Hayward, CA Metro Area!!Total!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Male!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Percent Male!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Female!!Estimate","San Francisco-Oakland-Hayward, CA Metro Area!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","2,402,077","1,278,931","53.2%","1,123,146","46.8%"
"    Management, business, science, and arts occupations:","1,166,976","603,063","51.7%","563,913","48.3%"
"        Management, business, and financial occupations:","493,819","262,265","53.1%","231,554","46.9%"
"            Management occupations","323,782","187,273","57.8%","136,509","42.2%"
"            Business and financial operations occupations","170,037","74,992","44.1%","95,045","55.9%"
"        Computer, engineering, and science occupations:","256,849","185,935","72.4%","70,914","27.6%"
"            Computer and mathematical occupations","147,336","111,929","76.0%","35,407","24.0%"
"            Architecture and engineering occupations","64,281","51,748","80.5%","12,533","19.5%"
"            Life, physical, and social science occupations","45,232","22,258","49.2%","22,974","50.8%"
"        Education, legal, community service, arts, and media occupations:","292,892","118,523","40.5%","174,369","59.5%"
"            Community and social services occupations","36,612","12,667","34.6%","23,945","65.4%"
"            Legal occupations","45,461","22,709","50.0%","22,752","50.0%"
"            Education, training, and library occupations","129,383","40,286","31.1%","89,097","68.9%"
"            Arts, design, entertainment, sports, and media occupations","81,436","42,861","52.6%","38,575","47.4%"
"        Healthcare practitioner and technical occupations:","123,416","36,340","29.4%","87,076","70.6%"
"            Health diagnosing and treating practitioners and other technical occupations","92,247","26,496","28.7%","65,751","71.3%"
"            Health technologists and technicians","31,169","9,844","31.6%","21,325","68.4%"
"    Service occupations:","400,243","182,431","45.6%","217,812","54.4%"
"        Healthcare support occupations","39,201","7,517","19.2%","31,684","80.8%"
"        Protective service occupations:","39,271","30,413","77.4%","8,858","22.6%"
"            Fire fighting and prevention, and other protective service workers including supervisors","27,503","21,027","76.5%","6,476","23.5%"
"            Law enforcement workers including supervisors","11,768","9,386","79.8%","2,382","20.2%"
"        Food preparation and serving related occupations","126,778","69,461","54.8%","57,317","45.2%"
"        Building and grounds cleaning and maintenance occupations","88,868","50,153","56.4%","38,715","43.6%"
"        Personal care and service occupations","106,125","24,887","23.5%","81,238","76.5%"
"    Sales and office occupations:","508,443","215,203","42.3%","293,240","57.7%"
"        Sales and related occupations","240,244","126,811","52.8%","113,433","47.2%"
"        Office and administrative support occupations","268,199","88,392","33.0%","179,807","67.0%"
"    Natural resources, construction, and maintenance occupations:","144,716","138,532","95.7%","6,184","4.3%"
"        Farming, fishing, and forestry occupations","5,221","3,754","71.9%","1,467","28.1%"
"        Construction and extraction occupations","92,056","89,458","97.2%","2,598","2.8%"
"        Installation, maintenance, and repair occupations","47,439","45,320","95.5%","2,119","4.5%"
"    Production, transportation, and material moving occupations:","181,699","139,702","76.9%","41,997","23.1%"
"        Production occupations","76,061","52,092","68.5%","23,969","31.5%"
"        Transportation occupations","67,491","57,806","85.6%","9,685","14.4%"
"        Material moving occupations","38,147","29,804","78.1%","8,343","21.9%"
