"Label (Grouping)","San Francisco County, California!!Total population!!Estimate","San Francisco County, California!!White alone!!Estimate","San Francisco County, California!!White alone or in combination with one or more other races!!Estimate","San Francisco County, California!!Black or African American alone!!Estimate","San Francisco County, California!!Black or African American alone or in combination with one or more other races!!Estimate","San Francisco County, California!!American Indian and Alaska Native alone or in combination with one or more other races!!Estimate","San Francisco County, California!!American Indian tribal grouping alone or in any combination!!Estimate","San Francisco County, California!!Asian alone!!Estimate","San Francisco County, California!!Asian Indian alone!!Estimate","San Francisco County, California!!Chinese alone!!Estimate","San Francisco County, California!!Chinese, except Taiwanese alone!!Estimate","San Francisco County, California!!Filipino alone!!Estimate","San Francisco County, California!!Japanese alone!!Estimate","San Francisco County, California!!Korean alone!!Estimate","San Francisco County, California!!Vietnamese alone!!Estimate","San Francisco County, California!!Asian alone or in combination with one or more other races!!Estimate","San Francisco County, California!!Asian Indian alone or in any combination!!Estimate","San Francisco County, California!!Chinese alone or in any combination!!Estimate","San Francisco County, California!!Chinese, except Taiwanese alone or in any combination!!Estimate","San Francisco County, California!!Filipino alone or in any combination!!Estimate","San Francisco County, California!!Japanese alone or in any combination!!Estimate","San Francisco County, California!!Korean alone or in any combination!!Estimate","San Francisco County, California!!Vietnamese alone or in any combination!!Estimate","San Francisco County, California!!Some Other Race alone!!Estimate","San Francisco County, California!!Some Other Race alone or in combination with one or more other races!!Estimate","San Francisco County, California!!Two or More Races !!Estimate","San Francisco County, California!!Two races with Some Other Race!!Estimate","San Francisco County, California!!Two races without Some Other Race!!Estimate","San Francisco County, California!!White; Asian!!Estimate","San Francisco County, California!!White; Some Other Race!!Estimate","San Francisco County, California!!Hispanic or Latino (of any race)!!Estimate","San Francisco County, California!!Mexican!!Estimate","San Francisco County, California!!Central American!!Estimate","San Francisco County, California!!Nicaraguan!!Estimate","San Francisco County, California!!Salvadoran!!Estimate","San Francisco County, California!!South American!!Estimate","San Francisco County, California!!White alone, not Hispanic or Latino!!Estimate","San Francisco County, California!!White alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","San Francisco County, California!!Black or African American alone, not Hispanic or Latino!!Estimate","San Francisco County, California!!Black or African American alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","San Francisco County, California!!Asian alone, not Hispanic or Latino!!Estimate","San Francisco County, California!!Asian alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","San Francisco County, California!!Some Other Race alone or in combination with one or more other races, not Hispanic or Latino!!Estimate","San Francisco County, California!!Two or More Races, not Hispanic or Latino!!Estimate","San Francisco County, California!!White alone, Hispanic or Latino!!Estimate","San Francisco County, California!!White alone or in combination with one or more other races, Hispanic or Latino!!Estimate","San Francisco County, California!!Some Other Race alone, Hispanic or Latino!!Estimate","San Francisco County, California!!Some Other Race alone or in combination with one or more other races, Hispanic or Latino!!Estimate","San Francisco County, California!!Two or More Races, Hispanic or Latino!!Estimate","San Francisco County, California!!White in combination with one or more other races!!Estimate","San Francisco County, California!!Black or African American in combination with one or more other races!!Estimate","San Francisco County, California!!American Indian and Alaska Native in combination with one or more other races!!Estimate","San Francisco County, California!!Asian in combination with one or more other races!!Estimate","San Francisco County, California!!Some Other Race in combination with one or more other races!!Estimate"
"Total:","865,933","376,056","440,617","45,135","58,264","12,302","7,374","297,680","21,774","184,095","180,311","34,662","9,453","12,018","15,583","333,357","26,142","204,810","200,512","44,736","17,034","15,776","21,369","67,137","94,786","72,602","24,576","41,423","26,721","20,795","133,241","67,525","35,078","8,338","16,431","11,491","339,050","379,579","42,642","53,289","295,385","326,966","10,108","45,520","37,006","61,038","61,564","84,678","27,082","64,561","13,129","8,090","35,677","27,649"
"    Male:","443,653","204,153","236,704","23,970","30,694","6,494","3,763","139,311","12,848","85,647","84,113","15,468","3,926","4,687","7,399","156,763","15,138","96,018","94,257","20,350","8,018","6,238","10,405","35,140","49,734","36,817","13,082","20,659","13,011","10,898","69,974","36,886","17,140","3,850","8,234","5,556","185,615","205,490","22,556","27,933","138,038","153,627","4,729","22,408","18,538","31,214","32,499","45,005","14,409","32,551","6,724","3,942","17,452","14,594"
"        Under 5 years","19,522","7,487","12,127","1,181","1,827","316","152","4,253","363","2,274","2,234","250","54","175","194","7,491","1,343","3,715","3,676","822","539","530","527","1,532","2,727","4,865","1,058","3,560","2,921","868","4,289","2,026","1,310","211","608","488","6,241","9,737","886","1,339","4,108","7,051","423","3,521","1,246","2,390","1,207","2,304","1,344","4,640","646","136","3,238","1,195"
"        5 to 9 years","15,728","5,291","8,847","731","1,810","265","93","4,053","205","2,482","2,448","474","89","81","209","6,036","381","3,720","3,637","1,154","556","221","382","1,754","2,956","3,748","860","2,287","1,538","833","3,873","1,921","1,013","260","565","359","4,279","6,678","641","1,564","4,014","5,891","436","2,568","1,012","2,169","1,493","2,520","1,180","3,556","1,079","177","1,983","1,202"
"        10 to 14 years","16,329","4,824","7,301","1,019","1,816","264","171","5,321","168","3,793","3,782","410","30","146","164","6,946","322","4,774","4,763","988","507","279","366","1,970","2,977","2,999","896","1,877","1,147","571","3,847","2,329","869","141","334","217","4,147","5,792","818","1,482","5,308","6,665","188","1,941","677","1,509","1,881","2,789","1,058","2,477","797","218","1,625","1,007"
"        15 to 17 years","8,791","2,451","3,330","674","977","314","238","3,133","124","2,045","1,968","384","82","59","171","3,824","254","2,411","2,325","573","166","147","280","1,169","1,432","1,120","224","769","452","128","2,028","957","558","236","213","217","2,099","2,772","650","921","3,071","3,680","40","814","352","558","1,129","1,392","306","879","303","159","691","263"
"        18 and 19 years","6,475","2,174","2,708","651","719","102","71","2,176","74","1,291","1,282","291","34","163","127","2,468","76","1,464","1,455","356","146","169","199","858","1,075","576","184","287","183","157","1,521","941","285","35","197","53","1,770","2,096","586","643","2,164","2,429","77","353","404","612","811","998","223","534","68","95","292","217"
"        20 years","2,736","855","1,143","237","330","34","7","877","115","476","466","147","40","6","30","950","125","547","537","182","40","15","54","435","595","316","149","156","63","131","722","572","104","15","21","5","750","895","212","305","877","939","30","155","105","248","415","565","161","288","93","18","73","160"
"        21 years","2,982","701","898","131","139","216","191","1,231","266","480","473","216","10","18","121","1,314","266","656","649","232","16","18","220","519","648","221","110","88","55","86","908","589","152","11","45","0","569","647","129","129","1,231","1,304","14","92","132","251","519","634","129","197","8","44","83","129"
"        22 to 24 years","16,165","6,033","7,493","1,161","1,375","251","151","5,742","937","3,347","3,301","482","97","147","401","6,711","966","3,975","3,774","694","166","230","506","1,463","1,834","1,583","310","1,201","818","205","2,605","1,654","386","99","77","128","5,428","6,572","1,063","1,233","5,680","6,552","165","1,233","605","921","1,442","1,669","350","1,460","214","203","969","371"
