"Label (Grouping)","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Married-couple family household!!Estimate","San Francisco County, California!!Male householder, no spouse present, family household!!Estimate","San Francisco County, California!!Female householder, no spouse present, family household!!Estimate","San Francisco County, California!!Nonfamily household!!Estimate"
"HOUSEHOLDS","","","","",""
"    Total households","361,222","129,227","12,807","28,431","190,757"
"    Average household size","2.34","3.19","3.34","3.56","1.52"
"FAMILIES","","","","",""
"    Total families","170,465","129,227","12,807","28,431","(X)"
"    Average family size","3.11","3.10","2.97","3.25","(X)"
"AGE OF OWN CHILDREN","","","","",""
"    Households with own children of the householder under 18 years","60,537","46,620","3,470","10,447","(X)"
"        Under 6 years only","31.1%","34.9%","23.9%","16.8%","(X)"
"        Under 6 years and 6 to 17 years","13.3%","14.7%","6.6%","9.2%","(X)"
"        6 to 17 years only","55.6%","50.5%","69.5%","74.0%","(X)"
"Total households","361,222","129,227","12,807","28,431","190,757"
"    SELECTED HOUSEHOLDS BY TYPE","","","","",""
"        Households with one or more people under 18 years","18.6%","38.3%","34.4%","45.5%","0.3%"
"        Households with one or more people 60 years and over","35.4%","38.1%","51.3%","48.1%","30.5%"
"        Households with one or more people 65 year and over","27.5%","(X)","(X)","(X)","23.8%"
"        Householder living alone","36.6%","(X)","(X)","(X)","69.3%"
"            65 years and over","11.3%","(X)","(X)","(X)","21.4%"
"    UNITS IN STRUCTURE","","","","",""
"        1-unit structures","32.8%","50.6%","47.6%","46.3%","17.8%"
"        2-or-more-unit structures","67.0%","49.2%","52.0%","53.4%","82.1%"
"        Mobile homes and all other types of units","0.2%","0.2%","0.5%","0.3%","0.2%"
"    HOUSING TENURE","","","","",""
"        Owner-occupied housing units","38.2%","56.9%","49.1%","42.5%","24.2%"
"        Renter-occupied housing units","61.8%","43.1%","50.9%","57.5%","75.8%"
