"Label (Grouping)","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Now married (except separated)!!Estimate","San Francisco County, California!!Widowed!!Estimate","San Francisco County, California!!Divorced!!Estimate","San Francisco County, California!!Separated!!Estimate","San Francisco County, California!!Never married!!Estimate"
"Population 15 years and over","765,242","40.1%","4.5%","8.0%","1.4%","46.0%"
"    AGE AND SEX","","","","","",""
"        Males 15 years and over","392,074","40.4%","1.9%","6.7%","1.1%","49.9%"
"            15 to 19 years","15,266","0.7%","0.0%","0.1%","0.1%","99.1%"
"            20 to 34 years","123,626","18.4%","0.0%","1.2%","0.6%","79.8%"
"            35 to 44 years","74,376","46.0%","0.1%","5.9%","1.1%","46.9%"
"            45 to 54 years","62,030","54.5%","1.3%","9.4%","1.5%","33.3%"
"            55 to 64 years","53,667","54.7%","2.2%","12.9%","1.9%","28.3%"
"            65 years and over","63,109","60.5%","8.2%","12.4%","1.4%","17.4%"
"        Females 15 years and over","373,168","39.8%","7.2%","9.3%","1.7%","42.0%"
"            15 to 19 years","16,254","1.1%","0.1%","0.0%","0.1%","98.7%"
"            20 to 34 years","116,789","22.4%","0.0%","1.6%","0.6%","75.4%"
"            35 to 44 years","65,096","57.0%","0.5%","8.2%","2.0%","32.2%"
"            45 to 54 years","52,044","56.0%","1.5%","14.8%","2.7%","24.9%"
"            55 to 64 years","48,141","55.2%","5.7%","17.7%","2.7%","18.8%"
"            65 years and over","74,844","39.1%","30.7%","15.2%","2.1%","13.0%"
"Population 15 years and over","765,242","40.1%","4.5%","8.0%","1.4%","46.0%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        One race","715,333","40.9%","4.6%","8.0%","1.4%","45.1%"
"            White","341,724","38.9%","3.3%","8.4%","1.2%","48.2%"
"            Black or African American","39,126","19.3%","5.6%","13.5%","2.6%","59.1%"
"            American Indian and Alaska Native","3,493","28.6%","7.6%","11.3%","1.7%","50.8%"
"            Asian","271,879","48.6%","6.1%","6.6%","1.0%","37.8%"
"            Native Hawaiian and Other Pacific Islander","2,640","31.7%","3.3%","11.2%","5.2%","48.7%"
"            Some other race","56,471","32.7%","4.6%","8.3%","3.1%","51.3%"
"        Two or more races","49,909","28.7%","2.3%","7.5%","1.7%","59.8%"
"        Hispanic or Latino origin (of any race)","109,706","31.7%","4.0%","8.9%","2.7%","52.7%"
"        White alone, not Hispanic or Latino","310,061","39.6%","3.3%","8.2%","1.1%","47.8%"
"LABOR FORCE PARTICIPATION","","","","","",""
"    Males 16 years and over","389,637","40.7%","1.9%","6.8%","1.1%","49.6%"
"        In labor force","292,404","40.4%","0.8%","5.9%","1.1%","51.9%"
"    Females 16 years and over","370,245","40.1%","7.3%","9.4%","1.7%","41.6%"
"        In labor force","248,357","39.4%","1.8%","8.8%","1.6%","48.4%"
"SUMMARY INDICATOR","","","","","",""
"    Ratio of Unmarried Men 15 to 44 years per 100 unmarried women 15 to 44 years","116.5","(X)","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Marital status","8.8%","(X)","(X)","(X)","(X)","(X)"
