"Label (Grouping)","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Percent!!Estimate","San Francisco County, California!!In public school!!Estimate","San Francisco County, California!!Percent in public school!!Estimate","San Francisco County, California!!In private school!!Estimate","San Francisco County, California!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","158,128","(X)","(X)","67.2%","(X)","32.8%"
"    Nursery school, preschool","12,483","7.9%","4,240","34.0%","8,243","66.0%"
"    Kindergarten to 12th grade","78,174","49.4%","55,350","70.8%","22,824","29.2%"
"        Kindergarten","6,500","4.1%","4,378","67.4%","2,122","32.6%"
"        Elementary: grade 1 to grade 4","24,220","15.3%","17,200","71.0%","7,020","29.0%"
"        Elementary: grade 5 to grade 8","23,077","14.6%","15,359","66.6%","7,718","33.4%"
"        High school: grade 9 to grade 12","24,377","15.4%","18,413","75.5%","5,964","24.5%"
"    College, undergraduate","46,128","29.2%","35,498","77.0%","10,630","23.0%"
"    Graduate, professional school","21,343","13.5%","11,249","52.7%","10,094","47.3%"
"Population enrolled in college or graduate school","67,471","42.7%","46,747","69.3%","20,724","30.7%"
"    Males enrolled in college or graduate school","31,603","40.4%","22,572","71.4%","9,031","28.6%"
"    Females enrolled in college or graduate school","35,868","44.9%","24,175","67.4%","11,693","32.6%"
"Population 3 to 4 years","14,053","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","10,381","73.9%","3,582","34.5%","6,799","65.5%"
"Population 5 to 9 years","30,641","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","29,544","96.4%","20,285","68.7%","9,259","31.3%"
"Population 10 to 14 years","31,831","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","30,791","96.7%","20,502","66.6%","10,289","33.4%"
"Population 15 to 17","17,503","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","17,190","98.2%","12,922","75.2%","4,268","24.8%"
"Population 18 to 19 years","14,017","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","12,641","90.2%","9,148","72.4%","3,493","27.6%"
"Population 20 to 24 years","44,753","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","20,111","44.9%","13,949","69.4%","6,162","30.6%"
"Population 25 to 34 years","195,662","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","21,932","11.2%","14,797","67.5%","7,135","32.5%"
"Population 35 years and over","493,307","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","15,538","3.1%","11,152","71.8%","4,386","28.2%"
"Population 18 to 24 years","58,770","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","30,303","51.6%","21,246","70.1%","9,057","29.9%"
"    Males 18 to 24 years","28,358","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","13,672","48.2%","10,028","73.3%","3,644","26.7%"
"    Females 18 to 24 years","30,412","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","16,631","54.7%","11,218","67.5%","5,413","32.5%"
